codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6369,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
6369,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
6369,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
6369,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
6369,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
6369,2684,CEEJA,Subcomissão Permanente para acompanhar as políticas de Educação de Jovens e Adultos,SF,Titular
6369,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
6369,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
6369,2641,CTI200CONFEQ,Comissão Temporária Interna em Comemoração aos 200 anos da Confederação do Equador,SF,Titular
6369,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
6369,47,CE,Comissão de Educação e Cultura,SF,Titular
6369,40,CAS,Comissão de Assuntos Sociais,SF,Titular
6369,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
6369,2619,FPCULTURA,Frente Parlamentar da Cultura,CN,Titular
6369,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
