codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
4811,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
4811,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Suplente
4811,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4811,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Suplente
4811,2615,CEsp,Comissão de Esporte,SF,Suplente
4811,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
4811,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
4811,50,CMA,Comissão de Meio Ambiente,SF,Suplente
4811,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4811,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4811,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
4811,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
4811,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
4811,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
4811,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
4811,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
4811,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
4811,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
4811,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
4811,1844,VET 27/2014,"Veto Total nº 27, de 2014",CN,Titular
4811,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Titular
4811,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
4811,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
4811,47,CE,Comissão de Educação e Cultura,SF,Titular
4811,47,CE,Comissão de Educação e Cultura,SF,Titular
4811,40,CAS,Comissão de Assuntos Sociais,SF,Titular
4811,40,CAS,Comissão de Assuntos Sociais,SF,Titular
4811,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
4811,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
4811,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
4811,2583,FPE,Frente Parlamentar Evangélica,CN,Titular
4811,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
4811,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
4811,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
4811,1625,CFIS,"Comitê de Avaliação , Fiscalização e Controle da Execução Orçamentária",CN,Titular
4811,2666,GPJAPÃO,Grupo Parlamentar Brasil - Japão,CN,Titular
4811,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
4811,2307,GPISRAEL,Grupo Parlamentar Brasil - Israel,CN,Titular
