codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5979,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
5979,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5979,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5979,2618,CEIDCERTA,Subcomissão Permanente da Alfabetização na Idade Certa,SF,Suplente
5979,2465,CMABIOPANT,Subcomissão Permanente de Proteção ao Pantanal,SF,Suplente
5979,2278,CASDPI,Subcomissão Permanente de Proteção e Defesa da Pessoa Idosa,SF,Suplente
5979,2279,CASPCD,Subcomissão Permanente da Pessoa com Deficiência,SF,Suplente
5979,2299,CMABSXXI,Subcomissão Temporária do Grande Impulso para a Sustentabilidade,SF,Suplente
5979,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5979,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5979,2246,CPIBRUM,CPI de Brumadinho,SF,Suplente
5979,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5979,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5979,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5979,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5979,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5979,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5979,47,CE,Comissão de Educação e Cultura,SF,Suplente
5979,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5979,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5979,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5979,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5979,2668,CTERS,Comissão Temporária Externa para acompanhar as atividades relativas ao enfrentamento da calamidade que atingiu o Rio Grande do Sul,SF,Titular
5979,2584,CTEYANOMAMI,Comissão Temporária Externa para acompanhar a situação dos Yanomami e a saída dos garimpeiros,SF,Titular
5979,2506,CTEPETR,"Comissão Temporária Externa destinada a acompanhar ""in loco"" a situação do Município de Petrópolis-RJ",SF,Titular
5979,2539,CTENORTE,"Comissão Temporária Externa para investigar, ""in loco"", as causas do aumento da criminalidade e de atentados na região Norte.",SF,Titular
5979,1659,PROMUL,Procuradoria Especial da Mulher,SF,Titular
5979,2272,CEEEFCB,"Subcomissão Permanente sobre Esporte, Educação Física e Formação de Categorias de Base",SF,Titular
