codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
631,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
631,1633,CTEFPF,Comissão Externa para acompanhar a crise na Federação Paraense de Futebol,SF,Suplente
631,1317,CESPRO,CESPEX - Rondônia - 2005,SF,Suplente
631,894,CAEMINER,Subcomissão Temporária de Extração Mineral,SF,Suplente
631,1607,RBPM,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
631,1557,CDRDN,Subcomissão Permanente do Desenvolvimento do Nordeste,SF,Suplente
631,1357,CECTMCS,"Subcomissão Permanente de Cinema, Teatro, Música e Comunicação Social",SF,Suplente
631,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
631,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
631,2016,CEI2016,Comissão Especial do Impeachment  2016,SF,Suplente
631,1449,CTIREGCONST,CESP - Identificar dispositivos constitucionais sujeitos à regulação - 2009,SF,Suplente
631,1257,ANOMULHER2004,CT - Ano da Mulher - 2004,SF,Suplente
631,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Suplente
631,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
631,2429,CSP,Comissão de Segurança Pública,SF,Suplente
631,2429,CSP,Comissão de Segurança Pública,SF,Suplente
631,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
631,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
631,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
631,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
631,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
631,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
631,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
631,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
631,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
631,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
631,47,CE,Comissão de Educação e Cultura,SF,Suplente
631,47,CE,Comissão de Educação e Cultura,SF,Suplente
631,47,CE,Comissão de Educação e Cultura,SF,Suplente
631,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
631,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
631,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
631,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
631,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
631,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
631,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
631,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
631,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
631,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
631,1713,CDGN,Conselho da Comenda Dorina de Gouvêa Nowill,SF,Titular
631,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
631,770,CDBL,Conselho do Diploma Bertha Lutz,SF,Titular
631,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
631,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
631,1271,CR,Comissão Representativa do Congresso Nacional,CN,Titular
631,1419,CTECAPPIO,CTEX - Bispo Luiz  Cappio - 2007,SF,Titular
631,1357,CECTMCS,"Subcomissão Permanente de Cinema, Teatro, Música e Comunicação Social",SF,Titular
631,914,CCJSSP,Subcomissão Permanente de Segurança Pública,SF,Titular
631,1377,CMEMC,CMESP - Mudanças Climáticas - 2007,CN,Titular
631,1331,EMC45,CMESP - Reforma Judiciário - 2004,CN,Titular
631,687,SEGPUB,CMESP - Segurança Pública - 2002,CN,Titular
631,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
631,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
631,1908,CMO17,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização de 2017",CN,Titular
631,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
631,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
631,815,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
631,1219,Vet,Veto Parcial nº 3/2004,CN,Titular
631,2016,CEI2016,Comissão Especial do Impeachment  2016,SF,Titular
631,2069,CTETO,Comissão Especial do Extrateto - 2016,SF,Titular
631,2034,CEDN,Comissão Especial do Desenvolvimento Nacional,SF,Titular
631,1932,CTREFORMA,Comissão da  Reforma Política do Senado Federal - 2015,SF,Titular
631,1603,CTRCP,CT - Reforma do Código Penal Brasileiro - PLS 236/2012 (art. 374-RISF),SF,Titular
631,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
631,994,BANESTADO,CPMI - BANESTADO - 2003,CN,Titular
631,1094,DESMANCHE,CPMI - Desmanche - 2003,CN,Titular
631,2102,CPIMT,CPI dos Maus-tratos - 2017,SF,Titular
631,1900,CPIDPRO,CPI das Próteses - 2015,SF,Titular
631,1905,CPIADJ,CPI do Assassinato de Jovens - 2015,SF,Titular
631,1656,CPIVDHS,Violação do Direito Humano à Saúde,SF,Titular
631,1422,CPIPED,CPI - Pedofilia - 2008,SF,Titular
631,1260,BINGOS,CPI - Bingos - 2004,SF,Titular
631,1260,BINGOS,CPI - Bingos - 2004,SF,Titular
631,2617,CDD,Comissão de Defesa da Democracia,SF,Titular
631,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
631,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
631,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
631,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
631,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
