codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5376,2059,GPONU,Grupo Parlamentar Brasil - ONU,CN,Titular
5376,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5376,2278,CASDPI,Subcomissão Permanente de Proteção e Defesa da Pessoa Idosa,SF,Suplente
5376,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5376,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5376,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5376,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
5376,2597,CPIONGS,CPI DAS ONGS,SF,Suplente
5376,2615,CEsp,Comissão de Esporte,SF,Suplente
5376,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5376,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5376,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5376,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5376,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5376,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5376,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5376,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5376,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5376,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5376,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5376,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5376,1713,CDGN,Conselho da Comenda Dorina de Gouvêa Nowill,SF,Titular
5376,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
5376,2624,CASRARAS,Subcomissão Permanente de Direitos das Pessoas com Doenças Raras,SF,Titular
5376,2475,CASSPPDR,Subcomissão Permanente de Acompanhamento das Políticas Públicas para as Pessoas com Doenças Raras,SF,Titular
5376,2279,CASPCD,Subcomissão Permanente da Pessoa com Deficiência,SF,Titular
5376,2474,CASSTPCD,Subcomissão Temporária de Assuntos Sociais das Pessoas com Deficiência,SF,Titular
5376,2285,CTFCGPCC,Subcomissão Temporária sobre a Qualidade dos Gastos Públicos e Combate à Corrupção,SF,Titular
5376,2280,CASDRAR,Subcomissão Temporária sobre Doenças Raras,SF,Titular
5376,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
5376,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
5376,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
5376,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
5376,1715,VET 32/2013,Veto Parcial nº 32 de 2013,CN,Titular
5376,1697,VET 23/2013,Veto Parcial nº 23 de 2013,CN,Titular
5376,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5376,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5376,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5376,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5376,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5376,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5376,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5376,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5376,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5376,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5376,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5376,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5376,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5376,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5376,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5376,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5376,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
5376,2635,FPEMBRAPA,Frente Parlamentar Mista pelo Fortalecimento da Empresa Brasileira de Pesquisa Agropecuária (Embrapa),CN,Titular
5376,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5376,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5376,2525,FPCONTROLE,"Frente Parlamentar pelo Controle de Armas e Munições, pela Paz e Pela Vida",CN,Titular
5376,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5376,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5376,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
5376,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
5376,2478,FPSCT,Frente Parlamentar pela Segurança de Crianças e Adolescentes no Trânsito,CN,Titular
5376,2443,FPD,Frente Parlamentar pelo Desarmamento,CN,Titular
5376,2266,FPTGP,Frente Parlamentar para a Transparência dos Gastos Públicos,CN,Titular
5376,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5376,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5376,2666,GPJAPÃO,Grupo Parlamentar Brasil - Japão,CN,Titular
5376,2605,GPUCRANIA,Grupo Parlamentar Brasil - Ucrânia,CN,Titular
5376,2481,GPSUIÇA,Grupo Parlamentar Brasil-Confederação Suíça,CN,Titular
5376,2481,GPSUIÇA,Grupo Parlamentar Brasil-Confederação Suíça,CN,Titular
5376,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
5376,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
5376,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
5376,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
5376,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
5376,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
5376,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
