codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
742,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
742,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
742,2278,CASDPI,Subcomissão Permanente de Proteção e Defesa da Pessoa Idosa,SF,Suplente
742,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Suplente
742,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
742,1177,REFAGRÁRIA,CPMI - Da Terra - 2003,CN,Suplente
742,2597,CPIONGS,CPI DAS ONGS,SF,Suplente
742,1716,CSF,Comissão Senado do Futuro,SF,Suplente
742,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
742,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
742,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
742,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
742,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
742,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
742,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
742,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
742,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
742,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
742,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
742,1752,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
742,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
742,2168,CMO-2018,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização de 2018",CN,Titular
742,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
742,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
742,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
742,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
742,1214,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
742,1708,VET 25/2013,Veto Parcial nº 25 de 2013,CN,Titular
742,1703,VET 22/2013,Veto Parcial nº 22 de 2013,CN,Titular
742,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Titular
742,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Titular
742,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
742,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
742,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
742,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
742,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
742,50,CMA,Comissão de Meio Ambiente,SF,Titular
742,47,CE,Comissão de Educação e Cultura,SF,Titular
742,47,CE,Comissão de Educação e Cultura,SF,Titular
742,40,CAS,Comissão de Assuntos Sociais,SF,Titular
742,40,CAS,Comissão de Assuntos Sociais,SF,Titular
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
742,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
742,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
742,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
742,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
742,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
742,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
742,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
742,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
742,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
742,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
742,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
742,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
742,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
742,1722,COI,Comitê de Avaliação das Inform. sobre Obras e Serviços com Indícios de Irregularidades Graves,CN,Titular
742,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
742,2049,GPIRLANDA,Grupo Parlamentar Brasil - Irlanda,CN,Titular
742,2056,GPSINGAPURA,Grupo Parlamentar Brasil - Singapura,CN,Titular
742,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
742,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
742,2045,GPDINAMARCA,Grupo Parlamentar Brasil - Dinamarca,CN,Titular
742,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
742,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
742,2052,GPSÉRVIA,Grupo Parlamentar Brasil - Sérvia,CN,Titular
742,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
