codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
285,2054,GPPARAGUAI,Grupo Parlamentar Brasil - Paraguai,CN,Titular
285,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
285,2309,CPICHAPE,CPI sobre a situação das vítimas e familiares do acidente da Chapecoense,SF,Suplente
285,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
285,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
285,50,CMA,Comissão de Meio Ambiente,SF,Suplente
285,50,CMA,Comissão de Meio Ambiente,SF,Suplente
285,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
285,47,CE,Comissão de Educação e Cultura,SF,Suplente
285,47,CE,Comissão de Educação e Cultura,SF,Suplente
285,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
285,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
285,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
285,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
285,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
285,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
285,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
285,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
285,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
285,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
285,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
285,1543,OUVIDSF,Ouvidoria do Senado Federal,SF,Titular
285,448,PROPAR,Procuradoria Parlamentar,SF,Titular
285,446,CORREG,Corregedoria Parlamentar,SF,Titular
285,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
285,2251,CRESTV,Subcomissão Temporária sobre a Venezuela,SF,Titular
285,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
285,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
285,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Titular
285,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Titular
285,2597,CPIONGS,CPI DAS ONGS,SF,Titular
285,2246,CPIBRUM,CPI de Brumadinho,SF,Titular
285,2615,CEsp,Comissão de Esporte,SF,Titular
285,1716,CSF,Comissão Senado do Futuro,SF,Titular
285,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
285,50,CMA,Comissão de Meio Ambiente,SF,Titular
285,50,CMA,Comissão de Meio Ambiente,SF,Titular
285,50,CMA,Comissão de Meio Ambiente,SF,Titular
285,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
285,47,CE,Comissão de Educação e Cultura,SF,Titular
285,40,CAS,Comissão de Assuntos Sociais,SF,Titular
285,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
285,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
285,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
285,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
285,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
285,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
285,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
285,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
285,2266,FPTGP,Frente Parlamentar para a Transparência dos Gastos Públicos,CN,Titular
285,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
285,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
285,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
