codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5422,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
5422,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5422,1859,CRCN,Comissão Representativa do Congresso Nacional,CN,Suplente
5422,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5422,2251,CRESTV,Subcomissão Temporária sobre a Venezuela,SF,Suplente
5422,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5422,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5422,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5422,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5422,1611,CMO2012,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização 2012",CN,Suplente
5422,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5422,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
5422,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Suplente
5422,1801,CPMI-PETRO,CPMI - PETROBRAS - 2014,CN,Suplente
5422,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Suplente
5422,2309,CPICHAPE,CPI sobre a situação das vítimas e familiares do acidente da Chapecoense,SF,Suplente
5422,2617,CDD,Comissão de Defesa da Democracia,SF,Suplente
5422,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5422,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5422,47,CE,Comissão de Educação e Cultura,SF,Suplente
5422,47,CE,Comissão de Educação e Cultura,SF,Suplente
5422,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Titular
5422,1713,CDGN,Conselho da Comenda Dorina de Gouvêa Nowill,SF,Titular
5422,1530,DJEM,Conselho do Diploma José Ermírio de Moraes,SF,Titular
5422,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
5422,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5422,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
5422,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5422,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5422,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5422,1721,VET 37/2013,Veto nº 37 de 2013,CN,Titular
5422,1720,VET 36/2013,Veto nº 36 de 2013,CN,Titular
5422,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
5422,2441,CPIPANDEMIA,CPI da Pandemia,SF,Titular
5422,2429,CSP,Comissão de Segurança Pública,SF,Titular
5422,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
5422,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5422,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5422,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5422,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5422,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5422,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5422,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5422,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5422,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5422,2627,FPMDFAV,Frente Parlamentar Mista em Defesa da Família e Apoio à Vida,CN,Titular
5422,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5422,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5422,2583,FPE,Frente Parlamentar Evangélica,CN,Titular
5422,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5422,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5422,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5422,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5422,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
5422,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
5422,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5422,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5422,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5422,1701,CAR,Comitê de Avaliação da Receita,CN,Titular
5422,2433,GPEMIRADOSARABES,Grupo Parlamentar Brasil - Emirados Árabes Unidos,CN,Titular
