codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6304,2437,GPBOLIVIA,Grupo Parlamentar Brasil - Bolívia,CN,Titular
6304,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
6304,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Suplente
6304,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
6304,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
6304,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
6304,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
6304,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
6304,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
6304,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
6304,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
6304,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
6304,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
6304,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
6304,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
6304,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6304,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6304,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6304,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6304,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
6304,2591,CMABIOPAN,Subcomissão Permanente do Bioma Pantanal.,SF,Titular
6304,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
6304,2429,CSP,Comissão de Segurança Pública,SF,Titular
6304,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
6304,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
6304,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
6304,50,CMA,Comissão de Meio Ambiente,SF,Titular
6304,50,CMA,Comissão de Meio Ambiente,SF,Titular
6304,50,CMA,Comissão de Meio Ambiente,SF,Titular
6304,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
6304,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
6304,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
6304,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
6304,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
6304,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
6304,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
