codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6027,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
6027,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
6027,2251,CRESTV,Subcomissão Temporária sobre a Venezuela,SF,Suplente
6027,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
6027,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
6027,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
6027,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
6027,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
6027,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
6027,2597,CPIONGS,CPI DAS ONGS,SF,Suplente
6027,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Suplente
6027,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
6027,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
6027,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
6027,50,CMA,Comissão de Meio Ambiente,SF,Suplente
6027,50,CMA,Comissão de Meio Ambiente,SF,Suplente
6027,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
6027,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
6027,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
6027,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
6027,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
6027,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
6027,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
6027,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
6027,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6027,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6027,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6027,2584,CTEYANOMAMI,Comissão Temporária Externa para acompanhar a situação dos Yanomami e a saída dos garimpeiros,SF,Titular
6027,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
6027,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
6027,2309,CPICHAPE,CPI sobre a situação das vítimas e familiares do acidente da Chapecoense,SF,Titular
6027,2246,CPIBRUM,CPI de Brumadinho,SF,Titular
6027,2429,CSP,Comissão de Segurança Pública,SF,Titular
6027,1716,CSF,Comissão Senado do Futuro,SF,Titular
6027,1716,CSF,Comissão Senado do Futuro,SF,Titular
6027,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
6027,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
6027,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
6027,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
6027,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
