codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5985,2040,GPARGENTINA,Grupo Parlamentar Brasil - Argentina,CN,Titular
5985,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5985,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5985,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5985,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5985,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5985,2591,CMABIOPAN,Subcomissão Permanente do Bioma Pantanal.,SF,Suplente
5985,2251,CRESTV,Subcomissão Temporária sobre a Venezuela,SF,Suplente
5985,2257,CRAFUND,Subcomissão Temporária sobre a Regularização Fundiária,SF,Suplente
5985,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5985,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5985,2589,CEHV,Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde,SF,Suplente
5985,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Suplente
5985,2309,CPICHAPE,CPI sobre a situação das vítimas e familiares do acidente da Chapecoense,SF,Suplente
5985,2309,CPICHAPE,CPI sobre a situação das vítimas e familiares do acidente da Chapecoense,SF,Suplente
5985,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5985,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5985,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5985,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5985,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5985,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5985,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5985,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5985,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5985,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5985,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5985,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5985,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5985,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5985,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5985,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5985,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5985,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5985,47,CE,Comissão de Educação e Cultura,SF,Suplente
5985,47,CE,Comissão de Educação e Cultura,SF,Suplente
5985,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5985,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5985,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5985,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5985,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5985,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5985,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5985,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5985,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5985,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5985,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5985,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5985,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5985,2386,CTEPANTANAL,Comissão Temporária Externa para acompanhar as ações de enfrentamento aos incêndios detectados no bioma Pantanal,SF,Titular
5985,2539,CTENORTE,"Comissão Temporária Externa para investigar, ""in loco"", as causas do aumento da criminalidade e de atentados na região Norte.",SF,Titular
5985,2145,CZA,Comenda Zilda Arns,SF,Titular
5985,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
