codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5525,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
5525,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5525,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5525,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5525,2617,CDD,Comissão de Defesa da Democracia,SF,Suplente
5525,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5525,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5525,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5525,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5525,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5525,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5525,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5525,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5525,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5525,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5525,1940,PJRM,Conselho do Prêmio Jornalista Roberto Marinho de Mérito Jornalístico,SF,Titular
5525,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
5525,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5525,1897,VET 3/2015,"Veto Parcial nº 3, de 2015",CN,Titular
5525,1888,VET 36/2014,"Veto Total nº 36, de 2014",CN,Titular
5525,2033,CEAPF,Comissão Especial para o Aprimoramento do Pacto Federativo 2016,SF,Titular
5525,1926,CEAPF,Comissão Especial para o Aprimoramento do Pacto Federativo 2015,SF,Titular
5525,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
5525,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Titular
5525,2441,CPIPANDEMIA,CPI da Pandemia,SF,Titular
5525,1928,CPIDFDQ,CPI do Futebol - 2015,SF,Titular
5525,2429,CSP,Comissão de Segurança Pública,SF,Titular
5525,2429,CSP,Comissão de Segurança Pública,SF,Titular
5525,2429,CSP,Comissão de Segurança Pública,SF,Titular
5525,1716,CSF,Comissão Senado do Futuro,SF,Titular
5525,1716,CSF,Comissão Senado do Futuro,SF,Titular
5525,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5525,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5525,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5525,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5525,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5525,50,CMA,Comissão de Meio Ambiente,SF,Titular
5525,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5525,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5525,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5525,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5525,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5525,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5525,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5525,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5525,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5525,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5525,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5525,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5525,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5525,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5525,2479,FPOPC,Frente Parlamentar Observatório da Pandemia Covid-19,CN,Titular
5525,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5525,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
5525,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
