codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5924,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
5924,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5924,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Suplente
5924,2253,CEPREV,"Comissão Especial destinada a acompanhar a PEC 6, de 2019",SF,Suplente
5924,2597,CPIONGS,CPI DAS ONGS,SF,Suplente
5924,2617,CDD,Comissão de Defesa da Democracia,SF,Suplente
5924,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5924,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5924,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5924,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5924,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5924,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5924,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5924,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5924,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5924,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5924,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5924,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5924,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5924,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5924,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5924,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5924,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Titular
5924,2294,CTRCC,Comissão Temporária para Reforma do Código Comercial (Art. 374-RISF) - 2019,SF,Titular
5924,2253,CEPREV,"Comissão Especial destinada a acompanhar a PEC 6, de 2019",SF,Titular
5924,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5924,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5924,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5924,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5924,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5924,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5924,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5924,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5924,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5924,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5924,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5924,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5924,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
5924,2266,FPTGP,Frente Parlamentar para a Transparência dos Gastos Públicos,CN,Titular
5924,1701,CAR,Comitê de Avaliação da Receita,CN,Titular
5924,2657,GPLÍBANO,Grupo Parlamentar Brasil - Líbano,CN,Titular
5924,2605,GPUCRANIA,Grupo Parlamentar Brasil - Ucrânia,CN,Titular
5924,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
