codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5523,1669,RELSETCMO,Relatores Setoriais do Projeto de Lei Orçamentária,CN,Titular
5523,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5523,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5523,2299,CMABSXXI,Subcomissão Temporária do Grande Impulso para a Sustentabilidade,SF,Suplente
5523,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Suplente
5523,2091,CMCF,Comissão Mista de Consolidação da Legislação Federal,CN,Suplente
5523,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5523,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5523,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5523,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5523,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5523,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Suplente
5523,2016,CEI2016,Comissão Especial do Impeachment  2016,SF,Suplente
5523,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
5523,2110,CPMI - JBS,Comissão Parlamentar Mista de Inquérito da JBS - 2017,CN,Suplente
5523,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Suplente
5523,2246,CPIBRUM,CPI de Brumadinho,SF,Suplente
5523,2617,CDD,Comissão de Defesa da Democracia,SF,Suplente
5523,1716,CSF,Comissão Senado do Futuro,SF,Suplente
5523,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5523,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5523,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5523,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5523,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5523,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5523,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5523,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5523,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5523,47,CE,Comissão de Educação e Cultura,SF,Suplente
5523,47,CE,Comissão de Educação e Cultura,SF,Suplente
5523,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5523,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5523,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5523,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5523,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5523,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5523,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5523,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5523,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5523,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5523,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5523,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5523,1713,CDGN,Conselho da Comenda Dorina de Gouvêa Nowill,SF,Titular
5523,1750,CSAN,Conselho da Comenda Senador Abdias Nascimento,SF,Titular
5523,1530,DJEM,Conselho do Diploma José Ermírio de Moraes,SF,Titular
