codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
825,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
825,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
825,385,CESCCI,"Subcomissão Permanente de Cinema, Comunicação e Informática",SF,Suplente
825,1326,CECTCS,"Subcomissão Permanente de Cinema, Teatro e Comunicação Social",SF,Suplente
825,1322,CDHIDO,Subcomissão Permanente do Idoso,SF,Suplente
825,1607,RBPM,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
825,2475,CASSPPDR,Subcomissão Permanente de Acompanhamento das Políticas Públicas para as Pessoas com Doenças Raras,SF,Suplente
825,1666,CDHMVJ,"Subcomissão Permanente da Memória, Verdade e Justiça",SF,Suplente
825,1418,CDHSPDM,Subcomissão Permanente em Defesa da Mulher,SF,Suplente
825,1399,CRABIO,Subcomissão Permanente dos Biocombustíveis,SF,Suplente
825,1324,CASSAUDE,"Subcomissão Permanente de Promoção, Acompanhamento e Defesa da Saúde",SF,Suplente
825,1323,CASDEF,Subcomissão Permanente de Assuntos Sociais das Pessoas com Deficiência,SF,Suplente
825,1323,CASDEF,Subcomissão Permanente de Assuntos Sociais das Pessoas com Deficiência,SF,Suplente
825,1357,CECTMCS,"Subcomissão Permanente de Cinema, Teatro, Música e Comunicação Social",SF,Suplente
825,2274,CDHSPB,Subcomissão Temporária sobre o Sistema Penitenciário Brasileiro,SF,Suplente
825,2247,CDHSTMU,Subcomissão Temporária sobre Mobilidade Urbana,SF,Suplente
825,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
825,1951,CEDN,Comissão Especial do Desenvolvimento Nacional,SF,Suplente
825,1604,CTRCDC,"CT - Modernização do Código de Defesa do Consumidor - PLS 281, 282 e 283/2012 (Art. 374-RISF)",SF,Suplente
825,1464,CTIPACT,CTIN - Novo Pacto Federativo no Brasil,SF,Suplente
825,1801,CPMI-PETRO,CPMI - PETROBRAS - 2014,CN,Suplente
825,1801,CPMI-PETRO,CPMI - PETROBRAS - 2014,CN,Suplente
825,1358,CPMI Ambulâncias,CPMI - Ambulâncias - 2006,CN,Suplente
825,934,EXPLORA,CPMI - Exploração Sexual - 2003,CN,Suplente
825,1901,CPIHSBC,CPI do HSBC - 2015,SF,Suplente
825,1422,CPIPED,CPI - Pedofilia - 2008,SF,Suplente
825,1382,CPIONGs,CPI - ONGs - 2007,SF,Suplente
825,2615,CEsp,Comissão de Esporte,SF,Suplente
825,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
825,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
825,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
825,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
825,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
825,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
825,50,CMA,Comissão de Meio Ambiente,SF,Suplente
825,50,CMA,Comissão de Meio Ambiente,SF,Suplente
825,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
825,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
825,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
825,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
825,47,CE,Comissão de Educação e Cultura,SF,Suplente
825,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
825,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
825,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
825,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
825,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
825,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
825,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
825,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
825,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
825,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
825,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
825,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
825,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
825,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
825,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
825,2668,CTERS,Comissão Temporária Externa para acompanhar as atividades relativas ao enfrentamento da calamidade que atingiu o Rio Grande do Sul,SF,Titular
825,1723,CTEDUC,CT - Destinada a debater e propor soluções para o financiamento da educação no Brasil,SF,Titular
825,2145,CZA,Comenda Zilda Arns,SF,Titular
825,1713,CDGN,Conselho da Comenda Dorina de Gouvêa Nowill,SF,Titular
825,1750,CSAN,Conselho da Comenda Senador Abdias Nascimento,SF,Titular
825,1750,CSAN,Conselho da Comenda Senador Abdias Nascimento,SF,Titular
825,1546,PJS,Conselho do Projeto Jovem Senador,SF,Titular
825,1546,PJS,Conselho do Projeto Jovem Senador,SF,Titular
825,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
825,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
825,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
825,1581,CTEPP,Comissão Externa Para Visitar o Congresso Nacional do Paraguai,SF,Titular
825,1579,CASFGTS,Subcomissão Temporária do Fundo de Garantia por Tempo de Serviço - FGTS,SF,Titular
825,1325,CASPREV,Subcomissão Permanente do Trabalho e Previdência,SF,Titular
825,1325,CASPREV,Subcomissão Permanente do Trabalho e Previdência,SF,Titular
825,1321,CDHIRI,Subcomissão Permanente da Igualdade Racial e Inclusão,SF,Titular
825,1412,Pagrisa,CTEX - Pagrisa - 2007,SF,Titular
825,1322,CDHIDO,Subcomissão Permanente do Idoso,SF,Titular
825,1379,CDHTE,Subcomissão Temporária de Combate ao Trabalho Escravo,SF,Titular
825,1607,RBPM,Representação Brasileira no Parlamento do Mercosul,CN,Titular
825,2618,CEIDCERTA,Subcomissão Permanente da Alfabetização na Idade Certa,SF,Titular
825,1665,CDHTRAF,Subc. Perm. para enfrentamento do Tráfico Nac. e Internacional de Pessoas e Combate ao Trab. Escravo,SF,Titular
825,1451,CASEMP,Subcomissão Permanente em Defesa do Emprego e da Previdência Social,SF,Titular
825,1451,CASEMP,Subcomissão Permanente em Defesa do Emprego e da Previdência Social,SF,Titular
825,1323,CASDEF,Subcomissão Permanente de Assuntos Sociais das Pessoas com Deficiência,SF,Titular
825,1357,CECTMCS,"Subcomissão Permanente de Cinema, Teatro, Música e Comunicação Social",SF,Titular
825,1357,CECTMCS,"Subcomissão Permanente de Cinema, Teatro, Música e Comunicação Social",SF,Titular
825,2127,CDHET,Subcomissão Temporária do Estatuto do Trabalho,SF,Titular
825,1588,CDHPECAJI,"Subc. Temp. de Comb. à Pedofilia,  Proteção dos Direitos da Criança,  Adolescente, Juventude e Idoso",SF,Titular
825,1588,CDHPECAJI,"Subc. Temp. de Comb. à Pedofilia,  Proteção dos Direitos da Criança,  Adolescente, Juventude e Idoso",SF,Titular
825,1621,CMEEMC69,"Ato do Presidente do Congresso Nacional nº 15, de 2012",CN,Titular
825,1381,CMESM,CMESP - Salário Mínimo - 2005,CN,Titular
825,288,POBREZA,CMESP -  Combate à Pobreza - 1999,CN,Titular
825,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
825,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
825,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
825,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
825,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
825,1611,CMO2012,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização 2012",CN,Titular
825,1715,VET 32/2013,Veto Parcial nº 32 de 2013,CN,Titular
825,1748,VET 50/2013,Veto Total nº 50 de 2013,CN,Titular
825,1816,VET 8/2014,"Veto Parcial nº 8, de 2014",CN,Titular
825,1712,VET 31/2013,Veto Total nº 31 de 2013,CN,Titular
825,1841,VET 24/2014,"Veto Parcial nº 24, de 2014",CN,Titular
825,1688,Vet 10/2013,Veto Parcial nº 10/2013,CN,Titular
825,1691,Vet 13/2013,Veto Parcial nº 13/2013,CN,Titular
825,2170,CDHINT,Subcomissão dos Direitos Humanos na Intervenção Federal,SF,Titular
825,2033,CEAPF,Comissão Especial para o Aprimoramento do Pacto Federativo 2016,SF,Titular
825,2034,CEDN,Comissão Especial do Desenvolvimento Nacional,SF,Titular
825,1653,CTLEGINC,CT - LEVANTAMENTO DA LEGISLAÇÃO PERTINENTE À PREVENÇÃO E COMBATE DE INCÊNDIOS NO BRASIL,SF,Titular
825,1424,CPMICPGF,CPMI - Cartões Corporativos - 2008,CN,Titular
825,1358,CPMI Ambulâncias,CPMI - Ambulâncias - 2006,CN,Titular
825,2093,CPIPREV,CPI da Previdência - 2017,SF,Titular
825,1734,CPIJOV,CPI  da Investigação do assassinato de jovens negros no Brasil,SF,Titular
825,1900,CPIDPRO,CPI das Próteses - 2015,SF,Titular
825,1905,CPIADJ,CPI do Assassinato de Jovens - 2015,SF,Titular
825,1656,CPIVDHS,Violação do Direito Humano à Saúde,SF,Titular
825,1422,CPIPED,CPI - Pedofilia - 2008,SF,Titular
825,1422,CPIPED,CPI - Pedofilia - 2008,SF,Titular
825,1260,BINGOS,CPI - Bingos - 2004,SF,Titular
825,2615,CEsp,Comissão de Esporte,SF,Titular
825,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
825,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
