codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5502,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
5502,1684,CRCN,Comissão Representativa do Congresso Nacional,CN,Suplente
5502,2465,CMABIOPANT,Subcomissão Permanente de Proteção ao Pantanal,SF,Suplente
5502,2259,CDRUBM,Subcomissão Temporária Usina de Belo Monte,SF,Suplente
5502,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Suplente
5502,2615,CEsp,Comissão de Esporte,SF,Suplente
5502,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5502,1716,CSF,Comissão Senado do Futuro,SF,Suplente
5502,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5502,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5502,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5502,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5502,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5502,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5502,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5502,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5502,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5502,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5502,47,CE,Comissão de Educação e Cultura,SF,Suplente
5502,47,CE,Comissão de Educação e Cultura,SF,Suplente
5502,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5502,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5502,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5502,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5502,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5502,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5502,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
