codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5386,1669,RELSETCMO,Relatores Setoriais do Projeto de Lei Orçamentária,CN,Titular
5386,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5386,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5386,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5386,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5386,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5386,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5386,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Suplente
5386,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
5386,2597,CPIONGS,CPI DAS ONGS,SF,Suplente
5386,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
5386,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5386,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5386,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5386,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5386,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5386,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5386,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5386,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5386,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5386,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5386,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5386,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5386,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
5386,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
5386,1752,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
5386,2618,CEIDCERTA,Subcomissão Permanente da Alfabetização na Idade Certa,SF,Titular
5386,2590,CEENSINO,Subcomissão Temporária para debater e avaliar o Ensino Médio no Brasil,SF,Titular
5386,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
5386,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
5386,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
5386,1908,CMO17,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização de 2017",CN,Titular
5386,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5386,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5386,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5386,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5386,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5386,1611,CMO2012,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização 2012",CN,Titular
5386,1766,VET 57/2013,"Veto Parcial nº 57, de 2013",CN,Titular
5386,1580,CPMIVCM,CPMI - Violência contra a Mulher - 2012,CN,Titular
5386,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5386,47,CE,Comissão de Educação e Cultura,SF,Titular
5386,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5386,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5386,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5386,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
5386,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
5386,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
5386,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5386,1701,CAR,Comitê de Avaliação da Receita,CN,Titular
5386,1625,CFIS,"Comitê de Avaliação , Fiscalização e Controle da Execução Orçamentária",CN,Titular
5386,2605,GPUCRANIA,Grupo Parlamentar Brasil - Ucrânia,CN,Titular
5386,2307,GPISRAEL,Grupo Parlamentar Brasil - Israel,CN,Titular
5386,2049,GPIRLANDA,Grupo Parlamentar Brasil - Irlanda,CN,Titular
5386,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
5386,2052,GPSÉRVIA,Grupo Parlamentar Brasil - Sérvia,CN,Titular
5386,2040,GPARGENTINA,Grupo Parlamentar Brasil - Argentina,CN,Titular
