codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5012,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
5012,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5012,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5012,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5012,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5012,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5012,1859,CRCN,Comissão Representativa do Congresso Nacional,CN,Suplente
5012,1448,CREPAFF,Subcomissão Permanente da Amazônia e da Faixa de Fronteira,SF,Suplente
5012,1448,CREPAFF,Subcomissão Permanente da Amazônia e da Faixa de Fronteira,SF,Suplente
5012,1903,CDHJT,Subcomissão Permanente de Justiça de Transição,SF,Suplente
5012,1665,CDHTRAF,Subc. Perm. para enfrentamento do Tráfico Nac. e Internacional de Pessoas e Combate ao Trab. Escravo,SF,Suplente
5012,1367,CRER20,Subc. Perm. de Monit. da Impl. das Medidas Adot. na Rio+20 e Regime Internac. s/ Mudanças Climáticas,SF,Suplente
5012,2251,CRESTV,Subcomissão Temporária sobre a Venezuela,SF,Suplente
5012,1588,CDHPECAJI,"Subc. Temp. de Comb. à Pedofilia,  Proteção dos Direitos da Criança,  Adolescente, Juventude e Idoso",SF,Suplente
5012,1588,CDHPECAJI,"Subc. Temp. de Comb. à Pedofilia,  Proteção dos Direitos da Criança,  Adolescente, Juventude e Idoso",SF,Suplente
5012,2342,CN-Covid19,Comissão Mista  destinada a acompanhar a situação fiscal e a execução orçamentária e financeira das medidas relacionadas ao coronavírus (Covid-19),CN,Suplente
5012,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5012,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5012,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5012,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Suplente
5012,2016,CEI2016,Comissão Especial do Impeachment  2016,SF,Suplente
5012,2034,CEDN,Comissão Especial do Desenvolvimento Nacional,SF,Suplente
5012,1951,CEDN,Comissão Especial do Desenvolvimento Nacional,SF,Suplente
5012,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
5012,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
5012,1589,CPMIVEGAS,CPMI - Vegas (Cachoeira) - 2012,CN,Suplente
5012,1928,CPIDFDQ,CPI do Futebol - 2015,SF,Suplente
5012,1900,CPIDPRO,CPI das Próteses - 2015,SF,Suplente
5012,1921,CPICARF,CPI do CARF - 2015,SF,Suplente
5012,1905,CPIADJ,CPI do Assassinato de Jovens - 2015,SF,Suplente
5012,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5012,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5012,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5012,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5012,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5012,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5012,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5012,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5012,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5012,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5012,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5012,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5012,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5012,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5012,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5012,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5012,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5012,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5012,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5012,47,CE,Comissão de Educação e Cultura,SF,Suplente
5012,47,CE,Comissão de Educação e Cultura,SF,Suplente
5012,47,CE,Comissão de Educação e Cultura,SF,Suplente
5012,47,CE,Comissão de Educação e Cultura,SF,Suplente
5012,47,CE,Comissão de Educação e Cultura,SF,Suplente
5012,47,CE,Comissão de Educação e Cultura,SF,Suplente
5012,47,CE,Comissão de Educação e Cultura,SF,Suplente
5012,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5012,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5012,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5012,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5012,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5012,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5012,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5012,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5012,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5012,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5012,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5012,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5012,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5012,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5012,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5012,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5012,2305,CTEOLEO,Comissão Temporária Externa para acompanhar as ações de enfrentamento às manchas de óleo no litoral brasileiro.,SF,Titular
5012,2539,CTENORTE,"Comissão Temporária Externa para investigar, ""in loco"", as causas do aumento da criminalidade e de atentados na região Norte.",SF,Titular
5012,1878,CEVEN,Comissão Externa para verificar in loco a situação na Venezuela,SF,Titular
5012,1724,CTSEGPUBL,CT - Destinada a debater e propor soluções para o financiamento da  Segurança Pública no Brasil,SF,Titular
5012,2192,CICLCC,Comenda de Incentivo à Cultura Luís da Câmara Cascudo,SF,Titular
5012,2263,CESF,Conselho Editorial do Senado Federal,SF,Titular
5012,1713,CDGN,Conselho da Comenda Dorina de Gouvêa Nowill,SF,Titular
5012,1940,PJRM,Conselho do Prêmio Jornalista Roberto Marinho de Mérito Jornalístico,SF,Titular
5012,1940,PJRM,Conselho do Prêmio Jornalista Roberto Marinho de Mérito Jornalístico,SF,Titular
5012,1750,CSAN,Conselho da Comenda Senador Abdias Nascimento,SF,Titular
5012,1750,CSAN,Conselho da Comenda Senador Abdias Nascimento,SF,Titular
5012,1546,PJS,Conselho do Projeto Jovem Senador,SF,Titular
5012,1546,PJS,Conselho do Projeto Jovem Senador,SF,Titular
5012,1546,PJS,Conselho do Projeto Jovem Senador,SF,Titular
5012,1546,PJS,Conselho do Projeto Jovem Senador,SF,Titular
5012,1546,PJS,Conselho do Projeto Jovem Senador,SF,Titular
5012,1530,DJEM,Conselho do Diploma José Ermírio de Moraes,SF,Titular
5012,1530,DJEM,Conselho do Diploma José Ermírio de Moraes,SF,Titular
5012,1530,DJEM,Conselho do Diploma José Ermírio de Moraes,SF,Titular
5012,1617,PMA,Conselho do Prêmio Mérito Ambiental,SF,Titular
5012,1617,PMA,Conselho do Prêmio Mérito Ambiental,SF,Titular
5012,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
5012,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
5012,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
5012,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
5012,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
5012,770,CDBL,Conselho do Diploma Bertha Lutz,SF,Titular
5012,770,CDBL,Conselho do Diploma Bertha Lutz,SF,Titular
5012,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
5012,1645,CR,Comissão Representativa do Congresso Nacional,CN,Titular
5012,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
5012,1666,CDHMVJ,"Subcomissão Permanente da Memória, Verdade e Justiça",SF,Titular
5012,1313,CAEAM,Subcomissão Permanente - Assuntos Municipais,SF,Titular
5012,914,CCJSSP,Subcomissão Permanente de Segurança Pública,SF,Titular
5012,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5012,1636,FIPA,Comissão Mista Representativa do Congresso Nacional no Fórum Interparlamentar das Américas,CN,Titular
5012,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5012,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
5012,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
5012,1715,VET 32/2013,Veto Parcial nº 32 de 2013,CN,Titular
5012,1737,VET 46/2013,Veto nº 46 de 2013,CN,Titular
5012,1792,VET 2/2014,"Veto Parcial nº 2, de 2014",CN,Titular
5012,1853,VET 32/2014,"Veto Parcial nº 32, de 2014",CN,Titular
5012,1824,VET 15/2014,"Veto Parcial nº 15, de 2014",CN,Titular
5012,1725,VET 38/2013,Veto nº 38 de 2013,CN,Titular
5012,1698,VET 24/2013,Veto Parcial nº 24 de 2013,CN,Titular
5012,2589,CEHV,Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde,SF,Titular
