codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
70,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
70,769,DMEDR,Conselho do Diploma do Mérito Educativo Darcy Ribeiro,CN,Nato
70,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
70,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
70,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
70,185,JUDICIÁRIO,CPI - Judiciário - 1999,SF,Suplente
70,317,FUTEBOL,CPI - Futebol - 2000,SF,Suplente
70,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
70,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
70,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
70,50,CMA,Comissão de Meio Ambiente,SF,Suplente
70,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
70,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
70,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
70,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
70,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
70,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
70,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
70,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
70,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
70,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
70,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
70,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
70,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
70,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
70,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
70,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
70,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
70,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
70,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
70,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
70,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
70,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
70,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
70,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
70,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
70,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
70,1645,CR,Comissão Representativa do Congresso Nacional,CN,Titular
70,1271,CR,Comissão Representativa do Congresso Nacional,CN,Titular
70,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
70,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
70,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
70,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
70,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
70,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
70,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
70,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
70,876,CASCAJ,"Subcomissão Temp. da Criança, do Adolescente e da Juventude",SF,Titular
70,312,ENCHENTES,CESP - Enchentes Pernambuco e Alagoas - 2000,SF,Titular
70,285,CCJSJ,"Subcomissão do ""Judiciário""",SF,Titular
70,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
70,914,CCJSSP,Subcomissão Permanente de Segurança Pública,SF,Titular
70,1352,Porte de Armas,CMESP - Porte de Armas - Prejudicado - 2003,CN,Titular
70,687,SEGPUB,CMESP - Segurança Pública - 2002,CN,Titular
70,288,POBREZA,CMESP -  Combate à Pobreza - 1999,CN,Titular
70,2091,CMCF,Comissão Mista de Consolidação da Legislação Federal,CN,Titular
70,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
70,1908,CMO17,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização de 2017",CN,Titular
70,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
70,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
70,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
70,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
70,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
70,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
70,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
70,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
70,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
