codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5905,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
5905,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5905,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
5905,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Suplente
5905,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
5905,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5905,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5905,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5905,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5905,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5905,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5905,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5905,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5905,47,CE,Comissão de Educação e Cultura,SF,Suplente
5905,47,CE,Comissão de Educação e Cultura,SF,Suplente
5905,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5905,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5905,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5905,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5905,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5905,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5905,2305,CTEOLEO,Comissão Temporária Externa para acompanhar as ações de enfrentamento às manchas de óleo no litoral brasileiro.,SF,Titular
5905,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
5905,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5905,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5905,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5905,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
5905,2589,CEHV,Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde,SF,Titular
5905,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Titular
5905,2615,CEsp,Comissão de Esporte,SF,Titular
5905,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5905,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5905,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5905,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5905,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5905,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5905,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5905,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5905,50,CMA,Comissão de Meio Ambiente,SF,Titular
5905,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5905,47,CE,Comissão de Educação e Cultura,SF,Titular
5905,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5905,2619,FPCULTURA,Frente Parlamentar da Cultura,CN,Titular
5905,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5905,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5905,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
5905,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
5905,2478,FPSCT,Frente Parlamentar pela Segurança de Crianças e Adolescentes no Trânsito,CN,Titular
5905,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5905,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5905,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5905,1722,COI,Comitê de Avaliação das Inform. sobre Obras e Serviços com Indícios de Irregularidades Graves,CN,Titular
5905,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
5905,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
5905,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
