codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5732,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
5732,2342,CN-Covid19,Comissão Mista  destinada a acompanhar a situação fiscal e a execução orçamentária e financeira das medidas relacionadas ao coronavírus (Covid-19),CN,Suplente
5732,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5732,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5732,1902,CEPSF,Conselho de Estudos Políticos,SF,Titular
5732,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
5732,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
5732,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
5732,2253,CEPREV,"Comissão Especial destinada a acompanhar a PEC 6, de 2019",SF,Titular
5732,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5732,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5732,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5732,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5732,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5732,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5732,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5732,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5732,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5732,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
5732,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
5732,2317,GPFRANCA,Grupo Parlamentar Brasil - França,CN,Titular
5732,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
