codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5352,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
5352,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5352,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5352,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5352,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5352,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
5352,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Suplente
5352,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
5352,2441,CPIPANDEMIA,CPI da Pandemia,SF,Suplente
5352,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5352,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5352,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5352,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5352,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5352,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5352,47,CE,Comissão de Educação e Cultura,SF,Suplente
5352,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5352,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
5352,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
5352,2255,CAEALGCP,Subcomissão Temporária para Análise da Legislação sobre a Gestão das Cadeias Produtivas,SF,Titular
5352,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5352,2342,CN-Covid19,Comissão Mista  destinada a acompanhar a situação fiscal e a execução orçamentária e financeira das medidas relacionadas ao coronavírus (Covid-19),CN,Titular
5352,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
5352,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
5352,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Titular
5352,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Titular
5352,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
5352,2429,CSP,Comissão de Segurança Pública,SF,Titular
5352,2429,CSP,Comissão de Segurança Pública,SF,Titular
5352,1716,CSF,Comissão Senado do Futuro,SF,Titular
5352,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5352,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5352,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5352,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5352,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5352,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5352,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
5352,2479,FPOPC,Frente Parlamentar Observatório da Pandemia Covid-19,CN,Titular
5352,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5352,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5352,2525,FPCONTROLE,"Frente Parlamentar pelo Controle de Armas e Munições, pela Paz e Pela Vida",CN,Titular
5352,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
5352,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5352,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5352,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
5352,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5352,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5352,2443,FPD,Frente Parlamentar pelo Desarmamento,CN,Titular
5352,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5352,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
5352,2437,GPBOLIVIA,Grupo Parlamentar Brasil - Bolívia,CN,Titular
5352,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
5352,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
