codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5322,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
5322,2166,CEINT,Comissão Externa de Fiscalização da Intervenção Federal no Rio de Janeiro 2018,SF,Suplente
5322,2166,CEINT,Comissão Externa de Fiscalização da Intervenção Federal no Rio de Janeiro 2018,SF,Suplente
5322,1859,CRCN,Comissão Representativa do Congresso Nacional,CN,Suplente
5322,2131,CASRARAS,Subcomissão Especial sobre Doenças Raras,SF,Suplente
5322,2475,CASSPPDR,Subcomissão Permanente de Acompanhamento das Políticas Públicas para as Pessoas com Doenças Raras,SF,Suplente
5322,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Suplente
5322,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5322,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
5322,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5322,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5322,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5322,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5322,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5322,47,CE,Comissão de Educação e Cultura,SF,Suplente
5322,47,CE,Comissão de Educação e Cultura,SF,Suplente
5322,47,CE,Comissão de Educação e Cultura,SF,Suplente
5322,47,CE,Comissão de Educação e Cultura,SF,Suplente
5322,47,CE,Comissão de Educação e Cultura,SF,Suplente
5322,47,CE,Comissão de Educação e Cultura,SF,Suplente
5322,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5322,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5322,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5322,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5322,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5322,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5322,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5322,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5322,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5322,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5322,2506,CTEPETR,"Comissão Temporária Externa destinada a acompanhar ""in loco"" a situação do Município de Petrópolis-RJ",SF,Titular
5322,2192,CICLCC,Comenda de Incentivo à Cultura Luís da Câmara Cascudo,SF,Titular
5322,1713,CDGN,Conselho da Comenda Dorina de Gouvêa Nowill,SF,Titular
5322,1713,CDGN,Conselho da Comenda Dorina de Gouvêa Nowill,SF,Titular
5322,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
5322,2278,CASDPI,Subcomissão Permanente de Proteção e Defesa da Pessoa Idosa,SF,Titular
5322,2279,CASPCD,Subcomissão Permanente da Pessoa com Deficiência,SF,Titular
5322,2474,CASSTPCD,Subcomissão Temporária de Assuntos Sociais das Pessoas com Deficiência,SF,Titular
5322,2280,CASDRAR,Subcomissão Temporária sobre Doenças Raras,SF,Titular
5322,2016,CEI2016,Comissão Especial do Impeachment  2016,SF,Titular
5322,2170,CDHINT,Subcomissão dos Direitos Humanos na Intervenção Federal,SF,Titular
5322,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Titular
5322,1928,CPIDFDQ,CPI do Futebol - 2015,SF,Titular
5322,1900,CPIDPRO,CPI das Próteses - 2015,SF,Titular
5322,2615,CEsp,Comissão de Esporte,SF,Titular
5322,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5322,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5322,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5322,47,CE,Comissão de Educação e Cultura,SF,Titular
5322,47,CE,Comissão de Educação e Cultura,SF,Titular
5322,47,CE,Comissão de Educação e Cultura,SF,Titular
5322,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5322,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5322,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5322,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5322,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5322,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5322,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5322,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5322,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
5322,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5322,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5322,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5322,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5322,2046,GPESPANHA,Grupo Parlamentar Brasil - Espanha,CN,Titular
5322,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
5322,2056,GPSINGAPURA,Grupo Parlamentar Brasil - Singapura,CN,Titular
5322,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
5322,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
5322,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
5322,2052,GPSÉRVIA,Grupo Parlamentar Brasil - Sérvia,CN,Titular
5322,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
