codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6331,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
6331,2621,CREDC,Subcomissão Permanente de Defesa Cibernética,SF,Suplente
6331,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
6331,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
6331,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
6331,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
6331,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
6331,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
6331,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6331,2648,CTEBOLÍVIA,"Comissão Temporária Externa para verificar ""in loco"" a situação política e social do Estado Plurinacional da Bolívia",SF,Titular
6331,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
6331,2429,CSP,Comissão de Segurança Pública,SF,Titular
6331,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
6331,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
6331,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
6331,2605,GPUCRANIA,Grupo Parlamentar Brasil - Ucrânia,CN,Titular
