codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5988,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
5988,2279,CASPCD,Subcomissão Permanente da Pessoa com Deficiência,SF,Suplente
5988,2293,CRESTL,Subcomissão Temporária sobre o favorecimento à Leros,SF,Suplente
5988,2251,CRESTV,Subcomissão Temporária sobre a Venezuela,SF,Suplente
5988,2280,CASDRAR,Subcomissão Temporária sobre Doenças Raras,SF,Suplente
5988,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5988,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5988,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5988,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5988,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5988,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5988,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5988,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Suplente
5988,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5988,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5988,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5988,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5988,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5988,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5988,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5988,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5988,47,CE,Comissão de Educação e Cultura,SF,Suplente
5988,47,CE,Comissão de Educação e Cultura,SF,Suplente
5988,47,CE,Comissão de Educação e Cultura,SF,Suplente
5988,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5988,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5988,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5988,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5988,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5988,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5988,2386,CTEPANTANAL,Comissão Temporária Externa para acompanhar as ações de enfrentamento aos incêndios detectados no bioma Pantanal,SF,Titular
5988,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Titular
5988,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
5988,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
5988,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
5988,2684,CEEJA,Subcomissão Permanente para acompanhar as políticas de Educação de Jovens e Adultos,SF,Titular
5988,2257,CRAFUND,Subcomissão Temporária sobre a Regularização Fundiária,SF,Titular
5988,2274,CDHSPB,Subcomissão Temporária sobre o Sistema Penitenciário Brasileiro,SF,Titular
5988,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5988,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
