codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5959,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
5959,2272,CEEEFCB,"Subcomissão Permanente sobre Esporte, Educação Física e Formação de Categorias de Base",SF,Suplente
5959,2279,CASPCD,Subcomissão Permanente da Pessoa com Deficiência,SF,Suplente
5959,2280,CASDRAR,Subcomissão Temporária sobre Doenças Raras,SF,Suplente
5959,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5959,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5959,2253,CEPREV,"Comissão Especial destinada a acompanhar a PEC 6, de 2019",SF,Suplente
5959,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
5959,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
5959,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5959,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5959,1716,CSF,Comissão Senado do Futuro,SF,Suplente
5959,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5959,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5959,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5959,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5959,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5959,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5959,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5959,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5959,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5959,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5959,2305,CTEOLEO,Comissão Temporária Externa para acompanhar as ações de enfrentamento às manchas de óleo no litoral brasileiro.,SF,Titular
5959,2145,CZA,Comenda Zilda Arns,SF,Titular
5959,2278,CASDPI,Subcomissão Permanente de Proteção e Defesa da Pessoa Idosa,SF,Titular
5959,2299,CMABSXXI,Subcomissão Temporária do Grande Impulso para a Sustentabilidade,SF,Titular
5959,2274,CDHSPB,Subcomissão Temporária sobre o Sistema Penitenciário Brasileiro,SF,Titular
5959,2247,CDHSTMU,Subcomissão Temporária sobre Mobilidade Urbana,SF,Titular
5959,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
5959,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Titular
5959,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Titular
5959,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Titular
5959,2597,CPIONGS,CPI DAS ONGS,SF,Titular
5959,1716,CSF,Comissão Senado do Futuro,SF,Titular
5959,1716,CSF,Comissão Senado do Futuro,SF,Titular
5959,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5959,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5959,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5959,50,CMA,Comissão de Meio Ambiente,SF,Titular
5959,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5959,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5959,47,CE,Comissão de Educação e Cultura,SF,Titular
5959,47,CE,Comissão de Educação e Cultura,SF,Titular
5959,47,CE,Comissão de Educação e Cultura,SF,Titular
5959,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5959,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5959,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5959,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5959,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
5959,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
5959,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
5959,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
5959,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5959,2266,FPTGP,Frente Parlamentar para a Transparência dos Gastos Públicos,CN,Titular
5959,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5959,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5959,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
5959,2306,GPPANAMÁ,Grupo Parlamentar Brasil - Panamá,CN,Titular
5959,2043,GPCAZAQUISTÃO,Grupo Parlamentar Brasil - Cazaquistão,CN,Titular
5959,2043,GPCAZAQUISTÃO,Grupo Parlamentar Brasil - Cazaquistão,CN,Titular
5959,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
5959,2056,GPSINGAPURA,Grupo Parlamentar Brasil - Singapura,CN,Titular
5959,2054,GPPARAGUAI,Grupo Parlamentar Brasil - Paraguai,CN,Titular
5959,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
