codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
4560,2040,GPARGENTINA,Grupo Parlamentar Brasil - Argentina,CN,Titular
4560,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Nato
4560,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
4560,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
4560,1752,CRCN,Comissão Representativa do Congresso Nacional,CN,Suplente
4560,1684,CRCN,Comissão Representativa do Congresso Nacional,CN,Suplente
4560,1451,CASEMP,Subcomissão Permanente em Defesa do Emprego e da Previdência Social,SF,Suplente
4560,2168,CMO-2018,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização de 2018",CN,Suplente
4560,2091,CMCF,Comissão Mista de Consolidação da Legislação Federal,CN,Suplente
4560,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
4560,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4560,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4560,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4560,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4560,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4560,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
4560,2016,CEI2016,Comissão Especial do Impeachment  2016,SF,Suplente
4560,2034,CEDN,Comissão Especial do Desenvolvimento Nacional,SF,Suplente
4560,1760,CTRCC,Comissão Temporária para Reforma do Código Comercial (Art. 374-RISF) - 2014,SF,Suplente
4560,1813,CPMIMETRÔ,CPMI do Metrô - 2014,CN,Suplente
4560,1589,CPMIVEGAS,CPMI - Vegas (Cachoeira) - 2012,CN,Suplente
4560,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Suplente
4560,1734,CPIJOV,CPI  da Investigação do assassinato de jovens negros no Brasil,SF,Suplente
4560,1682,CPIDAESP,CPI da Espionagem - 2013,SF,Suplente
4560,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
4560,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
4560,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
4560,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
4560,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
4560,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
4560,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
4560,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
4560,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
4560,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
4560,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
4560,50,CMA,Comissão de Meio Ambiente,SF,Suplente
4560,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4560,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4560,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4560,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4560,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4560,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4560,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4560,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4560,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4560,47,CE,Comissão de Educação e Cultura,SF,Suplente
4560,47,CE,Comissão de Educação e Cultura,SF,Suplente
4560,47,CE,Comissão de Educação e Cultura,SF,Suplente
4560,47,CE,Comissão de Educação e Cultura,SF,Suplente
4560,47,CE,Comissão de Educação e Cultura,SF,Suplente
4560,47,CE,Comissão de Educação e Cultura,SF,Suplente
4560,47,CE,Comissão de Educação e Cultura,SF,Suplente
4560,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
4560,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
4560,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
4560,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
4560,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
4560,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
