codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5736,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
5736,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5736,2637,CMAATIVOS,Subcomissão Temporária para discutir e analisar o Mercado de Ativos Ambientais Brasileiros,SF,Suplente
5736,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5736,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5736,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5736,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5736,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5736,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5736,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5736,1859,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
5736,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
5736,2591,CMABIOPAN,Subcomissão Permanente do Bioma Pantanal.,SF,Titular
5736,2091,CMCF,Comissão Mista de Consolidação da Legislação Federal,CN,Titular
5736,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
5736,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
5736,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
5736,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Titular
5736,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
5736,50,CMA,Comissão de Meio Ambiente,SF,Titular
5736,50,CMA,Comissão de Meio Ambiente,SF,Titular
5736,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5736,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5736,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5736,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5736,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
5736,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
5736,2635,FPEMBRAPA,Frente Parlamentar Mista pelo Fortalecimento da Empresa Brasileira de Pesquisa Agropecuária (Embrapa),CN,Titular
5736,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
