codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5899,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
5899,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5899,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5899,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5899,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5899,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
5899,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5899,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5899,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5899,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5899,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5899,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5899,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5899,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5899,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5899,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5899,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5899,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5899,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5899,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5899,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5899,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5899,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5899,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
5899,2260,CTEMINAÇU,Comissão Temporária Externa  para conhecer a realidade de Minaçu,SF,Titular
5899,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5899,2342,CN-Covid19,Comissão Mista  destinada a acompanhar a situação fiscal e a execução orçamentária e financeira das medidas relacionadas ao coronavírus (Covid-19),CN,Titular
5899,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5899,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Titular
5899,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Titular
5899,2294,CTRCC,Comissão Temporária para Reforma do Código Comercial (Art. 374-RISF) - 2019,SF,Titular
5899,2398,CT-5G,Comissão Temporária Interna sobre a implantação da tecnologia 5G no Brasil.,SF,Titular
5899,2398,CT-5G,Comissão Temporária Interna sobre a implantação da tecnologia 5G no Brasil.,SF,Titular
5899,2429,CSP,Comissão de Segurança Pública,SF,Titular
5899,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5899,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5899,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5899,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5899,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5899,50,CMA,Comissão de Meio Ambiente,SF,Titular
5899,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5899,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5899,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5899,47,CE,Comissão de Educação e Cultura,SF,Titular
5899,47,CE,Comissão de Educação e Cultura,SF,Titular
5899,47,CE,Comissão de Educação e Cultura,SF,Titular
5899,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5899,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5899,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5899,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5899,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5899,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5899,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5899,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5899,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5899,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
5899,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
5899,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5899,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5899,1701,CAR,Comitê de Avaliação da Receita,CN,Titular
5899,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
5899,2481,GPSUIÇA,Grupo Parlamentar Brasil-Confederação Suíça,CN,Titular
5899,2481,GPSUIÇA,Grupo Parlamentar Brasil-Confederação Suíça,CN,Titular
5899,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
