codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5748,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
5748,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5748,2684,CEEJA,Subcomissão Permanente para acompanhar as políticas de Educação de Jovens e Adultos,SF,Suplente
5748,2255,CAEALGCP,Subcomissão Temporária para Análise da Legislação sobre a Gestão das Cadeias Produtivas,SF,Suplente
5748,1908,CMO17,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização de 2017",CN,Suplente
5748,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5748,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5748,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5748,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5748,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5748,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5748,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5748,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5748,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5748,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5748,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5748,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5748,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5748,47,CE,Comissão de Educação e Cultura,SF,Suplente
5748,47,CE,Comissão de Educação e Cultura,SF,Suplente
5748,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5748,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5748,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5748,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5748,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5748,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
