codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5411,2054,GPPARAGUAI,Grupo Parlamentar Brasil - Paraguai,CN,Titular
5411,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5411,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5411,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Suplente
5411,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
5411,2617,CDD,Comissão de Defesa da Democracia,SF,Suplente
5411,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5411,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5411,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5411,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5411,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5411,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5411,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5411,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5411,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5411,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5411,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
5411,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
5411,1859,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
5411,1859,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
5411,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
5411,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
5411,1908,CMO17,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização de 2017",CN,Titular
5411,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5411,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5411,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5411,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
5411,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Titular
5411,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Titular
5411,2110,CPMI - JBS,Comissão Parlamentar Mista de Inquérito da JBS - 2017,CN,Titular
5411,2429,CSP,Comissão de Segurança Pública,SF,Titular
5411,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5411,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5411,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5411,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5411,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5411,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5411,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5411,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5411,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
5411,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5411,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5411,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
5411,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5411,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5411,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
5411,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
5411,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5411,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5411,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5411,1701,CAR,Comitê de Avaliação da Receita,CN,Titular
5411,1701,CAR,Comitê de Avaliação da Receita,CN,Titular
5411,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
5411,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
5411,2433,GPEMIRADOSARABES,Grupo Parlamentar Brasil - Emirados Árabes Unidos,CN,Titular
5411,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
5411,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
5411,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
5411,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
