codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5070,1669,RELSETCMO,Relatores Setoriais do Projeto de Lei Orçamentária,CN,Titular
5070,1563,CAEMPEEI,Subcomissão Permanente das Micro e Pequenas Empresas e do Empreendedor Individual,SF,Suplente
5070,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5070,2016,CEI2016,Comissão Especial do Impeachment  2016,SF,Suplente
5070,1950,CTPLS131,"Comissão Especial para Análise do PLS nº 131, de 2015",SF,Suplente
5070,1950,CTPLS131,"Comissão Especial para Análise do PLS nº 131, de 2015",SF,Suplente
5070,1941,CTPLS,"Comissão Especial para Análise do PLS nº 131, de 2015",SF,Suplente
5070,1951,CEDN,Comissão Especial do Desenvolvimento Nacional,SF,Suplente
5070,2110,CPMI - JBS,Comissão Parlamentar Mista de Inquérito da JBS - 2017,CN,Suplente
5070,1900,CPIDPRO,CPI das Próteses - 2015,SF,Suplente
5070,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5070,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5070,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5070,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5070,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5070,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5070,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5070,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5070,47,CE,Comissão de Educação e Cultura,SF,Suplente
5070,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5070,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5070,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5070,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5070,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5070,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5070,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5070,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5070,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5070,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5070,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5070,1994,CTPNSB,Comissão Temporária da Política Nacional de Segurança de Barragens - 2015,SF,Titular
5070,1806,CTCPC,CT - Reforma do Código de Processo Civil,SF,Titular
5070,1806,CTCPC,CT - Reforma do Código de Processo Civil,SF,Titular
5070,1677,CTLICON,CT - Modernização da Lei de Licitações e Contratos  (Lei nº 8.666/1993),SF,Titular
5070,1546,PJS,Conselho do Projeto Jovem Senador,SF,Titular
5070,1546,PJS,Conselho do Projeto Jovem Senador,SF,Titular
5070,1617,PMA,Conselho do Prêmio Mérito Ambiental,SF,Titular
5070,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
5070,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
5070,2147,CCC,Comissão Temporária para Reforma do Código Comercial (Art. 374-RISF),SF,Titular
5070,1607,RBPM,Representação Brasileira no Parlamento do Mercosul,CN,Titular
