codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5783,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
5783,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5783,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5783,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5783,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5783,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5783,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5783,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5783,2342,CN-Covid19,Comissão Mista  destinada a acompanhar a situação fiscal e a execução orçamentária e financeira das medidas relacionadas ao coronavírus (Covid-19),CN,Suplente
5783,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Suplente
5783,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5783,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5783,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5783,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5783,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
5783,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
5783,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
5783,2309,CPICHAPE,CPI sobre a situação das vítimas e familiares do acidente da Chapecoense,SF,Suplente
5783,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5783,1716,CSF,Comissão Senado do Futuro,SF,Suplente
5783,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5783,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5783,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5783,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5783,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5783,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5783,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5783,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5783,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5783,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5783,2584,CTEYANOMAMI,Comissão Temporária Externa para acompanhar a situação dos Yanomami e a saída dos garimpeiros,SF,Titular
5783,1713,CDGN,Conselho da Comenda Dorina de Gouvêa Nowill,SF,Titular
5783,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
5783,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
5783,1659,PROMUL,Procuradoria Especial da Mulher,SF,Titular
5783,2618,CEIDCERTA,Subcomissão Permanente da Alfabetização na Idade Certa,SF,Titular
5783,2475,CASSPPDR,Subcomissão Permanente de Acompanhamento das Políticas Públicas para as Pessoas com Doenças Raras,SF,Titular
5783,2272,CEEEFCB,"Subcomissão Permanente sobre Esporte, Educação Física e Formação de Categorias de Base",SF,Titular
5783,2278,CASDPI,Subcomissão Permanente de Proteção e Defesa da Pessoa Idosa,SF,Titular
5783,2279,CASPCD,Subcomissão Permanente da Pessoa com Deficiência,SF,Titular
5783,2474,CASSTPCD,Subcomissão Temporária de Assuntos Sociais das Pessoas com Deficiência,SF,Titular
5783,2462,CECTCOVID,Subcomissão Temporária para Acompanhamento da Educação na Pandemia,SF,Titular
5783,2280,CASDRAR,Subcomissão Temporária sobre Doenças Raras,SF,Titular
5783,2274,CDHSPB,Subcomissão Temporária sobre o Sistema Penitenciário Brasileiro,SF,Titular
5783,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5783,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
5783,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Titular
5783,2597,CPIONGS,CPI DAS ONGS,SF,Titular
5783,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
5783,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5783,47,CE,Comissão de Educação e Cultura,SF,Titular
5783,47,CE,Comissão de Educação e Cultura,SF,Titular
5783,47,CE,Comissão de Educação e Cultura,SF,Titular
5783,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5783,40,CAS,Comissão de Assuntos Sociais,SF,Titular
