codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
3806,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
3806,2684,CEEJA,Subcomissão Permanente para acompanhar as políticas de Educação de Jovens e Adultos,SF,Suplente
3806,2591,CMABIOPAN,Subcomissão Permanente do Bioma Pantanal.,SF,Suplente
3806,2637,CMAATIVOS,Subcomissão Temporária para discutir e analisar o Mercado de Ativos Ambientais Brasileiros,SF,Suplente
3806,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
3806,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
3806,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
3806,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
3806,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
3806,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
3806,2597,CPIONGS,CPI DAS ONGS,SF,Suplente
3806,2441,CPIPANDEMIA,CPI da Pandemia,SF,Suplente
3806,2246,CPIBRUM,CPI de Brumadinho,SF,Suplente
3806,2615,CEsp,Comissão de Esporte,SF,Suplente
3806,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
3806,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
3806,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
3806,50,CMA,Comissão de Meio Ambiente,SF,Suplente
3806,50,CMA,Comissão de Meio Ambiente,SF,Suplente
3806,50,CMA,Comissão de Meio Ambiente,SF,Suplente
3806,50,CMA,Comissão de Meio Ambiente,SF,Suplente
3806,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
3806,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
3806,47,CE,Comissão de Educação e Cultura,SF,Suplente
3806,47,CE,Comissão de Educação e Cultura,SF,Suplente
3806,47,CE,Comissão de Educação e Cultura,SF,Suplente
3806,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
3806,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
3806,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3806,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3806,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3806,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3806,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3806,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3806,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3806,2259,CDRUBM,Subcomissão Temporária Usina de Belo Monte,SF,Titular
3806,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
3806,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
3806,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
3806,1214,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
3806,2398,CT-5G,Comissão Temporária Interna sobre a implantação da tecnologia 5G no Brasil.,SF,Titular
3806,2597,CPIONGS,CPI DAS ONGS,SF,Titular
3806,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
3806,1716,CSF,Comissão Senado do Futuro,SF,Titular
3806,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
3806,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
3806,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
3806,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
3806,50,CMA,Comissão de Meio Ambiente,SF,Titular
3806,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
3806,40,CAS,Comissão de Assuntos Sociais,SF,Titular
3806,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
3806,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
3806,2627,FPMDFAV,Frente Parlamentar Mista em Defesa da Família e Apoio à Vida,CN,Titular
3806,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
3806,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
3806,2583,FPE,Frente Parlamentar Evangélica,CN,Titular
3806,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
3806,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
3806,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
3806,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
3806,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
3806,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
3806,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
3806,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
3806,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
3806,1722,COI,Comitê de Avaliação das Inform. sobre Obras e Serviços com Indícios de Irregularidades Graves,CN,Titular
3806,1701,CAR,Comitê de Avaliação da Receita,CN,Titular
3806,2666,GPJAPÃO,Grupo Parlamentar Brasil - Japão,CN,Titular
3806,2438,GPIRA,Grupo Parlamentar Brasil - Irã,CN,Titular
3806,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
3806,2400,GPOTCAM,Grupo Parlamentar da Organização do Tratado de Cooperação Amazônica,CN,Titular
3806,2400,GPOTCAM,Grupo Parlamentar da Organização do Tratado de Cooperação Amazônica,CN,Titular
3806,2307,GPISRAEL,Grupo Parlamentar Brasil - Israel,CN,Titular
3806,2433,GPEMIRADOSARABES,Grupo Parlamentar Brasil - Emirados Árabes Unidos,CN,Titular
3806,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
3806,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
3806,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
3806,2056,GPSINGAPURA,Grupo Parlamentar Brasil - Singapura,CN,Titular
3806,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
