codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5672,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 4392, de 2023, que ""Altera a Lei nº 7.565, de 19 de dezembro de 1986, que dispõe sobre o Código Brasileiro de Aeronáutica, para permitir a cabotagem aérea a empresas sul-americanas na Amazônia Legal"".",505998
5672,DIS,2024-03-12,Senado Federal,"Destaque para o inquérito civil, conduzido pelo Ministério Público Federal, sobre a atuação das empresas aéreas no Estado do Acre.",504482
5672,POR,2024-03-06,Senado Federal,Crítica à possibilidade de flexibilização e descriminalização da posse de drogas.,504297
5672,DIS,2024-03-06,Senado Federal,"Registro dos temas discutidos em reunião da CRA, como o desenvolvimento da agricultura nacional, em que se tratou do Projeto de Lei nº 699/2023, que institui o Programa de Desenvolvimento da Indústria de Fertilizantes – PROFERT; aprovação de audiência pública sobre a demarcação de terras indígenas e sobre o papel das mulheres rurais e apresentação de Emenda à Medida Provisória nº 1202/23 visando à defesa dos benefícios fiscais do Perse até 2027.",504294
5672,DIS,2024-02-27,Senado Federal,"Relato sobre a situação dos Municípios acrianos em virtude das inundações. Preocupação com as enchentes que assolam diversas cidades do Acre, destacando as proporções históricas do desastre e a necessidade urgente de apoio do Governo Federal.",504067
5672,PPP,2024-02-27,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 5826, de 2019, que ""Altera a Lei nº 11.326, de 24 de julho de 2006 (Lei da Agricultura Familiar), para ampliar o âmbito do planejamento e da execução de ações da Política Nacional da Agricultura Familiar e Empreendimentos Familiares Rurais"".",504057
5672,CIN,2024-02-07,Senado Federal,"Celebração da aprovação da urgência ao Projeto de Lei no. 2253/2022, que aborda as saídas temporárias de presos e ênfase para a importância do devido processo legal no País.",503831
5672,POR,2023-11-07,Senado Federal,"Registro da presença em Plenário do Sr. Michel Casagrande, Suplente de Senador, do Deputado Federal Coronel Ulysses e de outras autoridades da Polícia Militar do Estado do Acre. Cumprimentos ao Corpo de Bombeiros Militares do Acre.",501958
5672,PDI,2023-10-17,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3526, de 2019, que ""Estabelece a obrigatoriedade da prestação de cirurgia plástica reconstrutiva de lábio leporino ou fenda palatina pelo Sistema Único de Saúde (SUS)"".",501471
5672,DIS,2023-10-10,Senado Federal,"Solidariedade ao povo israelense. Anúncio da apresentação do Requerimento no. 899/2023, com pedido de informações ao Itamaraty acerca do posicionamento do Governo brasileiro sobre os ataques do grupo palestino Hamas contra Israel.",501218
5672,DIS,2023-09-20,Senado Federal,Críticas ao aborto e à decisão da Presidência do STF em pautar a Arguição de Preceito Fundamental (ADPF) 442 que trata da possibilidade de descriminalização do aborto em qualquer circunstância até a 12ª semana de gestação.,500702
5672,PDI,2023-09-12,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 920, de 2023, que ""Altera as Leis nºs 12.340, de 1º de dezembro de 2010, e 9.605, de 12 de fevereiro de 1998, para destinar parcela das arrecadações de recursos financeiros advindos do pagamento de multas por crimes e infrações ambientais e de acordos judiciais e extrajudiciais de reparação de danos socioambientais para o Fundo Nacional para Calamidades Públicas, Proteção e Defesa Civil (Funcap).""",500432
5672,PIC,2023-08-17,Senado Federal,Sessão de Debates Temáticos destinada a debater o tema da descriminalização do porte de drogas para consumo pessoal.,499834
5672,DIS,2023-08-08,Senado Federal,"Manifestação favorável ao Projeto de Lei 130/2019, que amplia a assistência à gestante do pré-natal ao puerpério, com destaque para a assistência à saúde mental. Relato de uma experiência vivida por S. Exa., que demosntra a relevância do apoio psicológico para a mãe e seus familiares.",499464
