codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5982,PDI,2024-05-08,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 795, de 2024 (Substitutivo da Câmara dos Deputados ao Projeto de Lei do Senado nº 505, de 2013), que ""Institui diretrizes para a Tarifa Social de Água e Esgoto em âmbito nacional.""",505945
5982,PDI,2024-05-07,Senado Federal,"Discussão sobre o Projeto de Decreto Legislativo (PDL) n° 236, de 2024, que ""Reconhece, para os fins do disposto no art. 65 da Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), a ocorrência do estado de calamidade pública em parte do território nacional, para atendimento às consequências derivadas de eventos climáticos no Estado do Rio Grande do Sul.""",505688
5982,POR,2024-04-23,Senado Federal,"Pela ordem sobre o Requerimento (RQS) n° 255, de 2024, que ""Requer urgência para o Projeto de Lei Complementar n° 233/2023, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal"".",505473
5982,PDI,2024-04-16,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505141
5982,POR,2024-02-28,Senado Federal,Defesa da vacinação infantil contra a Covid-19.,504195
5982,PDI,2024-02-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3453, de 2021, que ""Altera a Lei nº 8.038, de 28 de maio de 1990, e o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para dispor sobre o resultado de julgamento em matéria penal ou processual penal em órgãos colegiados e sobre a concessão de habeas corpus de ofício"".",503880
5982,POR,2024-02-07,Senado Federal,"Apelo ao Senador Rodrigo Pacheco, Presidente do Senado Federal, para que ajuíze ação competente no Supremo Tribunal Federal a fim de corrigir as alterações aprovadas pela Câmara dos Deputados no seu Regimento Interno, as quais apensam projetos aprovados pelo Senado a projetos alegadamente mais antigos daquela Câmara, o que constitui claro ataque ao sistema bicameral.",503817
5982,POR,2023-12-12,Senado Federal,"Pela ordem sobre o destaque para votação em separado constante do Requerimento nº 1073, de 2023, (Requer, pela Liderança do PP, destaque para votação em separado da Emenda nº 147 ao Projeto de Lei nº 3.626/2023.) ao Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",503140
5982,POR,2023-11-22,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 8, de 2021, que ""Altera a Constituição Federal para dispor sobre os pedidos de vista, declaração de inconstitucionalidade e concessão de medidas cautelares nos tribunais"".",502467
5982,POR,2023-11-21,Senado Federal,Manifestação de solidariedade aos 400 mil brasileiros custodiados provisoriamente por conta da lentidão da Justiça.,502587
5982,POR,2023-11-08,Senado Federal,"Defesa do destaque para votação em separado constante do Requerimento nº 995, de 2023, (Requer destaque para votação em separado da Emenda nº 809 da PEC 45/2019.) à Proposta de Emenda à Constituição (PEC) n° 45, de 2019, que ""Altera o Sistema Tributário Nacional"".",502074
5982,PDI,2023-11-07,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3045, de 2022, que ""Institui a Lei Orgânica Nacional das Polícias Militares e dos Corpos de Bombeiros Militares dos Estados, do Distrito Federal e dos Territórios, nos termos do inciso XXI do caput do art. 22 da Constituição Federal; altera a Lei nº 13.675, de 11 de junho de 2018; revoga dispositivos do Decreto-Lei nº 667, de 2 de julho de 1969; e dá outras providências"".",501917
5982,PDI,2023-10-24,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 5384, de 2020, que ""Altera a Lei nº 12.711, de 29 de agosto de 2012, para dispor sobre o programa especial para o acesso às instituições federais de educação superior e de ensino técnico de nível médio de estudantes pretos, pardos, indígenas e quilombolas e de pessoas com deficiência, bem como daqueles que tenham cursado integralmente o ensino médio ou fundamental em escola pública"".",501686
5982,PDI,2023-10-24,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4503, de 2023, que ""Institui a Lei Orgânica Nacional das Polícias Civis; dispõe sobre suas normas gerais de funcionamento; e dá outras providências.""",501595
5982,PEN,2023-09-27,Senado Federal,"Encaminhamento sobre o Projeto de Lei (PL) n° 2903, de 2023, que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973"".",500920
5982,PDI,2023-09-27,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2903, de 2023, que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973"".",500915
5982,CRE,2023-09-05,Senado Federal,"Como Relator sobre o Projeto de Resolução do Senado (PRS) n° 91, de 2023, que ""Autoriza o Estado de Sergipe a contratar operação de crédito externo, com garantia da República Federativa do Brasil, no valor de US$ 36.000.000,00 (trinta e seis milhões de dólares dos Estados Unidos da América)"".",500758
5982,PDI,2023-09-05,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3026, de 2022, que ""Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para possibilitar ao doador de recursos aos Fundos dos Direitos da Criança e do Adolescente a indicação da destinação desses recursos, na forma que especifica"".",500754
5982,PDI,2023-08-15,Senado Federal,"Discussão sobre o Projeto de Resolução do Senado (PRS) n° 83, de 2023, que ""Autoriza o Município de Aracaju – SE a contratar operação de crédito externo, com garantia da União, com o New Development Bank (NDB), no valor total de US$ 84.000.000,00 (oitenta e quatro milhões de dólares dos Estados Unidos da América)"".",499783
5982,POR,2023-08-09,Senado Federal,"Pela ordem sobre a Mensagem (SF) (MSF) n° 35, de 2023, que ""Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso III, alínea ""f"", da Constituição, combinado com o art. 6° da Lei Complementar nº 80, de 12 de Janeiro de 1994, o nome do Senhor IGOR ROBERTO ALBUQUERQUE ROQUE, Defensor Público Federal, para exercer o cargo de Defensor Público-Geral Federal da Defensoria Pública da União, na vaga decorrente do término do mandato de Daniel de Macedo Alves Pereira"".",499514
