codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5967,DIS,2024-05-13,Senado Federal,"Sessão de Debates Temáticos, destinada a discutir a atual situação financeiro-orçamentária dos Municípios brasileiros.",505700
5967,CRE,2023-12-12,Senado Federal,"Como Relator sobre o destaque para votação em separado constante do Requerimento nº 1076, de 2023, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda nº 157 ao Projeto de Lei nº 3.626/2023.) ao Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",503153
5967,CRE,2023-12-12,Senado Federal,"Como Relator sobre o destaque para votação em separado constante do Requerimento nº 1073, de 2023, (Requer, pela Liderança do PP, destaque para votação em separado da Emenda nº 147 ao Projeto de Lei nº 3.626/2023.) ao Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",503146
5967,CRE,2023-12-12,Senado Federal,"Como Relator sobre o destaque para votação em separado constante do Requerimento nº 1073, de 2023, (Requer, pela Liderança do PP, destaque para votação em separado da Emenda nº 147 ao Projeto de Lei nº 3.626/2023.) ao Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",503128
5967,CRE,2023-12-12,Senado Federal,"Como Relator sobre o destaque para votação em separado constante do Requerimento nº 1063, de 2023, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda nº 139 ao Projeto de Lei nº 3626/2023.) ao Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",503107
5967,CRE,2023-12-12,Senado Federal,"Como Relator sobre o Requerimento (RQS) n° 1103, de 2023, que ""Requer o encerramento da discussão do Projeto de Lei nº 3626/2023.""",503088
5967,PPP,2023-12-12,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",503079
5967,PPP,2023-12-12,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",503078
5967,PPP,2023-11-29,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",502857
5967,PPP,2023-11-29,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",502855
