codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6009,PDI,2024-05-22,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União"".",506198
6009,PDI,2024-05-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 826, de 2019, que ""Institui o Programa Nacional de Vacinação em Escolas Públicas"".",506099
6009,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 2234, de 2022, que ""Dispõe sobre a exploração de jogos e apostas em todo o território nacional; altera a Lei nº 7.291, de 19 de dezembro de 1984; e revoga o Decreto-Lei nº 9.215, de 30 de abril de 1946, e dispositivos do Decreto-Lei nº 3.688, de 3 de outubro de 1941 (Lei das Contravenções Penais), e da Lei nº 10.406, de 19 de janeiro de 2002 (Código Civil)"".",506032
6009,PDI,2024-05-14,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4129, de 2021, que ""Dispõe sobre diretrizes gerais para a elaboração de planos de adaptação à mudança do clima"".",506000
6009,NID,2024-05-10,Senado Federal,"Encerramento da Sessão Especial destinada a homenagear Ayrton Senna da Silva, por ocasião dos 30 anos de seu falecimento.",505839
6009,NID,2024-05-10,Senado Federal,"Sessão Especial destinada a homenagear Ayrton Senna da Silva, por ocasião dos 30 anos de seu falecimento.",505831
6009,NID,2024-05-10,Senado Federal,"Sessão Especial destinada a homenagear Ayrton Senna da Silva, por ocasião dos 30 anos de seu falecimento",505827
6009,FP,2024-05-10,Senado Federal,"Abertura da Sessão Especial destinada a homenagear Ayrton Senna da Silva, por ocasião dos 30 anos de seu falecimento.",505821
6009,DIS,2024-05-07,Senado Federal,Preocupação com a população do Rio Grande do Sul devido à catástrofe climática sofrida.,505669
6009,DIS,2024-04-24,Senado Federal,Insatisfação com a suposta ineficiência do Governo Federal na gestão de vacinas contra a covid-19 e a dengue.,505582
6009,PDI,2024-04-09,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar.""",505357
6009,POB,2024-03-13,Senado Federal,"Orientação à bancada, pelo Partido PL, sobre a Proposta de Emenda à Constituição (PEC) n° 72, de 2023, que ""Altera o art. 155 da Constituição Federal para conceder imunidade do Imposto sobre a Propriedade de Veículos Automotores a veículos terrestres de passageiros com vinte anos ou mais de fabricação"".",504546
6009,DIS,2024-03-12,Senado Federal,"Críticas ao Governo Federal por suposta falta de planejamento em ações de enfrentamento à epidemia de dengue no País. Defesa do Projeto de Lei nº 3169/2023, de autoria de S.Exa., que dispõe sobre autorização para que agentes de saúde ingressem em imóvel não habitado para promover ações de saneamento ou de controle sanitário.",504480
6009,PDI,2024-03-12,Senado Federal,"Discussão sobre o Projeto de Lei do Senado (PLS) n° 756, de 2015, que ""Dispõe sobre Educação Integral e estabelece diretrizes para a sua implementação na educação básica.""",504464
6009,DIS,2024-02-21,Senado Federal,Comentários sobre as falas do Presidente Lula envolvendo o Holocausto e o atual conflito entre Israel e o Grupo Hamas. Destaque para possíveis prejuízos decorrentes de uma crise diplomática entre o Brasil e Israel.,503867
