codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
4639,DIS,2024-05-21,Senado Federal,"Destaque para a 25ª Marcha dos Prefeitos e para o 24º Grito da Terra Brasil, que ocorrem esta semana em Brasília.",506052
4639,POB,2024-05-15,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre o destaque para votação em separado constante do Requerimento nº 348, de 2024, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda nº 1 ao Projeto de Lei Complementar nº 85/2024.) ao Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505788
4639,POB,2024-05-15,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre o Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505762
4639,DIS,2024-05-15,Senado Federal,"Necessidade de aprovação do Projeto de Lei nº 4129/2021, que dispõe sobre diretrizes gerais para a elaboração de planos de adaptação à mudança do clima. Elogios ao trabalho do grupo de voluntários da Liga do Bem, do Senado Federal, na arrecadação de doações para a população do Rio Grande do Sul. Comentários sobre medidas do Governo Lula no socorro ao povo gaúcho e na reconstrução do estado.",505734
4639,PDI,2024-05-14,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4129, de 2021, que ""Dispõe sobre diretrizes gerais para a elaboração de planos de adaptação à mudança do clima"".",505992
4639,PDI,2024-05-07,Senado Federal,"Discussão sobre o Projeto de Decreto Legislativo (PDL) n° 236, de 2024, que ""Reconhece, para os fins do disposto no art. 65 da Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), a ocorrência do estado de calamidade pública em parte do território nacional, para atendimento às consequências derivadas de eventos climáticos no Estado do Rio Grande do Sul.""",505682
4639,DIS,2024-05-07,Senado Federal,Manifestação de solidariedade ao povo do Estado do Rio Grande do Sul em virtude da catástrofe climática ocorrida na região. Elogios ao Presidente Lula pelo empenho para socorrer a população gaúcha. Destaque para a importância da união do País para a reconstrução do referido Estado.,505658
4639,POR,2024-04-17,Senado Federal,"Agradecimento ao Presidente do Senado, Rodrigo Pacheco, por receber comissão de representantes da Confederação Nacional dos Trabalhadores na Agricultura (Contag). Destaque sobre a importância desse encontro, preparativo para o evento anual ""Grito da Terra Brasil"".",505278
4639,POB,2024-04-17,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre o Projeto de Lei Complementar (PLP) n° 175, de 2023, que ""Altera a Lei Complementar nº 172, de 15 de abril de 2020, a fim de conceder prazo aos Estados, ao Distrito Federal e aos Municípios para executar atos de transposição e de transferência.""",505271
4639,POB,2024-04-16,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505154
4639,POB,2024-04-10,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre o Projeto de Lei Complementar (PLP) n° 252, de 2023, que ""Altera a Lei Complementar n° 182, de 1° de junho de 2021, para dispor sobre o contrato de investimento conversível em capital social (CICC)"".",505017
4639,PDI,2024-04-09,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar.""",505348
4639,DIS,2024-03-20,Senado Federal,"Destaque ao programa da Nova Indústria Brasil-NIB, lançado em janeiro pelo Governo Federal, para adequar o setor às novas demandas geradas pelas mudanças econômicas e demográficas no País.",504654
4639,POB,2024-03-13,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre a Proposta de Emenda à Constituição (PEC) n° 72, de 2023, que ""Altera o art. 155 da Constituição Federal para conceder imunidade do Imposto sobre a Propriedade de Veículos Automotores a veículos terrestres de passageiros com vinte anos ou mais de fabricação"".",504548
4639,POR,2024-03-12,Senado Federal,"Repúdio às ""fake news"" difundidas na internet. Defesa de enfrentamento da questão pelo Senado Federal.",504448
4639,DIS,2024-03-12,Senado Federal,"Comentários sobre as ações do Governo Federal no Estado do Pará, em áreas como educação, saúde e assistência social, bem como no restante do País.",504440
4639,PDI,2024-03-06,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 5206, de 2023, que ""Institui marco regulatório do Sistema Nacional de Cultura (SNC), para garantia dos direitos culturais, organizado em regime de colaboração entre os entes federativos para gestão conjunta das políticas públicas de cultura"".",504282
4639,DIS,2024-03-06,Senado Federal,"Registro sobre a volta do protagonismo do Brasil no cenário internacional sob o Governo do Presidente Lula, a exemplo da realização da COP 30, em Belém-PA, e da Presidência do G20 no corrente ano, destacando a agenda prioritária do País à frente deste grupo.",504249
4639,POR,2024-03-05,Senado Federal,"Solicitação de inclusão extrapauta do Projeto de Lei (PL) n° 5206, de 2023, que ""Institui marco regulatório do Sistema Nacional de Cultura (SNC), para garantia dos direitos culturais, organizado em regime de colaboração entre os entes federativos para gestão conjunta das políticas públicas de cultura.""",504372
4639,POB,2024-03-05,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre o Projeto de Lei Complementar (PLP) n° 137, de 2019, que ""Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, que institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte, para dispor sobre a cédula de crédito microempresarial.""",504350
4639,DIS,2024-02-27,Senado Federal,Expectativa quanto às atividades legislativas do presente ano de 2024.,504038
4639,PDI,2023-11-07,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3045, de 2022, que ""Institui a Lei Orgânica Nacional das Polícias Militares e dos Corpos de Bombeiros Militares dos Estados, do Distrito Federal e dos Territórios, nos termos do inciso XXI do caput do art. 22 da Constituição Federal; altera a Lei nº 13.675, de 11 de junho de 2018; revoga dispositivos do Decreto-Lei nº 667, de 2 de julho de 1969; e dá outras providências"".",501946
