codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5990,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 2234, de 2022, que ""Dispõe sobre a exploração de jogos e apostas em todo o território nacional; altera a Lei nº 7.291, de 19 de dezembro de 1984; e revoga o Decreto-Lei nº 9.215, de 30 de abril de 1946, e dispositivos do Decreto-Lei nº 3.688, de 3 de outubro de 1941 (Lei das Contravenções Penais), e da Lei nº 10.406, de 19 de janeiro de 2002 (Código Civil)"".",506028
5990,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Requerimento (RQS) n° 329, de 2024, que ""Requer a prorrogação da Comissão Temporária Interna sobre Inteligência Artificial no Brasil, por 55 (cinquenta e cinco) dias"".",506001
5990,POR,2024-05-08,Senado Federal,"Pela ordem sobre o destaque para votação em separado constante do Requerimento nº 311, de 2024, (Requer, pela Liderança do Podemos, destaque para votação em separado da Emenda n° 4 ao Projeto de Lei Complementar nº 233/2023.) ao Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505937
5990,PEN,2024-05-08,Senado Federal,"Encaminhamento sobre o destaque para votação em separado constante do Requerimento nº 311, de 2024, (Requer, pela Liderança do Podemos, destaque para votação em separado da Emenda n° 4 ao Projeto de Lei Complementar nº 233/2023.) ao Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505921
5990,DIS,2024-04-17,Senado Federal,"Defesa da PEC nº 58/2023 e do Projeto de Lei nº 6136/2023, ambos idealizados por S. Exa., que ampliam a duração da licença-maternidade, licença paternidade e adotante.",505288
5990,POR,2024-04-17,Senado Federal,"Pela ordem sobre o Requerimento (RQS) n° 237, de 2024, que ""Requer voto de censura  à atuação dos representantes do Movimento Boicote, Desinvestimento e Sanção contra o Estado de Israel, empresas e indivíduos pertencentes à comunidade judaica, pelo seu caráter antissemita.""",505275
5990,PEN,2024-04-17,Senado Federal,"Encaminhamento sobre o Projeto de Lei (PL) n° 81, de 2024, que ""Altera os valores da tabela progressiva mensal do Imposto sobre a Renda da Pessoa Física de que trata o art. 1º da Lei nº 11.482, de 31 de maio de 2007; e revoga a Medida Provisória nº 1.206, de 6 de fevereiro de 2024.""",505264
5990,POR,2024-04-17,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 81, de 2024, que ""Altera os valores da tabela progressiva mensal do Imposto sobre a Renda da Pessoa Física de que trata o art. 1º da Lei nº 11.482, de 31 de maio de 2007; e revoga a Medida Provisória nº 1.206, de 6 de fevereiro de 2024.""",505262
5990,PDI,2024-04-17,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 81, de 2024, que ""Altera os valores da tabela progressiva mensal do Imposto sobre a Renda da Pessoa Física de que trata o art. 1º da Lei nº 11.482, de 31 de maio de 2007; e revoga a Medida Provisória nº 1.206, de 6 de fevereiro de 2024.""",505255
5990,DIS,2024-04-09,Senado Federal,"Repúdio e apelo ao Procurador-Geral da República, Paulo Gonet, para que arquive o inquérito policial autuado para investigar a ação policial conjunta, em 2021, contra uma quadrilha que praticava crimes na modalidade conhecida como novo cangaço.",505382
5990,POR,2024-04-09,Senado Federal,"Voto de aplauso à Associação Comercial, Industrial, Agropecuária e Serviços de Varginha (Aciv)",505372
5990,POR,2024-03-12,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 5636, de 2019, que ""Institui o Dia de Celebração da Amizade Brasil-Israel.""",504476
5990,POR,2024-03-12,Senado Federal,"Pela ordem sobre o Projeto de Lei do Senado (PLS) n° 756, de 2015, que ""Dispõe sobre Educação Integral e estabelece diretrizes para a sua implementação na educação básica.""",504474
5990,PDI,2024-02-28,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4358, de 2023, que ""Institui o Certificado Empresa Promotora da Saúde Mental e estabelece os requisitos para a concessão da certificação"".",504185
5990,PDI,2024-02-28,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4358, de 2023, que ""Institui o Certificado Empresa Promotora da Saúde Mental e estabelece os requisitos para a concessão da certificação"".",504179
5990,PDI,2024-02-28,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4358, de 2023, que ""Institui o Certificado Empresa Promotora da Saúde Mental e estabelece os requisitos para a concessão da certificação"".",504176
5990,PDI,2024-02-28,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4358, de 2023, que ""Institui o Certificado Empresa Promotora da Saúde Mental e estabelece os requisitos para a concessão da certificação"".",504173
5990,PDI,2024-02-28,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4358, de 2023, que ""Institui o Certificado Empresa Promotora da Saúde Mental e estabelece os requisitos para a concessão da certificação"".",504171
