codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
470,DIS,2024-05-24,Senado Federal,Destaque para a redução dos índices de desigualdade de renda e de pobreza no Brasil. Satisfação com ações do Governo Federal e do Congresso Nacional para implantação de políticas públicas que instituem benefícios sociais e que promovem o aumento do emprego e do rendimento médio do trabalhador brasileiro.,506043
470,DIS,2024-05-22,Senado Federal,"Considerações sobre a importância da Petrobras para o desenvolvimento do Brasil, com destaque para o Plano Estratégico da Companhia para o quinquênio 2024-2028. Defesa de pesquisas e projetos de prospecção de petróleo e gás natural na Região Norte do País.",506133
470,NID,2024-05-22,Senado Federal,Elogios ao Senador Laércio Oliveira pelo seu pronunciamento sobre o gás natural e a Petrobras.,506127
470,DIS,2024-05-21,Senado Federal,Defesa de políticas de planejamento urbano e de uso e ocupação de solo para enfrentar desastres climáticos no País. Comentários sobre práticas sustentáveis implementadas em outros países que podem servir de exemplo para o Brasil.,506061
470,DIS,2024-05-15,Senado Federal,"Destaque para o relatório publicado pelo Instituto Brasileiro de Geografia e Estatística (IBGE) sobre a fome no Brasil e comentários sobre os avanços e desafios encontrados no país. Defesa da PEC nº 30/2023, que prevê o estabelecimento do Plano Nacional de Segurança Alimentar e Nutricional.",505737
470,NID,2024-05-15,Senado Federal,"Elogios ao Senador Paulo Paim na representação dos interesses do Rio Grande do Sul. Reconhecimento do esforço do governo federal em auxiliar na recuperação do estado. Defesa da aprovação Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505728
470,DIS,2024-05-14,Senado Federal,"Satisfação pela aprovação na CI, do Projeto de Lei nº 5066/2020, que proporciona o estímulo à pesquisa e à adoção de novas tecnologias na exploração e produção de petróleo, gás natural e outros hidrocarbonetos fluidos, em especial nas bacias sedimentares terrestre.",506034
470,DIS,2024-05-07,Senado Federal,"Reflexão sobre as medidas necessárias para lidar com os eventos extremos, em um contexto de crescente instabilidade climática. Aprovação dos esforços empreendidos pelas instituições, pelo Governo Federal e pela sociedade civil no auxílio às vítimas das enchentes no Estado do Rio Grande do Sul.",505665
470,NID,2024-04-30,Senado Federal,Elogios a Senadora Zenaide Maia e destaque para a importância de se investir em segurança na educação pública.,505603
470,NID,2024-04-30,Senado Federal,Celebração do Dia do Trabalhador e destaque aos desafios a serem enfrentados para geração de emprego e valorização dos trabalhadores.,505601
470,NID,2024-04-30,Senado Federal,Considerações acerca do Dia do Trabalhador e congratulações ao Senador Paulo Paim.,505593
470,DIS,2024-04-26,Senado Federal,Sessão Especial destinada a homenagear os 40 anos das “Diretas Já!”.,505414
470,DIS,2024-04-24,Senado Federal,"Elogios à atuação do Governo Federal ao promover as rotas de integração internacionais entre o Brasil e outros países do continente sul-americano, em benefício do País e do Estado de Roraima. Destaque para a participação do Presidente Lula na 46ª Cúpula de Chefes de
      Governo da Comunidade do Caribe (Caricom).",505560
470,DIS,2024-04-18,Senado Federal,Prestação de contas da atuação do mandato de S. Exa. em benefício do Estado de Roraima.,505391
470,DIS,2024-04-17,Senado Federal,"Comemoração da aprovação, no Senado Federal, da PEC nº 45/2023, que prevê mandado de criminalização para a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar.",505229
470,DIS,2024-04-08,Senado Federal,"Análise das declarações do Presidente da França, Sr. Emmanuel Macron, a respeito do acordo Mercosul-União Europeia. Comentários sobre o contexto político-social que envolve os debates desse tratado. Críticas ao protecionismo europeu.",504989
470,NID,2024-04-08,Senado Federal,Homenagens pelo Dia do Jornalista e comentários sobre a importância destes profissionais.,504986
470,NID,2024-04-08,Senado Federal,Homenagem pelo falecimento do Cartunista Ziraldo Alves Pinto.,504984
470,DIS,2024-03-26,Senado Federal,"Aplausos ao papel desempenhado pelo Senado Federal, ao longo de seus 200 anos de história, na evolução político-institucional do País.",504862
470,NID,2024-03-26,Senado Federal,Elogio ao discurso do Senador Paulo Paim acerca da comemoração do bicentenário do Senado Federal.,504861
470,NID,2024-03-12,Senado Federal,N/A,504432
470,NID,2024-03-12,Senado Federal,"Lamento pela tragédia vivenciada por Regivaldo Batista Carsoso, morador de Sorriro (MT), que perdeu a esposa e as três filhas, vítimas de um maníaco sexual, novembro de 2023. Críticas à falta de preparo do Estado brasileiro, demonstrada pela suposta ineficácia de medidas judiciais e legislativas. Apelo ao Governo Federal em razão da situação da segurança pública .",504430
470,DIS,2024-03-12,Senado Federal,Preocupação quanto ao aumento dos casos de diabetes no Brasil e alerta para a necessidade de programas preventivos da doença no País.,504425
470,NID,2024-03-12,Senado Federal,Preocupação com a integridade e a reputação do futebol brasileiro. Defesa de ações por parte do Poder Judiciário e dos dirigentes esportivos com vistas a coibir a prática de irregularidades no esporte.,504421
470,NID,2024-03-12,Senado Federal,"Considerações sobre a expansão da rede de institutos federais de educação, com ênfase na criação de mais cem novas escolas em todo o país. Comentários acerca da relevância dessas escolas, sobretudo para jovens que se dedicam à atividade rural. Registro sobre as escolas em tempo integral.",504419
470,DIS,2024-03-11,Senado Federal,"Reflexão sobre o Dia Internacional da Mulher, comemorado no último dia 8. Histórico dos projetos de lei aprovados, nesta Casa, em 2023, para aprimorar a legislação garantidora dos direitos da mulher. Preocupação com o uso indevido da inteligência artificial e apresentação dos Projetos de Lei no.145/2024 e 146/2024, que, respectivamente, regulamentam o uso publicitário e tipificam o crime de falsidade ideológica por meio de uso de tecnologia de inteligência artificial para alterar a imagem de pessoa ou de som humano.",504412
470,DIS,2024-02-28,Senado Federal,Exposição sobre a estiagem e as queimadas que atingem o Estado de Roraima e cobrança ao Governo Federal de medidas efetivas para enfrentar a situação.,504149
470,DIS,2024-02-27,Senado Federal,Balanço das ações realizadas pelo Governo Federal a partir do que foi sugerido no relatório final da Comissão Temporária Externa que acompanhou a situação do povo Yanomami em Roraima. Expectativa de que a comitiva de Ministros que comparecerá ao Estado para avaliar essa questão também analise outras demandas reprimidas.,504039
470,DIS,2024-02-21,Senado Federal,"Necessidade de foco nos problemas internos do Brasil, como fome, saúde, educação, mobilidade urbana e saneamento básico, para amenizar o sofrimento do povo brasileiro.",503859
470,DIS,2024-02-20,Senado Federal,"Preocupação com a crise hídrica e ambiental em Roraima. Apelo ao Governo Federal por ações visando a enfrentar a seca do Rio Branco, principal fonte de água do Estado.",503900
470,FP,2024-02-19,Senado Federal,"Repúdio às recentes declarações do Presidente Lula relacionando a situação conflituosa na Faixa de Gaza, entre Israel e o grupo palestino Hamas, com o Holocausto",503851
470,DIS,2024-02-19,Senado Federal,"Defesa do Projeto de Lei nº 292/2024, de autoria de S. Exa., que isenta do Imposto de Renda a remuneração e demais rendimentos recebidos por pessoas com transtorno do espectro autista ou por seu representante legal.",503848
470,NID,2024-02-19,Senado Federal,"Presidência sobre a Proposta de Emenda à Constituição (PEC) n° 3, de 2024, que ""Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.""",503847
470,NID,2024-02-19,Senado Federal,"Presidência sobre o Projeto de Lei (PL) n° 2333, de 2022, que ""Institui a Política Nacional de Educação para o Emprego.""",503845
470,DIS,2024-02-06,Senado Federal,"Preocupação com o aumento do número de fraudes praticadas com o uso de inteligência artificial no País. Destaque para o Projeto de Lei nº 2338/2023, que dispõe sobre o uso da inteligência artificial, bem como para o Projeto de Lei nº 133/2022, de autoria de S. Exa., que atualiza o Código de Defesa do Consumidor para prever regras de segurança ao usuário do PIX.",503756
470,POB,2023-12-19,Congresso Nacional,"Orientação à bancada, pelo Partido PSB, sobre o destaque para votação em separado constante do Requerimento nº 31, de 2023, (Destaque para votação em separado da Emenda nº 30880002.) ao Projeto de Lei do Congresso Nacional (PLN) n° 4, de 2023, PLDO 2024, que ""Dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2024 e dá outras providências"".",503497
470,DIS,2023-12-19,Senado Federal,"Preocupação com as anomalias climáticas causadas pelo fenômeno do El Niño, destacando a seca histórica na Região Norte do Brasil e o papel do Poder Público para mitigar os efeitos da estiagem, principalmente sobre as populações mais pobres.",503341
470,DIS,2023-12-18,Senado Federal,Apelo ao Governo Federal para que adote providências com vistas à concessão temporária de isenção de IPI aos produtos eletrodomésticos da linha branca em benefício das famílias brasileiras.,503029
470,NID,2023-12-18,Senado Federal,"Considerações sobre o alcance dos recursos financeiros destinados por meio das emendas parlamentares, sobretudo nas áreas de educação e infraestrutura de municípios.",503028
470,NID,2023-12-18,Senado Federal,"Presidência sobre o Projeto de Lei (PL) n° 89, de 2023, que ""Institui a Política Nacional de Fornecimento Gratuito de Medicamentos Formulados de Derivado Vegetal à Base de Canabidiol, em associação com outras substâncias canabinoides, incluindo o tetrahidrocanabinol, nas unidades de saúde públicas e privadas conveniadas ao Sistema Único de Saúde – SUS.""",503024
