codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6337,DIS,2024-05-29,Senado Federal,"Satisfação com a manutenção do Veto Parcial n° 46/2021, aposto ao Projeto de Lei n° 2108/2021, relativo aos crimes contra o Estado Democrático de Direito.",506587
6337,POB,2024-05-22,Senado Federal,"Orientação à bancada, pelo Partido REPUBLICANOS, sobre a preferência constante do Requerimento nº 369, de 2024, (Requer preferência para a votação da Emenda Substitutiva n° 23 em relação ao Substitutivo da CCJ.) ao Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União"".",506205
6337,DIS,2024-05-22,Senado Federal,Críticas ao uso da linguagem neutra.,506139
6337,DIS,2024-05-15,Senado Federal,Argumentação em favor da proibição de candidaturas de pessoas condenadas por corrupção.,505741
6337,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 2234, de 2022, que ""Dispõe sobre a exploração de jogos e apostas em todo o território nacional; altera a Lei nº 7.291, de 19 de dezembro de 1984; e revoga o Decreto-Lei nº 9.215, de 30 de abril de 1946, e dispositivos do Decreto-Lei nº 3.688, de 3 de outubro de 1941 (Lei das Contravenções Penais), e da Lei nº 10.406, de 19 de janeiro de 2002 (Código Civil)"".",506026
6337,DIS,2024-05-14,Senado Federal,Comentários acerca dos gastos públicos supostamente excessivos do atual Governo Federal.,505981
6337,POR,2024-05-08,Senado Federal,Considerações sobre a Polícia Penal e sobre a necessidade de melhores condições de trabalho e valorização desses profissionais. Defesa de fixação de piso nacional para a categoria.,505956
6337,DIS,2024-05-07,Senado Federal,Proposta de reversão dos recursos do fundo eleitoral e dos recursos economizados por Parlamentares para auxílio no combate ao desastre causado pelas chuvas no Estado do Rio Grande do Sul.,505664
6337,DIS,2024-04-24,Senado Federal,"Solidariedade à Senadora Janaína Farias, vítima das recentes declarações do ex-Governador Ciro Gomes, e à Sra. Natália Schincariol, vítima de suposta violência doméstica praticada por seu ex-companheiro, o Sr. Luís Cláudio Lula da Silva.",505580
6337,POR,2024-04-23,Senado Federal,"Registro da presença no Plenário do Vereador Estêvão da Cunha, da cidade de Peçanha, e do Prefeito de Pratinha, John Wercollis.",505485
6337,DIS,2024-04-23,Senado Federal,Indignação com proposta de aumento salarial para o cargo de presidente do Banco do Brasil. Necessidade de responsabilidade e transparência com os gastos públicos.,505458
6337,DIS,2024-04-17,Senado Federal,"Apoio à rejeição do veto parcial aposto ao Projeto de Lei nº 2253/2022, que restringe o benefício da saída temporária dos presos.",505233
6337,DIS,2024-04-11,Senado Federal,"Apelo em favor da aprovação de uma aposentadoria especial para as mães cujos filhos sejam pessoas com Transtorno do Espectro Autista (TEA). Defesa da ampliação da faixa de isenção do Imposto de Renda (IR) para quem ganha até cinco mil reais. Críticas à atuação do Ministério da Saúde e pedido para que o Senado possa convocar a ministra da Saúde, Nísia Trindade, para prestar esclarecimentos.",505069
6337,DIS,2024-04-10,Senado Federal,Alerta para a importância do respeito ao princípio da separação dos poderes. Críticas ao possível retorno do pagamento do seguro obrigatório DPVAT. Inconformismo com o peso da carga tributária sobre a população brasileira. Considerações sobre os gastos do Governo Federal.,505049
6337,POR,2024-04-09,Senado Federal,"Considerações sobre a absolvição do Senador Sergio Moro, em julgamento realizado pelo TRE-PR. Solicitação de apoio do Senador Jorge Seif, recentemente julgado e absolvido pelo TRE-SC.",505379
6337,DIS,2024-04-09,Senado Federal,Manifestação em apoio ao Sr. Elon Musk e a favor da apuração das denúncias feitas por ele sobre supostas violações à liberdade de expressão em decisões tomadas pelo STF.,505335
