codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
475,DIS,2024-05-22,Senado Federal,"Destaque para a Segunda Marcha dos Consórcios Públicos do Brasil, realizada em Brasília-DF. Preocupação com a repercussão nas contas públicas do aumento do salário mínimo.",506135
475,DIS,2024-05-06,Senado Federal,"Pesar pela situação de calamidade que assola o Estado do Rio Grande do Sul. Comentários sobre a experiência de S. Exa., como Governador de Rondônia, ao administrar as consequências de grande enchente no Rio Madeira e sugestões para o enfrentamento da tragédia no Estado gaúcho.",505432
475,DIS,2024-04-22,Senado Federal,"Preocupação com os impactos da ação humana na natureza, as mudanças climáticas e a necessidade de um modelo de desenvolvimento econômico que combine negócios com preservação ambiental.",505321
475,DIS,2024-04-08,Senado Federal,Reflexão sobre as dificuldades sócio-econômicas vivenciadas na Região Amazônica. Cobrança ao Governo Federal de recursos para a garantia da dignidade da população local e promoção da Amazônia sustentável.,504991
475,DIS,2024-04-02,Senado Federal,"Celebração do Dia Mundial de Conscientização sobre o Autismo. Defesa do Projeto de Lei nº 2650/2022, relatado por S. Exa., que institui a Política Nacional de Atendimento Educacional Especializado a Crianças de 0 a 3 anos.",504920
475,DIS,2024-03-21,Senado Federal,"Críticas à reeleição e ao suposto descaso com a implantação de boas políticas no País, com destaque para a importância do aumento da margem de recursos para os investimentos e de um pacto de cooperação entre os municípios, estados e a União para avanços na área da educação.",504768
475,DIS,2024-03-19,Senado Federal,Exposição sobre a importância da cooperação entre os entes federados e do Congresso Nacional para o Governo.,504791
475,DIS,2024-03-11,Senado Federal,"Registro do Dia Internacional da Mulher, celebrado em 8 de março. Defesa de mais mulheres nos espaços de poder e preocupação com o aumento da violência contra as mulheres. Comemoração dos 10 anos da Procuradoria Especial da Mulher e do Comitê Permanente de Promoção da Igualdade de Gênero e Raça do Senado Federal.",504411
475,DIS,2024-03-04,Senado Federal,Breve histórico das fontes de energia no Brasil. Destaque para o hidrogênio verde como o combustível do futuro.,504213
475,DIS,2024-02-28,Senado Federal,"Registro da designação de S. Exa. para, no âmbito da CMA, realizar a primeira avaliação realística da situação do saneamento básico no Brasil. Exposição sobre a importância do saneamento básico e a necessidade de investimentos para combater as disparidades regionais e socioeconômicas na saúde pública.",504145
475,DIS,2024-02-27,Senado Federal,"Necessidade de maiores investimentos públicos para a melhoria da qualidade da educação brasileira, especialmente aqueles voltados para o aumento do número de escolas em tempo integral no País. Destaque para os benefícios sociais dos investimentos nessa área.",504045
475,DIS,2024-02-19,Senado Federal,"Indignação com as guerras modernas e os gastos excessivos em armamentos.
      Preocupação com a violência no Brasil. Defesa da cultura da paz.",503842
475,DIS,2024-02-06,Senado Federal,"Comentários sobre o livro “Para não esquecer: políticas públicas que empobrecem o Brasil”, organizado por Marcos Mendes, com destaque para a necessidade de se tratar os problemas nacionais de forma fatiada em diversos campos como: educação, obras, segurança pública, transportes, entre outros.",503755
475,DIS,2023-12-18,Senado Federal,"Homenagem aos Senadores que trabalharam e têm trabalhado pela educação do País, como Cristovam Buarque, Darcy Ribeiro, João Calmon, entre outros.",503027
475,DIS,2023-12-11,Senado Federal,Considerações sobre a baixa adesão à segunda dose bivalente contra a Covid-19 e alerta para os altos índices de infecção pela doença. Lamento pela queda nos índices de vacinação no País. Preocupação com o aumento do uso indiscriminado de remédios no Brasil. Defesa da importância da atenção básica de saúde. Elogios ao SUS pelo trabalho realizado.,503012
475,DIS,2023-12-05,Senado Federal,"Preocupação com o baixo desempenho da educação brasileira atestado pelos recentes resultados do Programa Internacional de Avaliação de Estudantes, o Pisa 2022. Ênfase no baixo investimento em educação básica por parte da União. Indicação de soluções, como melhorias na formação dos professores e criação de investimento educacional. Referência elogiosa à Medida Provisória nº 1198/2023, que institui bolsa para permanência de alunos no ensino médio.",502879
475,DIS,2023-11-28,Senado Federal,"Cumprimentos ao Presidente e ao Vice-Presidente da Associação Comercial da cidade de Ji-Paraná-RO, empossados no último dia 23 de novembro de 2023.",502723
475,POR,2023-11-21,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 2757, de 2022 (Substitutivo da Câmara dos Deputados), que ""Altera as Leis nºs 11.952, de 25 de junho de 2009, e 8.629, de 25 de fevereiro de 1993, para dispor sobre a extinção de cláusulas resolutivas constantes de títulos fundiários, e a Lei nº 13.465, de 11 de julho de 2017"".",502601
475,PDI,2023-11-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2757, de 2022 (Substitutivo da Câmara dos Deputados), que ""Altera as Leis nºs 11.952, de 25 de junho de 2009, e 8.629, de 25 de fevereiro de 1993, para dispor sobre a extinção de cláusulas resolutivas constantes de títulos fundiários, e a Lei nº 13.465, de 11 de julho de 2017"".",502593
475,DIS,2023-11-14,Senado Federal,"Comemoração do Dia Nacional da Alfabetização, destacando as dificuldades enfrentadas pelo Brasil na erradicação do analfabetismo. Proposta de utilização de dispositivos móveis para promover a alfabetização. Homenagens póstumas ao Professor Osvaldo Rodrigues Póvoa por suas contribuições para a educação.",502355
475,PDI,2023-11-07,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3045, de 2022, que ""Institui a Lei Orgânica Nacional das Polícias Militares e dos Corpos de Bombeiros Militares dos Estados, do Distrito Federal e dos Territórios, nos termos do inciso XXI do caput do art. 22 da Constituição Federal; altera a Lei nº 13.675, de 11 de junho de 2018; revoga dispositivos do Decreto-Lei nº 667, de 2 de julho de 1969; e dá outras providências"".",501934
475,DIS,2023-11-06,Senado Federal,"Comentários sobre plano de trabalho apresentado por S. Exa. na CMA, que trata da avaliação de políticas públicas sobre saneamento básico para o ano de 2023. Preocupação com a desigualdade regional de saneamento básico no País.",501894
475,DIS,2023-10-23,Senado Federal,Elogios ao programa do Luciano Huck por conscientizar o povo brasileiro sobre a importância da Floresta Amazônica para o equilíbrio do meio ambiente.,501351
475,DIS,2023-10-16,Senado Federal,Reflexões sobre os meios para o desenvolvimento nacional com ênfase na importância da educação. Destaque para a importância da pesquisa científica e das políticas de inovação da indústria brasileira na busca do crescimento do País.,501161
475,DIS,2023-10-09,Senado Federal,Preocupação com a questão da segurança pública no País. Reflexão sobre as prioridades que devem ser estabelecidas pelo Governo para que se alavanque o desenvolvimento do Brasil. Alerta para as condições do transporte coletivo nas grandes regiões metropolitanas.,501083
475,DIS,2023-10-02,Senado Federal,"Celebração dos 35 anos da criação do Estado de Tocantins e do aniversário de Porto Velho, capital do Estado de Rondônia.",500944
475,DIS,2023-09-27,Senado Federal,"Alerta para a crise climática global e a urgência da reversão desta. Destaque para o papel da Agência Nacional de Águas e Saneamento Básico (ANA), ressaltando o quadro de servidores enxuto e a necessidade de realização de concurso público.",500864
475,DIS,2023-09-25,Senado Federal,"Exposição sobre as visitas feitas por S. Exa. a diversos municípios do Estado de Rondônia, as ações já desenvolvidas nesses locais com o apoio de seu mandato e os problemas a serem enfrentados.",500562
475,DIS,2023-09-20,Senado Federal,"Reflexão sobre a promoção do desenvolvimento da população que vive na Amazônia. Satisfação com a redução do desmatamento na região, no último ano. Considerações acerca da desigualdade econômica existente entre os Estados da Região Norte e os demais estados brasileiros, ressaltando a relação entre pobreza e desmatamento. Expectativa quanto ao pleno funcionamento do Centro de Biotecnologia da Amazônia (CBA).",500660
475,PDI,2023-09-19,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2646, de 2020, que ""Dispõe sobre as debêntures de infraestrutura; altera as Leis nºs 9.481, de 13 de agosto de 1997, 11.478, de 29 de maio de 2007, e 12.431, de 24 de junho de 2011; e dá outras providências"".",500597
475,DIS,2023-09-18,Senado Federal,"Considerações acerca das dificuldades do desenvolvimento econômico do Brasil, destacando a desigualdade e a violência existentes no País.",500494
475,PDI,2023-09-12,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 7, de 2018, que ""Altera o art. 31 da Emenda Constitucional nº 19, de 4 de junho de 1998, para prever a inclusão, em quadro em extinção da administração pública federal, de servidor público, de integrante da carreira de policial, civil ou militar, e de pessoa que haja mantido relação ou vínculo funcional, empregatício, estatutário ou de trabalho com a administração pública dos ex-Territórios ou dos Estados do Amapá, de Roraima ou de Rondônia, inclusive suas prefeituras, durante os dez primeiros anos da criação dessas unidades federadas, estabelece o parâmetro remuneratório para a Polícia Militar dos ex-Territórios Federais e dá outras providências"".",500383
475,DIS,2023-09-11,Senado Federal,"Apoio à população do Estado do Rio Grande do Sul em razão de um ciclone tropical que se abateu sobre a região, sobretudo no Vale do Taquari.",500297
475,DIS,2023-09-04,Senado Federal,"Homenagens aos políticos brasileiros que, ao longo da história, se dedicaram e se dedicam à promoção da educação de qualidade no Brasil. Defesa da educação como instrumento de desenvolvimento econômico e social do País.",500328
475,DIS,2023-08-31,Senado Federal,"Indignação com o tratamento supostamente desigual dado ao Estado de Rondônia, único do País sem hospital universitário para os cursos de Ciências Biológicas. Cobrança ao Ministério da Educação por aumento de investimentos no estado, em especial na construção de hospitais universitários e no aumento da oferta de vagas para o curso de Medicina.",500188
475,DIS,2023-08-21,Senado Federal,"Considerações sobre a importância da formação política dos membros dos partidos no Brasil. Registro de reunião do partido de S. Exa., o MDB, em São Paulo. Exposição sobre a importância histórica do MDB e defesa de uma reforma político-partidária com foco no preparo
      dos candidatos, na participação dos jovens e na inclusão feminina.",499686
475,DIS,2023-08-03,Senado Federal,"Relato sobre a participação de S. Exa. na cerimônia de sanção da Lei nº 14644, de 2023, que institui regras para o estabelecimento e funcionamento dos Conselhos Escolares e Fóruns Escolares, e da Lei nº 14645, de 2023, que dispõe sobre a articulação da formação profissional técnica de nível médio com a aprendizagem profissional. Defesa da expansão dos Institutos Federais de Educação no Brasil.",499331
475,PDI,2023-08-03,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 710, de 2022, que ""Denomina Rodovia Iris Rezende Machado o trecho da BR-153 entre as cidades de Anápolis, no Estado de Goiás, e de Aliança do Tocantins, no Estado do Tocantins"".",499326
475,DIS,2023-08-01,Senado Federal,Explicações acerca da importância do Instituto Nacional de Colonização e Reforma Agrária (Incra) para a política de distribuição de terras no Brasil. Defesa da reforma agrária e da regularização das terras ainda sem posse. Preocupação com a atual estrutura funcional do Incra.,499278
