codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6335,POB,2024-05-22,Senado Federal,"Orientação à bancada, pelo Partido REPUBLICANOS, sobre o Projeto de Lei Complementar (PLP) n° 150, de 2021, que ""Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada"".",506163
6335,PDI,2024-05-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 826, de 2019, que ""Institui o Programa Nacional de Vacinação em Escolas Públicas"".",506079
6335,DIS,2024-05-20,Senado Federal,Sessão especial destinada a comemorar o Dia da Defensoria Pública.,506123
6335,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 2234, de 2022, que ""Dispõe sobre a exploração de jogos e apostas em todo o território nacional; altera a Lei nº 7.291, de 19 de dezembro de 1984; e revoga o Decreto-Lei nº 9.215, de 30 de abril de 1946, e dispositivos do Decreto-Lei nº 3.688, de 3 de outubro de 1941 (Lei das Contravenções Penais), e da Lei nº 10.406, de 19 de janeiro de 2002 (Código Civil)"".",506023
6335,POR,2024-05-08,Senado Federal,"Solicitação de urgência referente ao Projeto de Lei (PL) n° 1803, de 2023, que ""Altera a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para estabelecer que a eleição de foro deve guardar pertinência com o domicílio das partes ou com o local da obrigação e que o ajuizamento de ação em juízo aleatório constitui prática abusiva, passível de declinação de competência de ofício.""",505962
6335,PDI,2024-05-08,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2650, de 2022, que ""Altera a Lei nº 13.257, de 8 de março de 2016, para instituir a Política Nacional de Atendimento Educacional Especializado a Crianças de Zero a Três Anos (Precoce), e para determinar prioridade de atendimento em programas de visitas domiciliares a crianças com necessidades especiais, nos termos que especifica.""",505958
6335,PDI,2024-04-30,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 1026, de 2024, que ""Altera a Lei nº 14.148, de 3 de maio de 2021, para estabelecer alíquotas reduzidas no âmbito do Programa Emergencial de Retomada do Setor de Eventos – Perse; e revoga dispositivo da Medida Provisória nº 1.202, de 28 de dezembro de 2023"".",505626
6335,DIS,2024-04-22,Senado Federal,"Elogios à manifestação em apoio ao ex-Presidente Jair Bolsonaro, ocorrida no último domingo, na cidade do Rio de Janeiro-RJ.",505318
6335,DIS,2024-04-22,Senado Federal,Sessão Especial destinada a celebrar o 64º aniversário de Brasília.,505298
6335,DIS,2024-04-17,Senado Federal,"Sessão de Debates Temáticos destinada a promover o recebimento, a exposição e o debate do anteprojeto elaborado pela Comissão de Juristas responsável pela revisão e atualização do Código Civil.",505220
