codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5998,CRE,2024-04-30,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 1026, de 2024, que ""Altera a Lei nº 14.148, de 3 de maio de 2021, para estabelecer alíquotas reduzidas no âmbito do Programa Emergencial de Retomada do Setor de Eventos – Perse; e revoga dispositivo da Medida Provisória nº 1.202, de 28 de dezembro de 2023"".",505628
5998,PPP,2024-04-30,Senado Federal,"Como Relator, para proferir parecer sobre o Projeto de Lei (PL) n° 1026, de 2024, que ""Altera a Lei nº 14.148, de 3 de maio de 2021, para estabelecer alíquotas reduzidas no âmbito do Programa Emergencial de Retomada do Setor de Eventos – Perse; e revoga dispositivo da Medida Provisória nº 1.202, de 28 de dezembro de 2023"".",505617
5998,POR,2023-12-19,Congresso Nacional,"Pela ordem sobre o Projeto de Lei do Congresso Nacional (PLN) n° 4, de 2023, PLDO 2024, que ""Dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2024 e dá outras providências"".",503439
5998,POB,2023-12-14,Congresso Nacional,"Orientação à bancada, pela Liderança da Bancada Feminina, sobre o Veto (VET) n° 30, de 2023, ""Veto Parcial aposto ao Projeto de Lei nº 2.903, de 2023 (nº 490/2007, na Câmara dos Deputados), que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973"".",503699
5998,PDI,2023-11-09,Congresso Nacional,"Discussão sobre o Projeto de Lei do Congresso Nacional (PLN) n° 40, de 2023, Encargos Financeiros da União, DNIT, Ministério da Defesa e Outros Ministérios, que ""Abre ao Orçamento Fiscal da União, em favor dos Ministérios da Agricultura e Pecuária, da Educação, da Justiça e Segurança Pública, dos Transportes, da Cultura, da Defesa, e de Portos e Aeroportos, de Encargos Financeiros da União e de Transferências a Estados, Distrito Federal e Municípios, crédito especial no valor de R$ 15.223.151.367,00, para os fins que especifica (nova ementa após Mensagem Modificativa).""",502331
5998,POB,2023-11-08,Senado Federal,"Orientação à bancada, pela Liderança da Bancada Feminina, sobre o destaque para votação em separado constante do Requerimento nº 990, de 2023, (Destaque para votação em separado da Emenda nº 805 da PEC nº 45/2019.) à Proposta de Emenda à Constituição (PEC) n° 45, de 2019, que ""Altera o Sistema Tributário Nacional.""",502210
5998,POB,2023-11-08,Senado Federal,"Orientação à bancada, pela Liderança da Bancada Feminina, sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2019, que ""Altera o Sistema Tributário Nacional.""",502119
5998,PDI,2023-10-17,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 130, de 2019, que ""Altera os arts. 8º e 10 da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para ampliar a assistência à gestante e à mãe no período da gravidez, do pré-natal e do puerpério"".",501464
5998,POR,2023-10-17,Senado Federal,Contradita à Questão de Ordem apresentada pelo Senador Marcelo Castro acerca de votação sobre remuneração à doação e comercialização de plasma humano.,501442
5998,PPP,2023-08-31,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 3635, de 2023, que ""Cria o selo Empresa Amiga da Amamentação, para estimular o desenvolvimento de ações de incentivo ao aleitamento materno"".",500192
5998,DIS,2023-08-10,Senado Federal,Sessão Especial destinada a celebrar o aniversário de 17 anos da Lei Maria da Penha.,499661
5998,POR,2023-08-09,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 4875, de 2020, que ""Altera a Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), para dispor sobre auxílio-aluguel a ser concedido pelo juiz em decorrência de situação de vulnerabilidade social e econômica da ofendida afastada do lar"".",499549
5998,POR,2023-08-09,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 4875, de 2020, que ""Altera a Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), para dispor sobre auxílio-aluguel a ser concedido pelo juiz em decorrência de situação de vulnerabilidade social e econômica da ofendida afastada do lar"".",499544
5998,POR,2023-08-09,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 4875, de 2020, que ""Altera a Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), para dispor sobre auxílio-aluguel a ser concedido pelo juiz em decorrência de situação de vulnerabilidade social e econômica da ofendida afastada do lar"".",499534
5998,POR,2023-08-08,Senado Federal,"Defesa da aprovação do Ofício ""S"" (OFS) n° 10, de 2023, que ""Submete à apreciação do Senado Federal, nos termos do art. 130-A , inciso II, da Constituição Federal, a indicação do Senhor ANTÔNIO EDÍLIO MAGALHÃES TEIXEIRA, para compor o Conselho Nacional do Ministério Público - CNMP, na vaga destinada ao Ministério Público Federal"".",499482
5998,POR,2023-08-08,Senado Federal,"Comunicação acerca do lançamento da campanha de conscientização pelo fim da violência contra a mulher, o Agosto Lilás.",499467
5998,POR,2023-08-02,Senado Federal,"Celebração da inauguração do voo da Azul entre Cajazeiras-PB e Recife-PE, importante para a integração e o desenvolvimento do Estado da Paraíba.",499390
5998,DIS,2023-08-02,Senado Federal,"Celebração da inauguração do voo da Azul entre Cajazeiras-PB e Recife-PE, importante para a integração e o desenvolvimento do Estado da Paraíba.",499389
