codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5793,PDI,2024-05-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 826, de 2019, que ""Institui o Programa Nacional de Vacinação em Escolas Públicas"".",506095
5793,FP,2024-04-29,Senado Federal,"Crítica ao Decreto nº 11.999/2024, que ""Dispõe sobre a Comissão Nacional de Residência Médica e sobre o exercício das funções de regulação, supervisão e avaliação de programas de residência médica e das instituições que os ofertem"", por supostamente ferir a representatividade das entidades conselhais.",505401
5793,CRE,2024-04-23,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 6007, de 2023 (Substitutivo da Câmara dos Deputados ao Projeto de Lei do Senado nº 200, de 2015), que ""Dispõe sobre a pesquisa com seres humanos no Brasil"".",505479
5793,PPP,2024-04-23,Senado Federal,"Como Relator, para proferir parecer sobre o Projeto de Lei (PL) n° 6007, de 2023 (Substitutivo da Câmara dos Deputados ao Projeto de Lei do Senado nº 200, de 2015), que ""Dispõe sobre a pesquisa com seres humanos no Brasil"".",505477
5793,POR,2024-04-17,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 81, de 2024, que ""Altera os valores da tabela progressiva mensal do Imposto sobre a Renda da Pessoa Física de que trata o art. 1º da Lei nº 11.482, de 31 de maio de 2007; e revoga a Medida Provisória nº 1.206, de 6 de fevereiro de 2024.""",505253
5793,POR,2024-04-16,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505177
5793,DIS,2024-04-16,Senado Federal,"Manifestação favorável à PEC nº 45/2023, que criminaliza a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar.",505135
5793,FP,2024-04-12,Senado Federal,Considerações sobre os criminosos condenados por crimes de abuso sexual infantil e pornografia infanto juvenil.,505057
5793,POB,2024-04-10,Senado Federal,"Orientação à bancada, pelo Partido PP, sobre o Projeto de Lei Complementar (PLP) n° 252, de 2023, que ""Altera a Lei Complementar n° 182, de 1° de junho de 2021, para dispor sobre o contrato de investimento conversível em capital social (CICC)"".",505026
5793,POR,2024-03-26,Senado Federal,"Registro da presença no Plenário da Deputada Estadual Catarina Guerra, do União Brasil, pré-candidata a Prefeita da capital Boa Vista/RR.",504890
5793,POR,2024-03-20,Senado Federal,"Comentários sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",504669
5793,POR,2024-03-19,Senado Federal,"Agradecimento pela inclusão em pauta do Projeto de Lei (PL) n° 5984, de 2019, que ""Institui o dia 28 de abril como o Dia Nacional da Conscientização sobre a Doença de Fabry"".",504824
5793,POR,2024-03-12,Senado Federal,"Registro da presença, em Plenário, do Presidente da Assembleia Legislativa do Estado de Roraima (RR), Deputado Soldado Sampaio, bem como do Deputado Federal Albuquerque e do Presidente da Associação Nacional dos Praças, Elisandro Lotin de Souza.",504469
5793,DIS,2024-03-12,Senado Federal,"Cobrança de cumprimento de acordo, firmado com o Governo Federal, para reestruturação da Fundação Nacional de Saúde (Funasa).",504466
5793,PDI,2024-02-20,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2253, de 2022, que ""Altera a Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para dispor sobre a monitoração eletrônica do preso, prever a realização de exame criminológico para progressão de regime e extinguir o benefício da saída temporária"".",503955
5793,POR,2024-02-08,Senado Federal,Alerta para violações cometidas por instituições de ensino superior com o objetivo de burlar normas atinentes â formação médica.,503737
5793,POR,2024-02-08,Senado Federal,"Considerações sobre a Frente Parlamentar da Medicina, presidida por S.Exa., que discute a proliferação desenfreada de novas escolas de medicina no país. Registro da presença, em Plenário, de estudantes representantes dos centros acadêmicos da Ecsc, da UnB, da Uniceplac e da Unieuro.",503731
5793,POR,2023-12-05,Senado Federal,N/A,502920
