codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5976,DIS,2024-05-29,Senado Federal,"Defesa da Operação Lava Jato e críticas à arguição de descumprimento de preceito fundamental n°1051/2023, no âmbito do STF, que questiona a constitucionalidade dos acordos de leniência firmados em decorrência dessa operação.  Manifestação favorável à abertura de processos de impeachment contra ministros do STF.",506586
5976,DIS,2024-05-27,Senado Federal,"Manifestação a favor da manutenção do Veto Parcial nº 46/2021, aposto ao Projeto de Lei nº 2108/2021, que define os crimes contra o Estado Democrático de Direito. Expectativa de rejeição do Veto Parcial nº 8/2024, aposto ao Projeto de Lei nº 2253/2022, que dispõe sobre a monitoração eletrônica do preso e extingue o benefício da saída temporária.",506265
5976,DIS,2024-05-24,Senado Federal,Críticas à atuação do STF. Comentários sobre as decisões do TSE de manter o mandato do Senador Sérgio Moro e do STF de anular atos praticados contra o empresário Marcelo Odebrecht na operação Lava Jato.,506041
5976,DIS,2024-05-23,Senado Federal,"Críticas à Resolução nº 34, do Conselho Nacional de Política Criminal e Penitenciária, por supostamente proibir o proselitismo religioso nos presídios do Brasil.",506038
5976,POB,2024-05-22,Senado Federal,"Orientação à bancada, pelo Partido NOVO, sobre a preferência constante do Requerimento nº 369, de 2024, (Requer preferência para a votação da Emenda Substitutiva n° 23 em relação ao Substitutivo da CCJ.) ao Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União.""",506206
5976,PDI,2024-05-22,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União"".",506196
5976,DIS,2024-05-22,Senado Federal,"Indignação com a atuação de Ministros do STF, destacando as decisões que promoveram a suspensão de ações contra o Sr. Marcelo Odebrecht, a anulação da pena do Sr. José Dirceu e o deferimento de medida liminar para suspender a Resolução do Conselho Federal de Medicina nº 2378/2024, que regula o ato médico de assistolia fetal. Elogios à aprovação pelo Senado da PEC 8/2021, que limita decisões monocráticas do STF. Defesa da abertura de processos de impeachment contra Ministros do STF para restaurar o equilíbrio entre os Poderes e a democracia.",506137
5976,POR,2024-05-21,Senado Federal,"Pela ordem sobre o Projeto de Lei da Câmara (PLC) n° 194, de 2015, que ""Dispõe sobre a criação de cargos de provimento efetivo e de cargos em comissão no Quadro de Pessoal da Secretaria do Tribunal Regional do Trabalho da 19ª Região e dá outras providências"".",506104
5976,PDI,2024-05-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 826, de 2019, que ""Institui o Programa Nacional de Vacinação em Escolas Públicas"".",506090
5976,PDI,2024-05-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 826, de 2019, que ""Institui o Programa Nacional de Vacinação em Escolas Públicas"".",506083
