codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
3777,DIS,2024-05-20,Senado Federal,Sessão especial destinada a comemorar o Dia da Defensoria Pública.,506111
3777,PPP,2024-05-14,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 1803, de 2023, que ""Altera a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para estabelecer que a eleição de foro deve guardar pertinência com o domicílio das partes ou com o local da obrigação e que o ajuizamento de ação em juízo aleatório constitui prática abusiva, passível de declinação de competência de ofício"".",505986
3777,CIN,2024-04-23,Senado Federal,"Saudação ao ex-Senador da República pelo Estado do Tocantins, Sr. Ataídes Oliveira.",505452
3777,POR,2023-12-13,Senado Federal,"Registro da presença em Plenário do Senador Alexandre Silveira, Ministro de Estado de Minas e Energia.",503199
3777,PPP,2023-12-12,Senado Federal,"Como Relator - Para proferir parecer sobre o destaque para votação em separado constante do Requerimento nº 1100, de 2023, (Requer, pela Liderança do PODEMOS, destaque para votação em separado da Emenda nº 1 ao Projeto de Lei nº 7/2023.) ao Projeto de Lei (PL) n° 7, de 2023, que ""Altera o Decreto-Lei nº 236, de 28 de fevereiro de 1967.""",503169
3777,NID,2023-12-01,Senado Federal,Encerramento de Sessão Especial destinada à comemoração do Dia Nacional do Delegado de Polícia.,502679
3777,FP,2023-12-01,Senado Federal,Abertura de Sessão Especial destinada à comemoração do Dia Nacional do Delegado de Polícia.,502667
3777,PDI,2023-10-24,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4503, de 2023, que ""Institui a Lei Orgânica Nacional das Polícias Civis; dispõe sobre suas normas gerais de funcionamento; e dá outras providências"".",501617
3777,DIS,2023-10-02,Congresso Nacional,Sessão Solene destinada a comemorar os 35 anos de criação do Estado do Tocantins.,501392
3777,DIS,2023-08-08,Senado Federal,"Registro da realização, amanhã, da primeira sessão deliberativa da CCDD, presidida por S. Exa. Expectativa quanto à criação de comissão especial para debater o Projeto de Lei n° 2338/2023, de iniciativa do Senador Rodrigo Pacheco, que regula o uso de Inteligência Artificial (IA). Cumprimentos ao Senador Ciro Nogueira e ao Partido Progressistas pela realização do Fórum Brasileiro de Inteligência Artificial pela Fundação Milton Campos.",499486
3777,DIS,2023-08-07,Senado Federal,"Apoio ao Governador do Estado de Minas Gerais, Romeu Zema, por supostamente ter sido vítima de ""fake news"". Exposição sobre a importância dos trabalhos desenvolvidos pela CCDD. Destaque para a necessidade de proteção dos dados e informações, bem como de regulamentação desta área. Apelo para a instalação da comissão especial para análise do Projeto de Lei no. 2338/2023, de autoria do Senador Rodrigo Pacheco, que regulamenta o uso de Inteligência Artificial. Elogios à Universidade da Maturidade, criada em parceria com a Universidade Federal do Tocantins, que foi indicada ao prêmio Darcy Ribeiro de educação.",499362
3777,NID,2023-08-07,Senado Federal,Encerramento de Sessão Especial destinada a comemorar os 65 anos de fundação da Associação Brasileira de Jornalistas de Turismo (Abrajet).,499354
3777,FP,2023-08-07,Senado Federal,Abertura de Sessão Especial destinada a comemorar os 65 anos de fundação da Associação Brasileira de Jornalistas de Turismo (Abrajet).,499348
