codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
22,DIS,2024-05-27,Senado Federal,"Elogios ao Presidente do Senado Federal, Senador Rodrigo Pacheco, pela realização da sessão de debates temáticos a fim de discutir e buscar soluções para a tragédia no Estado do Rio Grande do Sul.",506267
22,POR,2024-05-22,Senado Federal,"Comentários sobre a declaração do Primeiro-Ministro da Espanha, que anunciou apoio à tese de dois Estados, como solução para o conflito entre Palestina e Israel.",506143
22,PDI,2024-05-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 826, de 2019, que ""Institui o Programa Nacional de Vacinação em Escolas Públicas"".",506097
22,POR,2024-05-21,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 826, de 2019, que ""Institui o Programa Nacional de Vacinação em Escolas Públicas"".",506076
22,PDI,2024-05-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 6233, de 2023, que ""Altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para dispor sobre atualização monetária e juros; e dá outras providências"".",506071
22,DIS,2024-05-21,Senado Federal,"Manifestação de apoio ao Projeto de Lei nº 5098/2019, de autoria do Senador Jayme Campos, que dispõe sobre a aplicação de recursos do Fundo Nacional sobre Mudança do Clima no combate ao desmatamento, às queimadas, aos incêndios florestais e aos desastres naturais.",506058
22,PDI,2024-05-15,Senado Federal,"Discussão sobre o Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505754
22,POR,2024-05-14,Senado Federal,"Pela ordem sobre a Medida Provisória (MPV) n° 1216, de 2024, Subvenção econômica para atendimento às áreas afetadas pelos eventos climáticos extremos localizadas no Estado do Rio Grande do Sul, que ""Autoriza o Poder Executivo federal a conceder subvenção econômica a mutuários que tiveram perdas materiais nas áreas afetadas pelos eventos climáticos extremos ocorridos nos meses de abril e maio de 2024, nos termos do disposto no Decreto Legislativo nº 36, de 7 de maio de 2024; altera a Lei nº 13.999, de 18 de maio de 2020, e a Lei nº 14.042, de 19 de agosto de 2020; autoriza o Poder Executivo federal a conceder subvenção econômica para constituição de escritórios de projetos; estabelece normas para facilitação de acesso a crédito, tendo em vista os efeitos negativos decorrentes de desastres naturais; e dá outras providências"".",506030
22,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Requerimento (RQS) n° 322, de 2024, que ""Requer realização de Sessão de Debates Temáticos destinada a discutir a Tragédia no Estado do Rio Grande do Sul"".",506016
22,POR,2024-05-14,Senado Federal,Elogio ao pronunciamento do Senador Oriovisto Guimarães acerca de decisão do STF que suspender a vigência da Lei das Estatais.,505984
