codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5953,PDI,2024-05-22,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União"".",506197
5953,POR,2024-05-22,Senado Federal,"Agradecimentos ao Senador Otto Alencar, pela relatoria do Projeto de Lei Complementar (PLP) n° 150, de 2021, que ""Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada.""",506183
5953,POB,2024-05-22,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre o Projeto de Lei Complementar (PLP) n° 150, de 2021, que ""Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada"".",506164
5953,POR,2024-05-15,Senado Federal,Homenagem pelo Dia do Assistente Social.,505807
5953,POR,2024-05-15,Senado Federal,"Voto de pesar pelo falecimento do médico cardiologista Leandro Medice, que faleceu na última segunda-feira, 13 de maio, em um abrigo de São Leopoldo, durante ajuda humanitária às vítimas de chuvas no Rio Grande do Sul.",505777
5953,PDI,2024-05-14,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4129, de 2021, que ""Dispõe sobre diretrizes gerais para a elaboração de planos de adaptação à mudança do clima"".",505989
5953,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre o destaque para votação em separado constante do Requerimento nº 310, de 2024, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda 25-U ao Projeto de Lei Complementar nº 233/2023.) ao Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505910
5953,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre o destaque para votação em separado constante do Requerimento nº 307, de 2024, (Requer, pela Liderança do PL, destaque para votação em separado do art. 27 do Projeto de Lei Complementar nº 233/2023.) ao Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505890
5953,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre o Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505868
5953,PDI,2024-05-07,Senado Federal,"Discussão sobre o Projeto de Decreto Legislativo (PDL) n° 236, de 2024, que ""Reconhece, para os fins do disposto no art. 65 da Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), a ocorrência do estado de calamidade pública em parte do território nacional, para atendimento às consequências derivadas de eventos climáticos no Estado do Rio Grande do Sul.""",505681
