codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5917,DIS,2024-05-15,Senado Federal,"Satisfação pela aprovação, na CCJ, do Projeto de Lei nº 5153/2023, de autoria de S. Exa., que altera o Código de Trânsito Brasileiro para estabelecer desconto no valor cobrado pela renovação das carteiras de habilitação para condutores com idade igual ou superior a 50 anos.",505740
5917,DIS,2024-05-14,Senado Federal,Breve histórico da aprovação da desoneração da folha de pagamentos de setores econômicos e manifestação a favor da extensão dessa política aos municípios com até 156 mil habitantes.,505978
5917,PDI,2024-05-08,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 795, de 2024 (Substitutivo da Câmara dos Deputados ao Projeto de Lei do Senado nº 505, de 2013), que ""Institui diretrizes para a Tarifa Social de Água e Esgoto em âmbito nacional.""",505946
5917,POR,2024-04-10,Senado Federal,"Pela ordem sobre a Medida Provisória (MPV) n° 1212, de 2024, Promoção do desenvolvimento de projetos de energia elétrica limpa e renovável e redução das tarifas de energia elétrica, que ""Altera a Lei nº 9.427, de 26 de dezembro de 1996, a Lei nº 9.991, de 24 de julho de 2000, e a Lei nº 14.182, de 12 de julho de 2021, e dá outras providências"".",505034
5917,DIS,2024-03-20,Senado Federal,"Defesa do Projeto de Lei da Câmara nº 42/2017, que dispõe sobre o tratamento de doenças neuromusculares com paralisia motora.",504663
5917,DIS,2024-03-19,Senado Federal,"Manifestação sobre a relevância do Projeto de Lei nº 6379/2019, de autoria da Deputada Marília Arraes, que dispõe sobre a regulamentação da atividade profissional de musico terapeuta.",504797
5917,DIS,2023-11-06,Senado Federal,"Voto de congratuações em homenagem aos 198 anos do Diário de Pernambuco, periódico mais antigo em circulação do Brasil.",501897
5917,DIS,2023-10-18,Senado Federal,Congratulações pela eleição da médica pernambucana Dra. Leila Maria Moreira Beltrão Pereira para Presidente da Sociedade Brasileira de Hepatologia (SBH) na gestão 2026/2027.,501321
5917,POR,2023-10-03,Senado Federal,"Pela ordem sobre o Projeto de Resolução do Senado (PRS) n° 95, de 2023, que ""Autoriza a Companhia Pernambucana de Saneamento a contratar operação de crédito externo, com garantia da República Federativa do Brasil, no valor de até US$ 202.000.000,00 (duzentos e dois milhões de dólares dos Estados Unidos da América).""",501133
5917,DIS,2023-09-20,Senado Federal,"Defesa do Projeto de Lei nº 3716/2023, de autoria de S. Exa, que inscreve o nome de Dom Hélder Câmara no Livro dos Heróis e Heroínas da Pátria.",500664
5917,DIS,2023-08-15,Senado Federal,Exposição dos trabalhos realizados pela Comissão Especial para o debate de políticas públicas sobre hidrogênio verde e a importância do combustível renovável para o desenvolvimento econômico sustentável do País.,499763
5917,DIS,2023-08-03,Senado Federal,"Satisfação com a indicação do Prefeito Paulo Roberto Leite de Arruda, do Município de Vitória de Santo Antão-PE, pelo recebimento da honraria ""Medalha da Primeira Infância"" pela Câmara dos Deputados e exposição do trabalho realizado pelo homenageado sobre proteção à infância.",499336
