codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
345,POR,2024-05-22,Senado Federal,"Cumprimentos ao Senador Sérgio Moro, pelo resultado favorável na decisão do TSE, que julgou improcedentes as ações que pediam a cassação de seu mandato.",506170
345,POB,2024-05-22,Senado Federal,"Orientação à bancada, pelo Partido PSB, sobre o Projeto de Lei Complementar (PLP) n° 150, de 2021, que ""Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada"".",506162
345,POR,2024-05-21,Senado Federal,"Solicitação de voto de aplausos ao curso de Enfermagem da Universidade Federal do Paraná, em razão do aniversário de 50 anos de sua criação.",506065
345,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Requerimento (RQS) n° 290, de 2024, que ""Requer voto de aplauso à Associação de Micro e Pequenas Empresas do Paraná (AMIC), por seus 40 anos de trabalho a favor do desenvolvimento econômico e social de Cascavel, do Paraná e do Brasil"".",506019
345,PPP,2024-05-08,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 795, de 2024 (Substitutivo da Câmara dos Deputados ao Projeto de Lei do Senado nº 505, de 2013), que ""Institui diretrizes para a Tarifa Social de Água e Esgoto em âmbito nacional.""",505940
345,POR,2024-05-08,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 795, de 2024 (Substitutivo da Câmara dos Deputados ao Projeto de Lei do Senado nº 505, de 2013), que ""Institui diretrizes para a Tarifa Social de Água e Esgoto em âmbito nacional.""",505919
345,POR,2024-05-07,Senado Federal,Solidariedade às vítimas da tragédia ocorrida no Estado do Rio Grande do Sul (RS).,505675
345,POB,2024-04-17,Senado Federal,"Orientação à bancada, pelo Partido PSB, sobre o Projeto de Lei Complementar (PLP) n° 175, de 2023, que ""Altera a Lei Complementar nº 172, de 15 de abril de 2020, a fim de conceder prazo aos Estados, ao Distrito Federal e aos Municípios para executar atos de transposição e de transferência.""",505277
345,POR,2024-04-16,Senado Federal,"Pela ordem sobre o Requerimento (RQS) n° 251, de 2024, que ""Requer voto de solidariedade aos alunos da equipe de futsal da Escola Franciscana Nossa Senhora de Fátima, pelas agressões raciais e sociais por eles sofridas em competição estudantil esportiva"".",505184
345,POR,2024-04-10,Senado Federal,"Apresentação da Sra. Pietra Silvestre, Embaixadora do TRE do Paraná para acessibilidade nas eleições de 2024.",505008
