codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5008,CRE,2024-05-22,Senado Federal,"Como Relator, sobre o Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União"".",506191
5008,PPP,2024-05-22,Senado Federal,"Como Relator, para proferir parecer sobre o Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União"".",506185
5008,CIN,2024-05-22,Senado Federal,"Agradecimento ao Governo Lula pela retomada do projeto de construção do trecho da Ferrovia Transnordestina que ligará a cidade pernambucana de Salgueiro ao Porto de Suape, na região metropolitana de Recife (PE).",506128
5008,PDI,2024-05-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 826, de 2019, que ""Institui o Programa Nacional de Vacinação em Escolas Públicas"".",506092
5008,PDI,2024-05-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 826, de 2019, que ""Institui o Programa Nacional de Vacinação em Escolas Públicas"".",506089
5008,DIS,2024-05-21,Senado Federal,"Preocupação com a manutenção e operação do Sistema Itaparica, conjunto de perímetros irrigados no Semiárido dos Estados de Pernambuco e da Bahia, em razão da interrupção do repasse de recursos necessários ao seu custeio. Apoio à criação de um grupo de trabalho no qual as instituições governamentais e os demais atores envolvidos possam elaborar soluções estruturais para essa situação.",506067
5008,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 4129, de 2021, que ""Dispõe sobre diretrizes gerais para a elaboração de planos de adaptação à mudança do clima"".",506011
5008,DIS,2024-05-14,Senado Federal,Registro da solidariedade dos brasileiros para com os gaúchos e das ações do Governo Federal em socorro ao Estado do Rio Grande do Sul. Críticas a grupos de extrema direita que supostamente têm disseminado informações falsas nas redes sociais acerca da tragédia no Rio Grande do Sul com o intuito de desgastar do Governo Federal.,505976
5008,DIS,2024-05-07,Senado Federal,Solidariedade ao povo gaúcho pela tragédia provocada pelas chuvas intensas.,505660
5008,CIN,2024-04-24,Senado Federal,"Celebração da aprovação, na CCJ, do Projeto de Lei nº 1958/2021, de relatoria de S.Exa., que prorroga por dez anos a política de cotas em concursos públicos federais e amplia para 30% (trinta por cento) a reserva de vagas para negros, indígenas e quilombolas.",505553
