codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5385,DIS,2024-03-20,Senado Federal,"Censura ao Governo do Estado do Tocantins em razão dos alegados problemas na gestão do sistema de saúde, com ênfase às denúncias de supostas irregularidades encontradas pelo TCU nos contratos firmados. Exposição das ações empreendidas por S. Exa. para melhoria das condições dos serviços de saúde pública no Estado.",504664
5385,POR,2023-12-12,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",503071
5385,DIS,2023-11-28,Senado Federal,"Denúncia da grave situação do sistema de saúde pública no Estado do Tocantins, com críticas à gestão do Governador Wanderlei Barbosa.",502718
5385,DIS,2023-10-25,Senado Federal,Registro do empenho de S. Exa. em diligenciar para que seja aprovada lei estadual que possibilita a nomeação dos aprovados no concurso de 2021 para a Polícia Militar do Estado do Tocantins. Críticas ao Governador Wanderlei Barbosa pela ausência de obras públicas importantes iniciadas e acabadas durante os dois primeiros anos de sua gestão.,501794
5385,CRE,2023-09-26,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 2796, de 2021, que ""Cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia"".",500833
5385,CRE,2023-09-26,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 2796, de 2021, que ""Cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia"".",500824
5385,CRE,2023-09-26,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 2796, de 2021, que ""Cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia"".",500821
5385,CRE,2023-09-26,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 2796, de 2021, que ""Cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia"".",500818
5385,DIS,2023-09-13,Senado Federal,Indignação pelo suposto envolvimento do Governador do Estado do Tocantins com empresário tocantinense investigado em esquema de compra irregular de cestas básicas pelo governo do Estado.,500533
5385,POR,2023-09-12,Senado Federal,"Defesa da aprovação de urgência para o Projeto de Lei (PL) n° 2796, de 2021, que ""Cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia"".",500416
5385,PDI,2023-09-12,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 7, de 2018, que ""Altera o art. 31 da Emenda Constitucional nº 19, de 4 de junho de 1998, para prever a inclusão, em quadro em extinção da administração pública federal, de servidor público, de integrante da carreira de policial, civil ou militar, e de pessoa que haja mantido relação ou vínculo funcional, empregatício, estatutário ou de trabalho com a administração pública dos ex-Territórios ou dos Estados do Amapá, de Roraima ou de Rondônia, inclusive suas prefeituras, durante os dez primeiros anos da criação dessas unidades federadas, estabelece o parâmetro remuneratório para a Polícia Militar dos ex-Territórios Federais e dá outras providências"".",500384
5385,DIS,2023-08-31,Senado Federal,"Críticas ao Governo do Estado do Tocantins pelo aumento do ICMS, ressaltando não haver contraprestação na melhoria dos serviços públicos para a população do Estado. Registro da ação ajuizada pelo PSD, partido de S. Exa., no STF, contra o aumento.",500190
5385,DIS,2023-08-29,Senado Federal,"Comentários sobre a divulgação do Monitor de Violência, levantamento feito pelo portal G1, a Universidade de São Paulo (USP) e o Fórum Brasileiro de Segurança Pública, em que o Estado do Tocantins figura como terceiro Estado com maior alta no número de assassinatos.",500167
5385,POR,2023-08-29,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 2796, de 2021, que ""Cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia.""",500157
5385,POR,2023-08-29,Senado Federal,"Solicitação de realização de sessão de debates temáticos sobre o Projeto de Lei nº 2.796, de 2021, que ""Cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia.""",500155
5385,POR,2023-08-29,Senado Federal,"Comentário sobre a realização da 6ª edição do Futebol Solidário no Estado do Tocantins, evento que arrecadou mais de cem toneladas de alimentos.",500152
5385,DIS,2023-08-09,Senado Federal,"Preocupação com o crescente número de jovens brasileiros que não trabalham nem estudam. Defesa da aprovação do Projeto de Lei nº 5228, de 2019, que institui a Nova Lei do Primeiro Emprego, e do Projeto de Lei Complementar nº 274, 2019, que institui o Micro Empreendedor Jovem, ambos de autoria de S. Exa.",499552
