codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6340,PDI,2024-05-14,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4129, de 2021, que ""Dispõe sobre diretrizes gerais para a elaboração de planos de adaptação à mudança do clima"".",506004
6340,PDI,2024-05-07,Senado Federal,"Discussão sobre o Projeto de Decreto Legislativo (PDL) n° 236, de 2024, que ""Reconhece, para os fins do disposto no art. 65 da Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), a ocorrência do estado de calamidade pública em parte do território nacional, para atendimento às consequências derivadas de eventos climáticos no Estado do Rio Grande do Sul.""",505694
6340,DIS,2024-04-23,Senado Federal,Satisfação pela designação de S. Exa. como vice-líder do PL no Senado Federal.,505498
6340,PDI,2024-04-17,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 81, de 2024, que ""Altera os valores da tabela progressiva mensal do Imposto sobre a Renda da Pessoa Física de que trata o art. 1º da Lei nº 11.482, de 31 de maio de 2007; e revoga a Medida Provisória nº 1.206, de 6 de fevereiro de 2024.""",505261
6340,DIS,2024-03-05,Senado Federal,"Homenagem às mulheres pelo Dia Internacional da Mulher, celebrado em 8 de março.",504384
6340,DIS,2024-02-27,Senado Federal,"Preocupação com a suposta interferência do Poder Judiciário na demarcação de terras indígenas no País em detrimento das competências do Poder Legislativo, com destaque para a importância do critério estabelecido pelo marco temporal.",504046
6340,PDI,2023-12-19,Senado Federal,"Discussão sobre a Medida Provisória (MPV) n° 1185, de 2023 (Crédito fiscal de subvenção para investimento), que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.""",503360
6340,POR,2023-12-05,Senado Federal,"Pela ordem sobre solicitação de inserção, na ordem do dia, do Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",502900
6340,PDI,2023-11-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2757, de 2022 (Substitutivo da Câmara dos Deputados), que ""Altera as Leis nºs 11.952, de 25 de junho de 2009, e 8.629, de 25 de fevereiro de 1993, para dispor sobre a extinção de cláusulas resolutivas constantes de títulos fundiários, e a Lei nº 13.465, de 11 de julho de 2017"".",502597
6340,PDI,2023-11-08,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2019, que ""Altera o Sistema Tributário Nacional"".",502053
6340,PDI,2023-11-07,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3045, de 2022, que ""Institui a Lei Orgânica Nacional das Polícias Militares e dos Corpos de Bombeiros Militares dos Estados, do Distrito Federal e dos Territórios, nos termos do inciso XXI do caput do art. 22 da Constituição Federal; altera a Lei nº 13.675, de 11 de junho de 2018; revoga dispositivos do Decreto-Lei nº 667, de 2 de julho de 1969; e dá outras providências"".",501935
6340,DIS,2023-10-31,Senado Federal,"Elogios ao Presidente do Senado Federal, Rodrigo Pacheco, pelo posicionamento em defesa das prerrogativas do Congresso Nacional no Fórum Esfera Internacional, ocorrido em Paris.",501843
6340,PDI,2023-10-31,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2470, de 2022, que ""Dispõe sobre incentivos fiscais as empresas reformadoras de pneumáticos, altera a Lei 10.865/2004 e dá outras providências"".",501822
6340,POR,2023-10-24,Senado Federal,"Pela ordem sobre o Requerimento da Comissão de Assuntos Econômicos (REQ) n° 185, de 2023, que requer urgência para o Projeto de Lei (PL) n° 334, de 2023 (Substitutivo da Câmara dos Deputados), que ""Altera as Leis nºs 12.546, de 14 de dezembro de 2011, e 10.865, de 30 de abril de 2004, para prorrogar até 31 de dezembro de 2027 os prazos de que tratam os arts. 7º e 8º e o caput do § 21 do art. 8º, respectivamente, e altera a Lei nº 8.212, de 24 de julho de 1991, para reduzir a alíquota da contribuição previdenciária sobre a folha devida por Municípios"".",501588
6340,POR,2023-09-12,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 7, de 2018, que ""Altera o art. 31 da Emenda Constitucional nº 19, de 4 de junho de 1998, para prever a inclusão, em quadro em extinção da administração pública federal, de servidor público, de integrante da carreira de policial, civil ou militar, e de pessoa que haja mantido relação ou vínculo funcional, empregatício, estatutário ou de trabalho com a administração pública dos ex-Territórios ou dos Estados do Amapá, de Roraima ou de Rondônia, inclusive suas prefeituras, durante os dez primeiros anos da criação dessas unidades federadas, estabelece o parâmetro remuneratório para a Polícia Militar dos ex-Territórios Federais e dá outras providências"".",500407
6340,DIS,2023-08-16,Senado Federal,Críticas ao STF pelo julgamento da descriminalização do porte de drogas para consumo próprio.,499878
