codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6351,CRE,2024-05-15,Senado Federal,"Como Relatora, sobre o Projeto de Lei (PL) n° 2737, de 2019, que ""Altera as Leis nºs 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), e 13.239, de 30 de dezembro de 2015, para estabelecer prioridade no atendimento social, psicológico e médico à mulher vítima de violência doméstica e familiar"".",505809
6351,PPP,2024-05-15,Senado Federal,"Como Relatora, para proferir parecer sobre o Projeto de Lei (PL) n° 2737, de 2019, que ""Altera as Leis nºs 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), e 13.239, de 30 de dezembro de 2015, para estabelecer prioridade no atendimento social, psicológico e médico à mulher vítima de violência doméstica e familiar"".",505803
6351,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre o Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009"".",505926
6351,DIS,2024-05-08,Senado Federal,"Manifestação de solidariedade à população do Estado do Rio Grande do Sul em razão da ocorrência de eventos climáticos extremos, bem como indignação com a disseminação de informações falsas nesse contexto. Elogios aos projetos e investimentos apresentados pelo Governo Federal no âmbito do Programa PAC Seleções.",505849
6351,PDI,2024-04-30,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 1026, de 2024, que ""Altera a Lei nº 14.148, de 3 de maio de 2021, para estabelecer alíquotas reduzidas no âmbito do Programa Emergencial de Retomada do Setor de Eventos – Perse; e revoga dispositivo da Medida Provisória nº 1.202, de 28 de dezembro de 2023"".",505622
6351,DIS,2024-04-24,Senado Federal,Destaque para a pesquisa do Instituto Jones dos Santos Neves sobre a redução da taxa de pobreza e extrema pobreza no Brasil.,505578
6351,DIS,2024-04-23,Senado Federal,Elogios ao Governo Federal pelo aumento dos beneficiários alcançados pelo programa Pé-de-Meia e pelo consequente efeito de redução da evasão escolar.,505500
6351,DIS,2024-04-17,Senado Federal,Alerta aos gestores públicos para os prazos finais de cadastro de propostas para o Programa de Aceleração do Crescimento (PAC). Destaque para os avanços sociais do programa e elogios à condução do governo pelo Presidente Lula.,505292
6351,POR,2024-04-11,Senado Federal,"Comentário acerca da possibilidade de negociação pelos estudantes brasileiros que possuem dívida no Fies, através do Desenrola Fies.",505071
6351,DIS,2024-04-10,Senado Federal,"Registro da participação de S. Exa., ao lado do Presidente Lula, no evento de lançamento da retomada de obras do Programa Minha Casa, Minha Vida, nas modalidades rural e entidades, e destaque para a importância do Programa para o Brasil.",505040
6351,CRE,2024-04-09,Senado Federal,"Como Relatora sobre o Projeto de Lei (PL) n° 501, de 2019, que ""Dispõe sobre a elaboração e a implementação de plano de metas para o enfrentamento integrado da violência doméstica e familiar contra a mulher, da Rede Estadual de Enfrentamento da Violência contra a Mulher e da Rede de Atendimento à Mulher em Situação de Violência; e altera a Lei nº 13.675, de 11 de junho de 2018.""",505366
6351,DIS,2024-04-02,Senado Federal,"Comunicação da Senadora Janaína Farias, de filiação partidária ao Partido dos Trabalhadores (PT), e adoção do nome parlamentar e diplomação.",504930
