codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
4531,POR,2024-05-21,Senado Federal,"Defesa do Projeto de Lei nº 5098/2019, de autoria de S. Exa., que dispõe sobre a aplicação de recursos do Fundo Nacional sobre Mudança do Clima em ações de prevenção, monitoramento e combate do desmatamento, das queimadas, dos incêndios florestais e dos desastres naturais.",506056
4531,POR,2024-05-08,Senado Federal,"Registro da presença, em Plenário, do ex-senador por Mato Grosso, Cidinho Santos.",505943
4531,PDI,2024-05-07,Senado Federal,"Discussão sobre o Projeto de Decreto Legislativo (PDL) n° 236, de 2024, que ""Reconhece, para os fins do disposto no art. 65 da Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), a ocorrência do estado de calamidade pública em parte do território nacional, para atendimento às consequências derivadas de eventos climáticos no Estado do Rio Grande do Sul.""",505687
4531,DIS,2024-04-24,Senado Federal,"Cumprimentos ao Ministro do STF Sr. Gilmar Mendes pela decisão que determinou a suspensão, em todo o país, dos processos judiciais que discutem a constitucionalidade da Lei do Marco Temporal (Lei nº 14701/2023).",505584
4531,DIS,2024-04-17,Senado Federal,"Preocupação com o aumento da violência no País. Exposição sobre medidas urgentes a serem adotadas para evitar o crescimento da criminalidade, com destaque para a necessidade de proteção da juventude brasileira",505279
4531,POB,2024-04-17,Senado Federal,"Orientação à bancada, pelo Partido UNIÃO, sobre o Projeto de Lei Complementar (PLP) n° 175, de 2023, que ""Altera a Lei Complementar nº 172, de 15 de abril de 2020, a fim de conceder prazo aos Estados, ao Distrito Federal e aos Municípios para executar atos de transposição e de transferência.""",505272
4531,PDI,2024-04-16,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505149
4531,POR,2024-04-10,Senado Federal,"Elogio ao Dnit em razão da autorização para licitação de obras de infraestrutura e pavimentação asfáltica da BR-174, que beneficiará a região noroeste do Estado de Mato Grosso/MT. Anúncio da contemplação de Mato Grosso com 3 mil casas populares do Programa Minha Casa, Minha Vida, da área rural.",505047
4531,POR,2024-04-10,Senado Federal,"Registro da presença no Plenário do Deputado Max, Primeiro-Secretário da Assembleia Legislativa de Mato Grosso, bem como de outras autoridades estaduais.",505038
4531,DIS,2024-04-09,Senado Federal,"Defesa da aprovação de leis, no âmbito do Senado Federal, para o endurecimento da legislação penal, para dirimir os problemas de segurança pública, com destaque para a punição de crimes relacionados aos furtos de telefones celulares e delitos que ocorrem no ambiente virtual, crimes de violência contra a mulher e o tráfico de drogas.",505383
4531,DIS,2024-04-02,Senado Federal,"Defesa do Projeto de Lei nº 1069/2024, de autoria de S.Exa., que institui a Política Nacional de Conectividade no Campo, o qual amplia o acesso a tecnologias digitais no meio rural.",504924
4531,POR,2024-04-02,Senado Federal,"Pesar pelo falecimento do empresário Joseph Malouf, pai do ex-Deputado Estadual e Conselheiro do Tribunal de Contas Guilherme Malouf.",504922
4531,POR,2024-03-20,Senado Federal,"Comentários sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",504673
4531,PL,2024-03-19,Senado Federal,"Considerações sobre a importância da agricultura familiar para o Brasil e sobre a necessidade de privilegiar os pequenos produtores quando da realização das compras públicas, tal como prevê o Projeto de Lei nº 2500/2022, de autoria de S. Exa.",504804
4531,PL,2024-03-06,Senado Federal,Satisfação pela comemoração do Bicentenário do Senado Federal.,504299
4531,PDI,2024-03-06,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 5206, de 2023, que ""Institui marco regulatório do Sistema Nacional de Cultura (SNC), para garantia dos direitos culturais, organizado em regime de colaboração entre os entes federativos para gestão conjunta das políticas públicas de cultura"".",504276
4531,POR,2024-03-05,Senado Federal,Agradecimento à Presidência da Caixa Econômica Federal pela receptividade a prefeitos do Estado de Mato Grosso (MT) que solicitam a abertura de agências bancárias em suas respectivas cidades.,504381
4531,PL,2024-02-28,Senado Federal,"Necessidade de aprovação do Projeto de Lei no. 2159/2021, que dispõe sobre o licenciamento ambiental no Brasil.",504189
4531,DIS,2024-02-27,Senado Federal,"Solidariedade ao povo do Acre e do Mato Grosso, atingido por desastres naturais.",504068
4531,POR,2024-02-27,Senado Federal,"Registro da presença, em Plenário, do Procurador de Justiça do Mato Grosso, Dr. Deosdete Cruz Junior, bem como do Promotor de Justiça do Mato Grosso, Dr. Rodrigues.",504061
4531,POR,2024-02-20,Senado Federal,"Homenagem ao Senador Flávio Dino, que se despede de seu cargo para assumir vaga de Ministro no Supremo Tribunal Federal (STF).",503927
4531,POR,2024-02-07,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 42, de 2023, que ""Altera as condições de elegibilidade por militares da ativa das Forças Armadas"".",503810
4531,PL,2024-02-07,Senado Federal,"Expectativa quanto ao início dos trabalhos legislativos no Senado Federal, neste ano de 2024 em que a Casa celebra o seu bicentenário, bem como quanto às pautas que devem direcionar a atividade legislativa.",503800
4531,PL,2023-11-28,Senado Federal,Defesa da prerrogativa do Congresso Nacional de análise dos vetos do Presidente da República.,502708
4531,PL,2023-11-21,Senado Federal,"Alerta sobre a gravidade das queimadas no Pantanal e a necessidade de criação de uma força-tarefa nacional para a preservação do bioma. Defesa dos Projetos de Lei nºs 5482, de 2020 e 5098, de 2019, que propõem, respectivamente, o Estatuto do Pantanal e a alocação de recursos do Fundo Nacional sobre Mudança do Clima para combater desmatamentos, queimadas e desastres naturais.",502615
4531,POR,2023-11-08,Senado Federal,"Comentários sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2019, que ""Altera o Sistema Tributário Nacional"".",502085
4531,PDI,2023-11-07,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3045, de 2022, que ""Institui a Lei Orgânica Nacional das Polícias Militares e dos Corpos de Bombeiros Militares dos Estados, do Distrito Federal e dos Territórios, nos termos do inciso XXI do caput do art. 22 da Constituição Federal; altera a Lei nº 13.675, de 11 de junho de 2018; revoga dispositivos do Decreto-Lei nº 667, de 2 de julho de 1969; e dá outras providências"".",501932
4531,DIS,2023-10-25,Senado Federal,"Comentários acerca da necessidade de derrubada dos vetos presidenciais apostos ao Projeto de Lei no. 2903/2023, que estabelece o marco temporal para as demarcações das terras indígenas. Defesa do direito do cultivo da terra pelos indígenas.",501766
4531,PDI,2023-10-24,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4503, de 2023, que ""Institui a Lei Orgânica Nacional das Polícias Civis; dispõe sobre suas normas gerais de funcionamento; e dá outras providências.""",501597
4531,PDI,2023-10-17,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2839, de 2019, que ""Institui a Política Nacional de Conscientização e Incentivo à Doação e Transplante de Órgãos e Tecidos"".",501452
4531,POR,2023-10-04,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",501064
4531,POR,2023-10-03,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 3971, de 2019, que ""Altera a Lei nº 12.695, de 25 de julho de 2012, para dispor sobre prioridade na construção de estabelecimentos de educação infantil com apoio financeiro federal.""",501146
4531,PDI,2023-09-27,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2903, de 2023, que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973.""",500907
4531,POB,2023-09-27,Senado Federal,"Orientação à bancada, pelo Bloco Parlamentar Democracia, sobre o Projeto de Lei (PL) n° 2903, de 2023, que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973.""",500899
4531,DIS,2023-09-20,Senado Federal,"Insatisfação com o serviço prestado pelas companhias aéreas nacionais, especialmente no Estado do Mato Grosso.",500699
4531,POR,2023-09-20,Senado Federal,"Contraposição aos comentários do Senador Humberto Costa de que PL nº 2.903/2023, marco temporal das terras indígenas, foi votado de forma açodada.",500681
4531,POR,2023-09-20,Senado Federal,"Preocupação com a situação relacionada aos repasses do Governo Federal ao municípios para complementação dos recursos para pagamento do piso salarial da enfermagem, nos casos em que o profissional não tem mais vínculo com a Prefeitura.",500675
