codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5895,DIS,2024-05-27,Senado Federal,"Elogios à participação do Ministro da Fazenda, Sr. Fernando Haddad, na audiência pública promovida pela Comissão de Finanças e Tributação da Câmara dos Deputados.",506263
5895,POR,2024-05-27,Senado Federal,Sessão de debates temáticos destinada a debater “A Tragédia no Estado do Rio Grande do Sul”.,506255
5895,DIS,2024-05-21,Senado Federal,"Considerações sobre as enchentes no Estado do Rio Grande do Sul e preocupação com os eventos climáticos extremos. Elogios ao Governador Eduardo Leite, pela entrevista concedida ao Programa Roda Viva, da TV Cultura.",506048
5895,DIS,2024-05-14,Senado Federal,"Defesa da aprovação do Projeto de Lei nº 1800/2024, de autoria de S. Exa., que institui a moratória de tributos federais, estaduais e municipais e das obrigações de direito privado nos municípios afetados pelas enchentes no Estado do Rio Grande do Sul. Comentários sobre a logística de transporte das doações recebidas dos Estados Unidos da América e de Portugal para a população gaúcha.",505969
5895,POR,2024-05-07,Senado Federal,"Cumprimentos à Confederação Brasileira de Futebol (CBF) pela suspensão das partidas a serem disputadas pelo clubes de futebol do Estado do Rio Grande do Sul (RS), nas Séries A, B, C e D, até o dia 27 de maio de 2024.",505653
5895,DIS,2024-05-07,Senado Federal,"Anúncio do repasse de 50% das emendas parlamentares de S.Exa., para o Estado do Rio Grande do Sul a fim de ajudar nas consequências da catástrofe climática na região. Defesa do posicionamento do Congresso Nacional sobre o remanejamento do fundo eleitoral com o objetivo
      de que parte do valor seja destinado às vítimas das enchentes. Relato da arrecadação de fundos para auxílio ao Município de Canoas-RS.",505649
5895,DIS,2024-05-06,Senado Federal,Comentários sobre a catástrofe ocasionada pelas chuvas no Rio Grande do Sul. Manifestação a favor da destinação de parte dos recursos do Fundo Eleitoral e das emendas parlamentares em favor das vítimas no Estado.,505431
5895,NID,2024-04-29,Senado Federal,"Destaque para o editorial do jornal ""O Estado de São Paulo"", publicado no dia 23 de abril, sob o título “Não, o Brasil não está sob uma ditadura”.",505397
5895,DIS,2024-04-23,Senado Federal,Comentários sobre a repercussão da CPI da Manipulação de Jogos e Apostas Esportivas.,505445
5895,POR,2024-04-17,Senado Federal,"Considerações sobre a criação da CPI destinada a apurar fatos relacionados às denúncias e suspeitas de manipulação de resultados no futebol brasileiro, envolvendo jogadores, dirigentes e empresas de apostas.",505250
5895,POR,2024-04-17,Senado Federal,Homenagem ao Senador Paulo Paim em razão de sua trajetória política.,505245
5895,POR,2024-04-16,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505161
5895,POR,2024-04-16,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505158
5895,POR,2024-04-16,Senado Federal,"Anúncio de que processará os responsáveis por ""fake news"" contra S. Exa. acerca de votação em conformidade com o Governo sobre tráfico de drogas.",505114
5895,DIS,2024-04-16,Senado Federal,"Críticas ao Presidente da Câmara dos Deputados, Sr. Arthur Lira, pelas palavras proferidas contra o Ministro das Relações Institucionais, Sr. Alexandre Padilha.",505112
5895,POB,2024-04-10,Senado Federal,"Orientação à bancada, pelo Partido PSB, sobre o Projeto de Lei Complementar (PLP) n° 252, de 2023, que ""Altera a Lei Complementar n° 182, de 1° de junho de 2021, para dispor sobre o contrato de investimento conversível em capital social (CICC)"".",505020
5895,POR,2024-04-09,Senado Federal,"Considerações sobre o atraso dos pagamentos dos funcionário da empresa DLF, que presta serviço terceirizado para o Senado Federal.",505363
5895,DIS,2024-04-09,Senado Federal,"Defesa da permanência do Sr. Jean Paul Prates à frente do comando da Petrobras e insatisfação com as declarações feitas pelo Ministro de Minas e Energia, Alexandre Silveira, em entrevista ao jornal Folha de S. Paulo sobre a gestão do presidente da empresa.",505327
5895,DIS,2024-04-08,Senado Federal,Manifestação de pesar pelo falecimento do cartunista Ziraldo.,504985
5895,DIS,2024-04-03,Senado Federal,"Comemoração do lançamento do Programa Pé-de-Meia, que busca diminuir a evasão escolar no ensino médio público. Comunicação de envio de ofício à Polícia Federal, solicitando a convocação de John Textor, dono do Botafogo, por acusações feitas a clubes de futebol brasileiros.",504962
5895,POR,2024-04-02,Senado Federal,Comentários acerca do Dia Mundial da Conscientização do Autismo.,504932
5895,DIS,2024-04-02,Senado Federal,"Destaque ao ofício, de autoria de S. Exa. e outros Senadores, encaminhado à Polícia Federal, solicitando investigação das denúncias de corrupção feitas pelo Sr. John Textor, acionista majoritário do clube de futebol Botafogo. Apoio ao início dos trabalhos da CPI das Apostas Esportivas.",504915
5895,DIS,2024-03-26,Senado Federal,Homenagem ao Senado Federal pela sua independência institucional e pelas contribuições empreendidas pela Casa Legislativa ao longo de seus 200 anos de história.,504857
5895,DIS,2024-03-21,Senado Federal,Balanço da importância da Caixa Econômica Federal para o Brasil.,504758
5895,DIS,2024-03-20,Senado Federal,Elogios ao bom desempenho que a Caixa Econômica Federal vem apresentando.,504643
5895,DIS,2024-03-13,Senado Federal,Preocupação de que a polarização política existente no País se sobreponha à discussão dos problemas locais durante as eleições municipais deste ano.,504579
5895,POB,2024-03-13,Senado Federal,"Orientação à bancada sobre a Proposta de Emenda à Constituição (PEC) n° 72, de 2023, que ""Altera o art. 155 da Constituição Federal para conceder imunidade do Imposto sobre a Propriedade de Veículos Automotores a veículos terrestres de passageiros com vinte anos ou mais de fabricação"".",504555
