codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6342,PDI,2024-05-22,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União"".",506195
6342,POB,2024-05-22,Senado Federal,"Orientação à bancada, pelo Partido PL, sobre o Projeto de Lei Complementar (PLP) n° 150, de 2021, que ""Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada"".",506169
6342,DIS,2024-05-08,Senado Federal,"Críticas ao Ministro da Secretaria de Comunicação Social, Sr. Paulo Pimenta, por denunciar quem está disseminando supostas notícias falsas sobre a atuação da Agência Nacional de Transportes Terrestres (ANTT) no socorro à tragédia provocada pelas chuvas no Rio Grande do Sul.",505847
6342,POR,2024-05-07,Senado Federal,Proposta de destinação dos recursos do Fundo Eleitoral para reconstrução do Estado do Rio Grande do Sul (RS).,505677
6342,DIS,2024-05-07,Senado Federal,Explicações sobre a presença de S. Exa. no show da cantora Madonna.,505668
6342,DIS,2024-05-06,Senado Federal,"Indignação com o Governo Federal por, supostamente, não ter cumprido de forma integral as promessas feitas ao Estado de Santa Catarina em razão das enchentes ocorridas em 2023, bem como preocupação que isso ocorra em relação ao Estado do Rio Grande do Sul. Exposição sobre as medidas já adotadas por S. Exa. e pelo governo catarinense para ajudar o povo gaúcho e apoio às proposições apresentadas no Senado Federal em auxílio ao Estado.",505440
6342,DIS,2024-04-24,Senado Federal,"Destaque para os números da segurança pública do Estado de Santa Catarina, divulgados pela Diretoria de Inteligência da Polícia Civil, que revelam, por exemplo, que 80% (oitenta por cento) dos casos de homicídios no Estado são elucidados.",505558
6342,DIS,2024-04-23,Senado Federal,"Satisfação com a decisão do Sr. Gilmar Mendes, Ministro do STF, que determinou a suspensão, em todo o País, dos processos judiciais que discutem a constitucionalidade da Lei nº 14701/2023, conhecida como a Lei do Marco Temporal.",505492
6342,POB,2024-04-17,Senado Federal,"Orientação à bancada, pelo Partido PL, sobre o Projeto de Lei Complementar (PLP) n° 175, de 2023, que ""Altera a Lei Complementar nº 172, de 15 de abril de 2020, a fim de conceder prazo aos Estados, ao Distrito Federal e aos Municípios para executar atos de transposição e de transferência.""",505269
6342,POB,2024-04-16,Senado Federal,"Orientação à bancada, pelo Partido PL, sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505152
6342,PDI,2024-03-26,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",504883
6342,DIS,2024-03-26,Senado Federal,Comemoração do Bicentenário do Senado Federal. Apelo à união e à pacificação política no País.,504870
