codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5979,PDI,2024-05-29,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 1213, de 2024, que ""Cria as carreiras de Especialista em Indigenismo, de Técnico em Indigenismo e de Tecnologia da Informação; cria o Plano Especial de Cargos da Funai (PECFunai) e o quadro suplementar da Fundação Nacional dos Povos Indígenas (Funai); define o órgão supervisor e altera a remuneração do cargo de Analista-Técnico de Políticas Sociais; altera a remuneração das carreiras e do Plano Especial de Cargos da Agência Nacional de Mineração (PEC-ANM); altera a remuneração dos cargos das carreiras de Policial Federal e de Policial Rodoviário Federal; cria a Polícia Penal Federal e a carreira de Policial Penal Federal; altera a remuneração dos cargos de Especialista Federal em Assistência à Execução Penal e de Técnico Federal de Apoio à Execução Penal; altera as Leis nºs 11.907, de 2 de fevereiro de 2009, 12.702, de 7 de agosto de 2012, 12.094, de 19 de novembro de 2009, 11.046, de 27 de dezembro de 2004, 10.871, de 20 de maio de 2004, 13.575, de 26 de dezembro de 2017, 14.204, de 16 de setembro de 2021, 14.600, de 19 de junho de 2023, 10.887, de 18 de junho de 2004, 11.358, de 19 de outubro de 2006, 9.654, de 2 de junho de 1998, 8.691, de 28 de julho de 1993, 12.277, de 30 de junho de 2010, e 11.356, de 19 de outubro de 2006; e revoga a Lei nº 10.693, de 25 de junho de 2003, e a Medida Provisória nº 1.203, de 29 de dezembro de 2023, e dispositivos das Leis nºs 8.460, de 17 de setembro de 1992, 11.357, de 19 de outubro de 2006, 11.538, de 8 de novembro de 2007, 12.775, de 28 de dezembro de 2012, 13.324, de 29 de julho de 2016, 13.327, de 29 de julho de 2016, 13.371, de 14 de dezembro de 2016, e 14.673, de 14 de setembro de 2023"".",506567
5979,DIS,2024-05-27,Senado Federal,Sessão de debates temáticos destinada a debater “A Tragédia no Estado do Rio Grande do Sul”.,506222
5979,POR,2024-05-22,Senado Federal,Agradecimentos pela eleição de S. Exa. como líder da Bancada Feminina no Senado.,506177
5979,POB,2024-05-22,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre o Projeto de Lei Complementar (PLP) n° 150, de 2021, que ""Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada"".",506176
5979,DIS,2024-05-21,Senado Federal,"Críticas ao Governo do Distrito Federal por supostamente não priorizar a saúde pública, causando a precariedade deste serviço no DF.",506103
5979,POB,2024-05-15,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre o Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505767
5979,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 4129, de 2021, que ""Dispõe sobre diretrizes gerais para a elaboração de planos de adaptação à mudança do clima"".",506024
5979,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 4129, de 2021, que ""Dispõe sobre diretrizes gerais para a elaboração de planos de adaptação à mudança do clima"".",505997
5979,PDI,2024-05-14,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4129, de 2021, que ""Dispõe sobre diretrizes gerais para a elaboração de planos de adaptação à mudança do clima"".",505993
5979,POR,2024-05-08,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 1803, de 2023, que ""Altera a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para estabelecer que a eleição de foro deve guardar pertinência com o domicílio das partes ou com o local da obrigação e que o ajuizamento de ação em juízo aleatório constitui prática abusiva, passível de declinação de competência de ofício.""",505963
5979,POR,2024-05-08,Senado Federal,"Pela ordem sobre o Requerimento (RQS) n° 305, de 2024, que ""Requer a realização de Sessão de Debates Temáticos destinada a discutir as oportunidades para o Brasil na presidência do G20.""",505948
5979,NID,2024-04-22,Senado Federal,Encerramento da Sessão Especial destinada a celebrar o 64º aniversário de Brasília.,505311
5979,NID,2024-04-22,Senado Federal,Sessão Especial destinada a celebrar o 64º aniversário de Brasília.,505301
5979,NID,2024-04-22,Senado Federal,Sessão Especial destinada a celebrar o 64º aniversário de Brasília.,505299
5979,NID,2024-04-22,Senado Federal,Sessão Especial destinada a celebrar o 64º aniversário de Brasília.,505297
5979,FP,2024-04-22,Senado Federal,Abertura da Sessão Especial destinada a celebrar o 64º aniversário de Brasília.,505295
5979,POR,2024-04-16,Senado Federal,"Pela ordem sobre o Requerimento (RQS) n° 251, de 2024, que ""Requer voto de solidariedade aos alunos da equipe de futsal da Escola Franciscana Nossa Senhora de Fátima, pelas agressões raciais e sociais por eles sofridas em competição estudantil esportiva"".",505183
5979,POB,2024-04-16,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505169
5979,DIS,2024-04-03,Senado Federal,"Comemoração pelos 3 anos de vigência da Lei no. 14132/2021, proposição legislativa de autoria de S. Exa., que dispõe sobre a tipificação do crime de perseguição no Brasil, o chamado ""stalking"".",504979
5979,NID,2024-03-21,Senado Federal,Encerramento de sessão especial destinada a comemorar o Dia Mundial das Águas.,504787
5979,FP,2024-03-21,Senado Federal,Abertura de sessão especial destinada a comemorar o Dia Mundial das Águas,504771
5979,DIS,2024-03-19,Senado Federal,"Preocupação com a crise generalizada na saúde pública do DF, destacando como uma das principais razões a falta de médicos em especialidades críticas.",504832
5979,POR,2024-03-19,Senado Federal,"Agradecimentos aos membros da Comissão de Educação, pela aprovação do Projeto de Lei (PL) n° 935, de 2022, que ""Institui o dia 17 de outubro como o Dia Nacional de Luto e Memória às Mulheres Vítimas de Feminicídio"".",504830
5979,DIS,2024-03-13,Senado Federal,"Registro da participação de S. Exa. no lançamento do Novo PAC Seleções, destacando os investimentos que serão feitos no Distrito Federal.",504588
5979,POB,2024-03-13,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre a Proposta de Emenda à Constituição (PEC) n° 72, de 2023, que ""Altera o art. 155 da Constituição Federal para conceder imunidade do Imposto sobre a Propriedade de Veículos Automotores a veículos terrestres de passageiros com vinte anos ou mais de fabricação"".",504564
