codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5926,PDI,2024-05-29,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 1213, de 2024, que ""Cria as carreiras de Especialista em Indigenismo, de Técnico em Indigenismo e de Tecnologia da Informação; cria o Plano Especial de Cargos da Funai (PECFunai) e o quadro suplementar da Fundação Nacional dos Povos Indígenas (Funai); define o órgão supervisor e altera a remuneração do cargo de Analista-Técnico de Políticas Sociais; altera a remuneração das carreiras e do Plano Especial de Cargos da Agência Nacional de Mineração (PEC-ANM); altera a remuneração dos cargos das carreiras de Policial Federal e de Policial Rodoviário Federal; cria a Polícia Penal Federal e a carreira de Policial Penal Federal; altera a remuneração dos cargos de Especialista Federal em Assistência à Execução Penal e de Técnico Federal de Apoio à Execução Penal; altera as Leis nºs 11.907, de 2 de fevereiro de 2009, 12.702, de 7 de agosto de 2012, 12.094, de 19 de novembro de 2009, 11.046, de 27 de dezembro de 2004, 10.871, de 20 de maio de 2004, 13.575, de 26 de dezembro de 2017, 14.204, de 16 de setembro de 2021, 14.600, de 19 de junho de 2023, 10.887, de 18 de junho de 2004, 11.358, de 19 de outubro de 2006, 9.654, de 2 de junho de 1998, 8.691, de 28 de julho de 1993, 12.277, de 30 de junho de 2010, e 11.356, de 19 de outubro de 2006; e revoga a Lei nº 10.693, de 25 de junho de 2003, e a Medida Provisória nº 1.203, de 29 de dezembro de 2023, e dispositivos das Leis nºs 8.460, de 17 de setembro de 1992, 11.357, de 19 de outubro de 2006, 11.538, de 8 de novembro de 2007, 12.775, de 28 de dezembro de 2012, 13.324, de 29 de julho de 2016, 13.327, de 29 de julho de 2016, 13.371, de 14 de dezembro de 2016, e 14.673, de 14 de setembro de 2023"".",506564
5926,DIS,2024-05-14,Senado Federal,Solidariedade às vítimas das enchentes no contexto da emergência enfrentada pelo Estado do Rio Grande do Sul.,505979
5926,PDI,2024-05-08,Senado Federal,"Discussão sobre o Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505861
5926,DIS,2024-04-16,Senado Federal,"Manifestação favorável à aprovação da PEC nº 45/2023, que criminaliza a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar.",505127
5926,NID,2024-04-11,Senado Federal,Encerramento de Sessão Especial destinada a celebrar os 45 anos de criação da Associação Nacional dos Procuradores e das Procuradoras do Trabalho (ANPT).,505086
5926,FP,2024-04-11,Senado Federal,Abertura da Sessão Especial destinada a celebrar os 45 anos de criação da Associação Nacional dos Procuradores e das Procuradoras do Trabalho (ANPT).,505073
5926,DIS,2024-03-20,Senado Federal,Necessidade de agilização da transposição dos servidores dos ex-Territórios Federais aos quadros da União. Críticas ao Ministério da Gestão e Inovação em Serviços Públicos e à Ministra Esther Dweck.,504649
5926,POR,2024-03-13,Senado Federal,"Agradecimentos à Ministra Esther pelo atendimento parcial  à solicitação de S. Exa. de redução das atribuições de quatro para duas nas carreiras de planejamento, orçamento, finanças ou controle.",504520
5926,DIS,2024-03-13,Senado Federal,"Lamento pela condição de pobreza do Estado do Amapá e pela atuação de ONGs na região que, supostamente, impedem seu desenvolvimento econômico. Defesa da exploração do petróleo na costa amapaense e de políticas públicas que conciliem a preservação ambiental e o desenvolvimento do Estado.",504512
5926,DIS,2024-03-12,Senado Federal,"Apresentação do Requerimento nº 139/2024, que solicita informações à Ministra de Estado da Gestão e Inovação em Serviços Públicos, Sra. Esther Dweck, sobre a transposição dos servidores públicos do ex-Território do Amapá ao quadro da União, bem como a disponibilidade
      orçamentária para essa finalidade.",504439
