codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
631,POR,2024-04-16,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505178
631,POR,2024-04-16,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505170
631,PDI,2024-04-16,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505139
631,DIS,2024-04-16,Senado Federal,"Apoio à aprovação da PEC nº 45/2023, que criminaliza a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar.",505134
631,DIS,2024-04-10,Senado Federal,"Comunicação da aprovação pela CCDD do Requerimento nº 47/2024, de autoria de S.Exa., acerca da realização de audiência pública com o objetivo de debater a interferência de autoridades brasileiras sobre as plataformas de rede social. Considerações sobre os recentes acontecimentos envolvendo o empresário americano Elon Musk e o STF.",505046
631,POR,2024-04-10,Senado Federal,Crítica à atuação do Poder Judiciário no combate ao crime de tráfico de drogas.,505032
631,POR,2024-04-09,Senado Federal,"Apelo ao Presidente do Senado Federal, Rodrigo Pacheco, para que intervenha junto do Ministro do STF, Alexandre de Moraes, em favor dos presos pelos atos de 8 de janeiro de 2023. Preocupação com a situação dos indivíduos presos, os quais alegam violações de direitos individuais. Comentários sobre as ponderações feitas pelo empresário Elon Musk a respeito do Judiciário brasileiro.",505374
631,PDI,2024-04-09,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar.""",505352
631,DIS,2024-04-09,Senado Federal,"Críticas ao suposto ativismo judicial e às decisões monocráticas do STF, destacando o embate entre o empresário americano Elon Musk e o Ministro Alexandre de Moraes.",505343
631,PDI,2024-03-26,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",504891
631,PL,2024-03-26,Senado Federal,"Pela Liderança sobre o Projeto de Lei (PL) n° 2221, de 2023, que ""Altera a Lei nº 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), para dispor sobre o atendimento de mulheres vítimas de violência em ambiente privativo e individualizado nos serviços de saúde prestados no âmbito do Sistema Único de Saúde"".",504887
631,DIS,2024-03-26,Senado Federal,Lamento pelas vítimas das chuvas ocorridas no sul do Estado do Espírito Santo e insatisfação com os procedimentos necessários para envio de recursos a regiões afetadas por eventos climáticos extremos.,504874
