codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
285,DIS,2024-04-17,Senado Federal,Inconformismo com a suposta leniência com que os grupos de esquerda e a grande imprensa têm tratado práticas ilícitas ou reprováveis socialmente do Governo Lula.,505234
285,DIS,2024-04-16,Senado Federal,Voto de pesar pelo falecimento do educador e político brasileiro Sr. Amarilio Ferreira Júnior.,505123
285,POR,2024-04-09,Senado Federal,"Críticas às ações do Supremo Tribunal federal atinentes às restrições estabelecidas a parlamentares. Satisfação com a absolvição do Senador Sergio Moro, em julgado realizado no Tribunal Regional Eleitoral-PR. Considerações sobre a Operação lava jato.",505375
285,CIN,2024-04-02,Senado Federal,"Manifestação contrária à postura de ONGs e de países estrangeiros, especialmente a França, em relação à Amazônia. Observação quanto à inexistência de acordo entre os Estados-Membros da União Europeia e o Mercosul.",504921
285,POR,2023-12-12,Senado Federal,Considerações sobre aprovação do relatório de conclusão da CPI das ONGs. Cumprimentos ao Senador Plínio Valério pela condução dos trabalhos na referida comissão.,503058
285,DIS,2023-10-17,Senado Federal,"Argumentação contrária à política ambiental na Amazônia, ressaltando negativamente o papel das ONGs e dos governos estrangeiros.",501430
285,DIS,2023-09-27,Senado Federal,"Satisfação com a aprovação, na CCJ, do Projeto de Lei no. 2903/2023, que estabelece o marco temporal para a demarcação de terras indígenas. Exposição dos trabalhos realizados pela CPI das ONGs e a defesa da possibilidade de os indígenas explorarem economicamente suas terras.",500867
285,PIM,2023-08-10,Senado Federal,"Elogio à atuação do Banco Central durante a pandemia do Novo Coronavírus (COVID-19). Defesa da autonomia da entidade. Indagação a respeito das perspectivas de futuro da economia, do controle inflacionário e da determinação da taxa de juros. Questionamentos acerca da reforma tributária. Inquirição sobre a interferência internacional na Amazônia brasileira.",499641
285,POR,2023-08-02,Senado Federal,"Considerações sobre o papel institucional dos poderes constitucionais numa democracia. Registro sobre a importância do Poder Judiciário e do Congresso Nacional. Elogio à manifestação do Presidente do Senado, Rodrigo Pacheco, sobre decisão proferida pelo Supremo Tribunal Federal a respeito do piso nacional da enfermagem, bem como sobre o julgamento em que se discute a descriminalização do porte de maconha para consumo próprio.",499398
285,POR,2023-08-02,Senado Federal,"Críticas ao Supremo Tribunal Federal pelo julgamento em que se discute a descriminalização do porte de maconha para consumo próprio. Defesa de agenda legislativa que, segundo S.Exª., promova reequilíbrio quanto ao exercício dos Poderes.",499383
