codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5422,PDI,2024-05-29,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 1213, de 2024, que ""Cria as carreiras de Especialista em Indigenismo, de Técnico em Indigenismo e de Tecnologia da Informação; cria o Plano Especial de Cargos da Funai (PECFunai) e o quadro suplementar da Fundação Nacional dos Povos Indígenas (Funai); define o órgão supervisor e altera a remuneração do cargo de Analista-Técnico de Políticas Sociais; altera a remuneração das carreiras e do Plano Especial de Cargos da Agência Nacional de Mineração (PEC-ANM); altera a remuneração dos cargos das carreiras de Policial Federal e de Policial Rodoviário Federal; cria a Polícia Penal Federal e a carreira de Policial Penal Federal; altera a remuneração dos cargos de Especialista Federal em Assistência à Execução Penal e de Técnico Federal de Apoio à Execução Penal; altera as Leis nºs 11.907, de 2 de fevereiro de 2009, 12.702, de 7 de agosto de 2012, 12.094, de 19 de novembro de 2009, 11.046, de 27 de dezembro de 2004, 10.871, de 20 de maio de 2004, 13.575, de 26 de dezembro de 2017, 14.204, de 16 de setembro de 2021, 14.600, de 19 de junho de 2023, 10.887, de 18 de junho de 2004, 11.358, de 19 de outubro de 2006, 9.654, de 2 de junho de 1998, 8.691, de 28 de julho de 1993, 12.277, de 30 de junho de 2010, e 11.356, de 19 de outubro de 2006; e revoga a Lei nº 10.693, de 25 de junho de 2003, e a Medida Provisória nº 1.203, de 29 de dezembro de 2023, e dispositivos das Leis nºs 8.460, de 17 de setembro de 1992, 11.357, de 19 de outubro de 2006, 11.538, de 8 de novembro de 2007, 12.775, de 28 de dezembro de 2012, 13.324, de 29 de julho de 2016, 13.327, de 29 de julho de 2016, 13.371, de 14 de dezembro de 2016, e 14.673, de 14 de setembro de 2023"".",506565
5422,POR,2024-05-21,Senado Federal,Comemoração dos 59 anos de fundação da Igreja Evangélica Assembleia de Deus na cidade de Ji-Paraná/RO.,506054
5422,DIS,2024-05-14,Senado Federal,"Críticas à atuação do Governo Federal no contexto da emergência enfrentada pelo Estado do Rio Grande do Sul e elogios à mobilização da sociedade civil no apoio às vítimas. Insatisfação com a suposta tentativa, por parte de autoridades federais, de suprimir informações contrárias à versão oficial sobre a resposta a esse evento climático extremo.",505975
5422,POR,2024-04-16,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505175
5422,PDI,2024-04-16,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505138
5422,DIS,2024-04-16,Senado Federal,Preocupação com os supostos casos de censura prévia praticada por autoridades governamentais no contexto das redes sociais. Proposta de realização de sessão de debates temáticos no Senado Federal sobre as liberdades de imprensa e de expressão.,505121
5422,POR,2024-04-10,Senado Federal,"Comemoração pelos 20 anos de atividades da Igreja Às Nações, situada na capital do Estado de Rondônia, Porto Velho.",505050
5422,DIS,2024-03-20,Senado Federal,"Críticas àqueles Senadores que comemoraram o indiciamento do ex-Presidente da República Jair Bolsonaro pela suposta falsificação do cartão de vacinação, bem como às tentativas de relacionar esse fato aos atos de 8 de janeiro de 2023.",504657
5422,DIS,2024-03-19,Senado Federal,"Críticas ao Inquérito nº 4781, conhecido como Inquérito das Fake News, em trâmite no STF há 5 anos, destacando a necessidade de equilíbrio entre a proteção contra a desinformação e a preservação dos direitos de expressão e de opinião.",504796
5422,CRE,2024-03-13,Senado Federal,"Como Relator sobre a Proposta de Emenda à Constituição (PEC) n° 72, de 2023, que ""Altera o art. 155 da Constituição Federal para conceder imunidade do Imposto sobre a Propriedade de Veículos Automotores a veículos terrestres de passageiros com vinte anos ou mais de fabricação"".",504540
5422,DIS,2024-02-27,Senado Federal,"Satisfação com a manifestação a favor do ex-presidente Bolsonaro ocorrida em São Paulo, no último domingo, 25 de fevereiro de 2024. Críticas ao Governo Federal.",504052
5422,DIS,2024-02-19,Senado Federal,"Repúdio às recentes declarações do Presidente Lula relacionando a situação conflituosa na Faixa de Gaza, entre Israel e o grupo palestino Hamas, com o Holocausto.",503850
5422,NID,2024-02-19,Senado Federal,"Presidência sobre o Projeto de Lei (PL) n° 292, de 2024, que ""Altera a Lei nº 7.713, de 22 de dezembro de 1988, para isentar do Imposto sobre a Renda a remuneração e outros rendimentos percebidos por pessoas com transtorno do espectro autista ou por seu representante legal.""",503849
5422,DIS,2024-02-07,Senado Federal,Preocupação com o possível enfraquecimento do agronegócio brasileiro em decorrência da atuação do Governo Federal.,503825
5422,POR,2024-02-07,Senado Federal,"Elogio ao Senador Rodrigo Pacheco, Presidente do Senado Federal, pelo encaminhamento dado à questão suscitada pelo Senador Efraim Morais sobre alterações do Regimento Interno da Câmara dos Deputados.",503821
5422,POR,2024-02-07,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 42, de 2023, que ""Altera as condições de elegibilidade por militares da ativa das Forças Armadas.""",503814
5422,POR,2023-12-19,Congresso Nacional,"Pela ordem sobre o Projeto de Lei do Congresso Nacional (PLN) n° 4, de 2023, PLDO 2024, que ""Dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2024 e dá outras providências"".",503417
5422,PDI,2023-12-19,Senado Federal,"Discussão sobre a Medida Provisória (MPV) n° 1185, de 2023 (Crédito fiscal de subvenção para investimento), que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503357
5422,POB,2023-12-14,Congresso Nacional,"Orientação à bancada, pelo Partido PL, sobre o Veto (VET) n° 23, de 2023, ""Veto Parcial aposto ao Projeto de Lei Complementar nº 93, de 2023, que ""Institui regime fiscal sustentável para garantir a estabilidade macroeconômica do País e criar as condições adequadas ao crescimento socioeconômico, com fundamento no art. 6º da Emenda Constitucional nº 126, de 21 de dezembro de 2022, e no inciso VIII do ""caput"" e no parágrafo único do art. 163 da Constituição Federal; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal)"".",503839
5422,POB,2023-12-14,Congresso Nacional,"Orientação à bancada, pelo Partido PL, sobre o Veto (VET) n° 30, de 2023, ""Veto Parcial aposto ao Projeto de Lei nº 2.903, de 2023 (nº 490/2007, na Câmara dos Deputados), que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973"".",503692
5422,POB,2023-12-14,Congresso Nacional,"Orientação à bancada, pela Minoria, sobre o Veto (VET) n° 38, de 2023, que ""Veto Total aposto ao Projeto de Lei nº 334, de 2023, que ""Prorroga até 31 de dezembro de 2027 os prazos de que tratam os arts. 7º e 8º da Lei nº 12.546, de 14 de dezembro de 2011, e o ""caput"" do § 21 do art. 8º da Lei nº 10.865, de 30 de abril de 2004, e dá outras providências"".",503616
5422,DIS,2023-12-14,Congresso Nacional,"Defesa da rejeição, pelo Congresso Nacional, do veto aposto ao projeto de lei do marco temporal das terras indígenas, ressaltando a importância desse marco para a segurança jurídica e previsibilidade do direito de propriedade.",503584
5422,POR,2023-12-12,Senado Federal,"Pela ordem sobre o destaque para votação em separado constante do Requerimento nº 1073, de 2023, (Requer, pela Liderança do PP, destaque para votação em separado da Emenda nº 147 ao Projeto de Lei nº 3.626/2023.) ao Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",503148
5422,DIS,2023-12-12,Senado Federal,Defesa da exigência de curso superior para ingresso na carreira de Policial Penal. Alerta para a presença do crime organizado nos Estados da Amazônia Legal.,503042
5422,DIS,2023-12-11,Senado Federal,Registro de voto contrário de S. Exa. à indicação do Sr. Flávio Dino para a vaga de Ministro do STF. Críticas à atuação do indicado como Ministro da Justiça.,503014
5422,DIS,2023-12-11,Senado Federal,Sessão de Debates Temáticos destinada a discutir o conflito entre Israel e o Hamas.,502996
5422,PDI,2023-11-22,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 8, de 2021, que ""Altera a Constituição Federal para dispor sobre os pedidos de vista, declaração de inconstitucionalidade e concessão de medidas cautelares nos tribunais"".",502465
5422,DIS,2023-11-20,Senado Federal,Indignação pela conduta de membros do Governo Federal que supostamente estariam perseguindo jornalistas em virtude de publicações de denúncias.,502426
5422,DIS,2023-11-13,Senado Federal,"Elogio ao esforço da diplomacia brasileira para resgatar brasileiros na Faixa de Gaza e ponderação quanto às falas do Ministro de Relações Exteriores, Mauro Vieira, sobre o tema. Críticas ao Governo Federal por supostamente ser complacente com o ataque do grupo extremista
      Hamas.",502321
5422,DIS,2023-10-25,Senado Federal,"Lamento pelo desabastecimento de água na cidade de Espigão D’Oeste-RO. Posicionamento em desfavor ao veto do Presidente Lula a trechos do Projeto de Lei no. 2903/2023, marco temporal das terras indígenas. Comentários sobre possíveis impactos negativos do veto para o sistema produtivo nacional.",501760
5422,POR,2023-10-24,Senado Federal,"Pedido de inserção em pauta para votação do Requerimento (RQS) n° 951, de 2023, de autoria de S. Exa., que ""Requer, nos termos do art. 222 do Regimento Interno do Senado Federal, inserção em ata de voto de repúdio ao juiz da 12ª Vara Criminal de Cuiabá, Wladymir Perri, por ter decretado voz de prisão a uma mãe depois de se expressar contra um homem acusado de matar seu filho"".",501678
